,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,14.892046885078225,0.0,14.892046885078225,2.978409377015645,0.0,0.0,0.2063745106538741,0.2
1,Albania,11.384934497396094,55.36257753064679,-43.97764303325069,1.707740174609414,13.947565819735237,0.008799480574053121,0.0861303706942517,0.15
2,Algeria,1086.7522797457314,0.0,1086.7522797457314,282.55559273389014,0.0,0.0,0.4978240894778786,0.26
3,American Samoa,-0.0,46.340423185030176,-46.340423185030176,-0.0,11.674602796985095,0.007365474510003546,0.1161426815163184,0.34
4,Andorra,-0.0,8.594460717827413,-8.594460717827413,-0.0,2.1652136134859323,0.0013660272607271696,0.0318948207127207,0.0
5,Angola,7.702339242752811,0.0,7.702339242752811,2.310701772825843,0.0,0.0,0.2499214905647195,0.3
6,Anguilla,2.8348442417474846,5.202828125783025,-2.3679838840355405,0.0,1.3107552243744078,0.0008269518339824682,0.0,0.0
7,Antigua and Barbuda,0.29916903439538034,0.0,0.29916903439538034,0.07479225859884508,0.0,0.0,0.0,0.25
8,Argentina,1728.4690521586947,0.0,1728.4690521586947,518.5407156476084,0.0,0.0,0.2541279525878647,0.3
9,Armenia,5.507851635174165,0.0,5.507851635174165,1.1015703270348332,0.0,0.0,1.713032889060857,0.2
10,Aruba,0.10359862478785388,44.94163308187225,-44.83803445708439,0.02589965619696347,11.322203795674335,0.007143146957911118,0.0,0.25
11,Australia,12623.774477913597,0.0,12623.774477913597,3787.132343374079,0.0,0.0,0.3085691710434611,0.3
12,Austria,1798.9319328975173,5803.724875837572,-4004.7929429400547,449.7329832243793,1462.1399204285487,0.922460018661724,0.1120540402077095,0.25
13,Azerbaijan,8.219244585687727,0.0,8.219244585687727,1.6438489171375457,0.0,0.0,0.162543014447504,0.2
14,Bahamas,933.7063550700473,36.15349353157016,897.5528615384771,0.0,9.108196423221266,0.005746335850044196,0.0035269961996583,0.0
15,Bahrain,289.4351396781466,142.4404821364239,146.9946575417227,0.0,35.88521504246848,0.022639882596224556,0.0108263939735142,0.0
16,Bangladesh,54.66302312125616,0.0,54.66302312125616,13.66575578031404,0.0,0.0,0.3749218770982083,0.25
17,Barbados,89.51356062560966,5120.082047244283,-5030.568486618673,4.923245834408531,1289.9088976999458,0.8137999443278062,0.0081760584512136,0.055
18,Belarus,16.788543274382338,0.0,16.788543274382338,3.021937789388821,0.0,0.0,0.1657153110604107,0.18
19,Belgium,51445.880080558,0.0,51445.880080558,15217.691327829058,0.0,0.0,0.193183972712142,0.2958
20,Belize,-0.0,1.7336387936390074,-1.7336387936390074,-0.0,0.4367578653385714,0.0002755493253291293,0.0439639765509934,0.25
21,Benin,18.56469084090349,0.0,18.56469084090349,5.569407252271048,0.0,0.0,inf,0.3
22,Bermuda,1139.7620949718546,22413.633800164967,-21273.871705193113,0.0,5646.695775936195,3.5624846966222514,0.013724512619564,0.0
23,Bolivia,148.82393740276834,0.0,148.82393740276834,37.205984350692084,0.0,0.0,0.1680265206253144,0.25
24,Bosnia and Herzegovina,31.15544418974048,110.16943886487445,-79.01399467513397,3.115544418974048,27.755129338776328,0.017510634085075808,0.1112124348996468,0.1
25,Botswana,39.530452833508264,0.0,39.530452833508264,8.696699623371819,0.0,0.0,0.3320142588842545,0.22
26,Brazil,5487.98175355449,0.0,5487.98175355449,1865.9137962085267,0.0,0.0,0.2328018584675387,0.34
27,British Virgin Islands,828.2567400146598,11393.27242853508,-10565.01568852042,0.0,2870.3218706029647,1.8108781036123522,0.0060195799699893,0.0
28,Brunei Darussalam,73.5194502495725,24.18496197030724,49.33448827926526,13.601098296170912,6.0929487746831255,0.0038440244752716776,0.0648098557069923,0.185
29,Bulgaria,133.2821395672112,813.8752617158729,-680.5931221486617,13.328213956721122,205.04064818066936,0.12935957599168443,0.105166238923721,0.1
30,Burkina Faso,5.131675369582937,0.0,5.131675369582937,1.4368691034832226,0.0,0.0,0.157967385223003,0.28
31,Cabo Verde,-0.0,32.952238099574586,-32.952238099574586,-0.0,8.301699998468882,0.005237519493529119,0.0,0.22
32,Cambodia,135.0808213028605,0.0,135.0808213028605,27.0161642605721,0.0,0.0,0.2546729413363211,0.2
33,Cameroon,4.023857647367706,0.0,4.023857647367706,1.327873023631343,0.0,0.0,0.3687217348354439,0.33
34,Canada,17757.729889128823,1343.2570358627659,16414.472853266056,4727.107696486092,338.4084837839649,0.21350097340557286,0.1467051301877468,0.2662
35,Cayman Islands,6921.788060370859,40970.239298755274,-34048.45123838441,0.0,10321.68541924129,6.511922690451602,0.0027587914826526,0.0
36,Central African Republic,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2049404563384232,0.3
37,Chad,0.7635487148588751,0.0,0.7635487148588751,0.26724205020060626,0.0,0.0,inf,0.35
38,Chile,3533.43754052317,0.0,3533.43754052317,883.3593851307925,0.0,0.0,0.3640455364601989,0.25
39,China (People's Republic of),3473.108486061121,0.0,3473.108486061121,868.2771215152802,0.0,0.0,0.1749403698380284,0.25
40,Chinese Taipei,833.6864541000014,0.0,833.6864541000014,166.73729082000028,0.0,0.0,0.21162819317897,0.2
