iso_partner,partner_jurisdiction,wb_income_group,excl_floored,excl_resource,ignorant,max_abs
USA,United States,high_income,-461.2354728437961,-456.77674004918913,1076.1392573324056,1076.1392573324056
DEU,Germany,high_income,565.0085294442592,565.8112743299228,883.3274153692031,883.3274153692031
FRA,France,high_income,810.7309326110552,818.4098609704383,811.9674897203906,818.4098609704383
IND,India,lower_middle_income,878.1668034538549,883.7630010432051,806.6480221663458,883.7630010432051
MEX,Mexico,upper_middle_income,416.26630275887777,420.78009686286157,403.6688388723882,420.78009686286157
ITA,Italy,high_income,409.9477916555521,415.29552679790396,402.3968875778003,415.29552679790396
KOR,Korea,high_income,354.08250175625074,359.25673817228176,364.4968379605012,364.4968379605012
RUS,Russia,high_income,336.39103667838606,341.5478029624496,324.8431710191178,341.5478029624496
ESP,Spain,high_income,326.599717186373,330.66407411379623,318.7217201545922,330.66407411379623
IDN,Indonesia,upper_middle_income,375.6258183181441,337.07825817355973,310.4973216505025,375.6258183181441
BRA,Brazil,upper_middle_income,343.6200328252177,344.3226783200792,303.49318108131126,344.3226783200792
POL,Poland,high_income,275.28051397462707,278.21809182885073,225.37465862386995,278.21809182885073
PHL,Philippines,lower_middle_income,214.1921537546553,216.3218240488303,199.59273389752235,216.3218240488303
SWE,Sweden,high_income,125.3670408604362,128.044135751713,186.59418027854716,186.59418027854716
VNM,Viet Nam,lower_middle_income,185.586002469627,192.28300906391254,174.3576465669153,192.28300906391254
THA,Thailand,upper_middle_income,174.0773425681439,176.6905949961334,168.2454595225367,176.6905949961334
GBR,United Kingdom,high_income,226.5995617794593,240.53251644723525,162.07417592704542,240.53251644723525
ARG,Argentina,upper_middle_income,140.75400291488037,136.74091447554343,134.85350669502722,140.75400291488037
ROU,Romania,high_income,130.14017198097528,131.4777339460997,131.8441428319321,131.8441428319321
BEL,Belgium,high_income,105.53126005226503,107.11797253603957,127.15939073067041,127.15939073067041
