iso_partner,partner_jurisdiction,wb_income_group,excl_floored,excl_resource,ignorant,max_abs
CHN,China (People’s Republic of),upper_middle_income,-1826.167064501033,-1948.3632718184024,-2014.4942035191639,2014.4942035191639
HKG,Hong Kong (China),investment_hub,-783.1307853996831,-781.6468091026286,-790.2276342541322,790.2276342541322
JPN,Japan,high_income,-1171.2309475401776,-1170.6589081590284,-782.3880746995071,1171.2309475401776
SGP,Singapore,investment_hub,-657.7956614780361,-655.6747268408483,-673.776848872246,673.776848872246
CAN,Canada,high_income,-421.7042645638262,-421.7402382781886,-649.8125453155485,649.8125453155485
SAU,Saudi Arabia,high_income,-200.786409063773,-200.87594384254933,-648.6855639103302,648.6855639103302
CHE,Switzerland,investment_hub,-599.9390570607469,-600.2402269309263,-596.9140596784863,600.2402269309263
BMU,Bermuda,investment_hub,-389.9180659273014,-390.0273896118236,-407.4075521216921,407.4075521216921
IRL,Ireland,investment_hub,-377.1195568130207,-377.1746153882307,-374.30461718540226,377.1746153882307
NLD,Netherlands,investment_hub,-402.52364924420124,-405.3312457744818,-337.8042303911486,405.3312457744818
IMN,Isle of Man,investment_hub,-256.3696632943488,-260.3868621905483,-318.4027937574818,318.4027937574818
AUS,Australia,high_income,43.51321571965422,43.880424753605304,-272.73108684957003,272.73108684957003
VGB,British Virgin Islands,investment_hub,-248.87822755821597,-248.874059246268,-244.35719179437515,248.87822755821597
CYM,Cayman Islands,investment_hub,-191.77595621142927,-191.1654398235148,-220.302726165883,220.302726165883
PRI,Puerto Rico,investment_hub,-207.0666287585299,-207.2237828894395,-207.23554900158285,207.23554900158285
JEY,Jersey,investment_hub,-155.81554300597125,-154.85376589747503,-206.88890583011963,206.88890583011963
DNK,Denmark,high_income,-177.89880948128527,-177.879695101242,-178.87006886874047,178.87006886874047
NOR,Norway,high_income,-74.15427475358814,-73.8532358537984,-174.30439352491038,174.30439352491038
ARE,United Arab Emirates,investment_hub,-62.56722153895305,-62.02122024391382,-145.10306541321268,145.10306541321268
GIB,Gibraltar,investment_hub,-113.1864337219906,-113.23217156393501,-116.31066695760413,116.31066695760413
