ISO3,Country,Income group,Region,sample,scenario,formula,sales_basis,net_taxrev_change_USDm
ABW,Aruba,investment_hub,Caribbean/American isl.,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,606.7
AFG,Afghanistan,low_income,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,1154.4
AGO,Angola,lower_middle_income,Africa,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-18435.6
AIA,Anguilla,investment_hub,Caribbean/American isl.,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,0.0
ALB,Albania,upper_middle_income,Europe,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-266.6
AND,Andorra,high_income,Europe,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,0.0
ARE,United Arab Emirates,investment_hub,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-64643.7
ARG,Argentina,upper_middle_income,Latin America,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,13582.0
ARM,Armenia,upper_middle_income,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,1546.6
ASM,American Samoa,high_income,Oceania,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-23660.5
ATG,Antigua and Barbuda,high_income,Caribbean/American isl.,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,0.0
AUS,Australia,high_income,Oceania,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,36763.4
AUT,Austria,high_income,Europe,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,16596.5
AZE,Azerbaijan,upper_middle_income,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-105.6
BDI,Burundi,low_income,Africa,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,0.0
BEL,Belgium,high_income,Europe,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,98321.9
BEN,Benin,lower_middle_income,Africa,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,481.0
BFA,Burkina Faso,low_income,Africa,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-40560.9
BGD,Bangladesh,lower_middle_income,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,2546.7
BGR,Bulgaria,high_income,Europe,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,1793.0
BHR,Bahrain,high_income,Asia,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-53.8
BHS,Bahamas,investment_hub,Caribbean/American isl.,full sample (imputed),baseline (resources ignored),employees + payroll,origin sales,-177.9
