ISO3,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),Country,Income group,Region
ABW,374.8,151.8,135.0,137.8,233.4,0,False,135.0,Aruba,investment_hub,Caribbean/American isl.
AFG,-11370.0,-10362.8,-10192.3,-10211.1,-10561.9,5,True,-11370.0,Afghanistan,low_income,Asia
AGO,-6376.3,-1605.1,-1158.6,-752.4,-2223.9,5,True,-6376.3,Angola,lower_middle_income,Africa
AIA,0.0,0.0,0.0,0.0,0.0,0,False,0.0,Anguilla,investment_hub,Caribbean/American isl.
ALB,449.0,367.8,484.1,495.0,663.1,0,False,367.8,Albania,upper_middle_income,Europe
AND,-23.2,-6.1,-6.6,-9.0,-22.5,5,True,-23.2,Andorra,high_income,Europe
ARE,-39276.9,-35688.4,-37020.5,-36398.8,-38678.3,5,True,-39276.9,United Arab Emirates,investment_hub,Asia
ARG,10051.4,19463.5,24277.7,28574.3,32650.2,0,False,10051.4,Argentina,upper_middle_income,Latin America
ARM,432.3,212.7,496.5,465.7,833.7,0,False,212.7,Armenia,upper_middle_income,Asia
ASM,-101.7,-275.7,-252.7,-287.7,-212.6,5,True,-287.7,American Samoa,high_income,Oceania
ATG,61.0,87.4,94.3,108.4,115.8,0,False,61.0,Antigua and Barbuda,high_income,Caribbean/American isl.
AUS,33544.4,-2219.1,-14463.5,-27498.8,-35813.2,4,False,-35813.2,Australia,high_income,Oceania
AUT,10219.6,9434.2,6572.4,9913.2,9638.4,0,False,6572.4,Austria,high_income,Europe
AZE,55.1,284.6,425.9,602.5,777.6,0,False,55.1,Azerbaijan,upper_middle_income,Asia
BDI,6.6,9.2,11.3,11.4,12.6,0,False,6.6,Burundi,low_income,Africa
BEL,84729.2,61551.3,45032.6,38494.2,25930.5,0,False,25930.5,Belgium,high_income,Europe
BEN,79.7,262.2,352.5,440.2,510.9,0,False,79.7,Benin,lower_middle_income,Africa
BFA,-2414.0,-2360.9,-1984.9,-2032.9,-1724.5,5,True,-2414.0,Burkina Faso,low_income,Africa
BGD,810.1,9443.7,10372.6,14751.2,15759.4,0,False,810.1,Bangladesh,lower_middle_income,Asia
BGR,1206.0,912.5,1328.2,1379.7,1990.8,0,False,912.5,Bulgaria,high_income,Europe
BHR,-54.2,-47.9,-46.3,-47.7,-47.6,5,True,-54.2,Bahrain,high_income,Asia
BHS,-239.9,0.0,0.0,0.0,0.0,1,False,-239.9,Bahamas,investment_hub,Caribbean/American isl.
BIH,-52.3,-212.3,-51.4,-106.5,81.6,4,False,-212.3,Bosnia and Herzegovina,upper_middle_income,Europe
BLR,244.0,931.4,1102.7,1571.6,1860.4,0,False,244.0,Belarus,upper_middle_income,Europe
BLZ,-48.0,41.4,57.6,34.9,-15.9,2,False,-48.0,Belize,upper_middle_income,Caribbean/American isl.
BMU,-3772.2,-3630.8,-3643.2,-3683.5,-3808.9,5,True,-3808.9,Bermuda,investment_hub,Caribbean/American isl.
BOL,909.6,1918.7,2169.7,2125.4,1861.4,0,False,909.6,Bolivia,lower_middle_income,Latin America
BRA,21760.7,41259.1,72323.2,76358.7,100420.9,0,False,21760.7,Brazil,upper_middle_income,Latin America
BRB,-517.4,-433.7,-432.5,-435.3,-480.8,5,True,-517.4,Barbados,investment_hub,Caribbean/American isl.
BRN,240.3,259.8,225.3,241.4,215.3,0,False,215.3,Brunei Darussalam,high_income,Asia
BTN,-153.6,-337.6,-245.0,-287.9,-143.5,5,True,-337.6,Bhutan,lower_middle_income,Asia
BWA,-235.0,-173.2,-62.3,6.1,145.3,3,False,-235.0,Botswana,upper_middle_income,Africa
CAF,-295.1,-729.1,-364.0,-584.5,-216.8,5,True,-729.1,Central African Republic,low_income,Africa
CAN,24177.9,-3520.8,-10647.2,-19279.4,-24844.7,4,False,-24844.7,Canada,high_income,Northern America
CHE,-34722.2,-15574.2,-21150.1,-10314.1,-15563.2,5,True,-34722.2,Switzerland,investment_hub,Europe
CHL,11310.3,4960.4,7626.7,2432.3,2997.0,0,False,2432.3,Chile,high_income,Latin America
CHN,-172275.2,-115329.0,-35216.7,-52128.7,-7840.8,5,True,-172275.2,China (People’s Republic of),upper_middle_income,Asia
CIV,154.3,1448.1,1869.2,2470.8,2843.5,0,False,154.3,Côte d’Ivoire,lower_middle_income,Africa
CMR,124.9,1053.6,1332.0,1779.1,2034.7,0,False,124.9,Cameroon,lower_middle_income,Africa
COD,-5939.8,-516.9,390.0,-184.1,-2574.0,4,False,-5939.8,Democratic Republic of the Congo,low_income,Africa
COG,-115.2,2040.1,2213.3,1793.9,525.9,1,False,-115.2,Congo,lower_middle_income,Africa
COK,47.3,16.7,14.1,11.6,21.1,0,False,11.6,Cook Islands,investment_hub,Oceania
COL,13405.5,17869.4,24966.1,23259.1,26425.8,0,False,13405.5,Colombia,upper_middle_income,Latin America
