ISO3,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),Country,Income group,Region
ABW,5.6,-2.4,-0.7,3.7,12.8,2,False,-2.4,Aruba,investment_hub,Caribbean/American isl.
AFG,40.8,88.6,102.9,128.1,139.2,0,False,40.8,Afghanistan,low_income,Asia
AGO,-4484.3,-1062.1,-855.0,-676.5,-1968.2,5,True,-4484.3,Angola,lower_middle_income,Africa
AIA,0.0,0.0,0.0,0.0,0.0,0,False,0.0,Anguilla,investment_hub,Caribbean/American isl.
ALB,50.5,81.8,95.5,115.2,132.8,0,False,50.5,Albania,upper_middle_income,Europe
AND,-0.8,-1.0,-1.0,-1.0,-1.0,5,True,-1.0,Andorra,high_income,Europe
ARE,-25844.4,-23842.3,-24990.3,-24700.9,-26377.1,5,True,-26377.1,United Arab Emirates,investment_hub,Asia
ARG,7866.6,14939.8,17878.7,21459.9,24237.1,0,False,7866.6,Argentina,upper_middle_income,Latin America
ARM,95.2,153.5,184.7,209.5,236.9,0,False,95.2,Armenia,upper_middle_income,Asia
ASM,-3.2,-10.0,-9.7,-10.6,-7.9,5,True,-10.6,American Samoa,high_income,Oceania
ATG,0.2,1.9,1.9,2.9,2.9,0,False,0.2,Antigua and Barbuda,high_income,Caribbean/American isl.
AUS,36666.5,3135.2,-7282.3,-19537.7,-26289.7,3,False,-26289.7,Australia,high_income,Oceania
AUT,8718.1,10539.9,8853.3,12946.0,13542.2,0,False,8718.1,Austria,high_income,Europe
AZE,280.2,36.4,126.3,70.5,213.5,0,False,36.4,Azerbaijan,upper_middle_income,Asia
BDI,0.1,1.4,1.4,2.0,2.1,0,False,0.1,Burundi,low_income,Africa
BEL,85332.4,62468.1,49080.2,40435.6,29400.4,0,False,29400.4,Belgium,high_income,Europe
BEN,95.5,130.4,160.3,187.3,223.0,0,False,95.5,Benin,lower_middle_income,Africa
BFA,-104.0,-101.6,-65.0,-62.4,-26.2,5,True,-104.0,Burkina Faso,low_income,Africa
BGD,812.7,6483.6,6995.8,9928.2,10604.3,0,False,812.7,Bangladesh,lower_middle_income,Asia
BGR,746.7,581.2,844.3,899.4,1302.5,0,False,581.2,Bulgaria,high_income,Europe
BHR,-28.7,-24.9,-23.7,-24.0,-22.5,5,True,-28.7,Bahrain,high_income,Asia
BHS,-152.1,0.0,0.0,0.0,0.0,1,False,-152.1,Bahamas,investment_hub,Caribbean/American isl.
BIH,49.5,91.1,124.1,160.8,209.6,0,False,49.5,Bosnia and Herzegovina,upper_middle_income,Europe
BLR,107.2,664.6,719.0,1043.8,1144.4,0,False,107.2,Belarus,upper_middle_income,Europe
BLZ,-4.1,-4.9,-4.1,-4.1,-2.8,5,True,-4.9,Belize,upper_middle_income,Caribbean/American isl.
BMU,-2771.7,-2661.7,-2671.8,-2703.8,-2801.7,5,True,-2801.7,Bermuda,investment_hub,Caribbean/American isl.
BOL,608.1,964.6,1068.1,1134.0,1173.0,0,False,608.1,Bolivia,lower_middle_income,Latin America
BRA,15207.5,28167.3,52543.3,56637.5,77961.2,0,False,15207.5,Brazil,upper_middle_income,Latin America
BRB,-420.3,-356.7,-355.9,-365.8,-406.1,5,True,-420.3,Barbados,investment_hub,Caribbean/American isl.
BRN,176.9,200.6,164.8,166.5,128.2,0,False,128.2,Brunei Darussalam,high_income,Asia
BTN,-5.2,-6.4,-6.2,-6.3,-5.5,5,True,-6.4,Bhutan,lower_middle_income,Asia
BWA,54.8,34.4,94.1,125.4,221.7,0,False,34.4,Botswana,upper_middle_income,Africa
CAF,4.2,5.3,6.1,6.2,6.6,0,False,4.2,Central African Republic,low_income,Africa
CAN,11251.6,-11880.5,-14823.1,-23294.2,-29040.5,4,False,-29040.5,Canada,high_income,Northern America
CHE,-27745.8,-12101.5,-16968.6,-8294.3,-12892.3,5,True,-27745.8,Switzerland,investment_hub,Europe
CHL,5379.5,1313.2,3040.0,-519.5,-601.6,2,False,-601.6,Chile,high_income,Latin America
CHN,-34110.0,-91989.8,-35102.8,-70370.3,-4776.0,5,True,-91989.8,China (People’s Republic of),upper_middle_income,Asia
CIV,191.2,1066.4,1379.6,1775.8,2051.4,0,False,191.2,Côte d’Ivoire,lower_middle_income,Africa
CMR,153.7,581.9,780.1,998.7,1201.4,0,False,153.7,Cameroon,lower_middle_income,Africa
COD,248.1,1294.5,1668.4,1462.3,1106.4,0,False,248.1,Democratic Republic of the Congo,low_income,Africa
COG,523.6,1236.0,1266.6,1198.7,810.2,0,False,523.6,Congo,lower_middle_income,Africa
COK,3.2,3.2,3.2,3.3,3.3,0,False,3.2,Cook Islands,investment_hub,Oceania
COL,9148.2,12026.7,16659.0,15524.4,17727.0,0,False,9148.2,Colombia,upper_middle_income,Latin America
COM,4.1,1.7,3.0,2.4,4.3,0,False,1.7,Comoros,lower_middle_income,Africa
CPV,18.5,6.2,15.7,6.1,11.8,0,False,6.1,Cabo Verde,upper_middle_income,Africa
CRI,4573.1,1682.0,2477.5,2077.9,4014.8,0,False,1682.0,Costa Rica,high_income,Latin America
CUB,-9.8,115.2,118.7,184.5,191.2,1,False,-9.8,Cuba,upper_middle_income,Latin America
CUW,32.8,41.8,42.2,47.3,48.1,0,False,32.8,Curaçao,investment_hub,Caribbean/American isl.
CYM,-2300.5,-2276.8,-2290.9,-2303.9,-2342.5,5,True,-2342.5,Cayman Islands,investment_hub,Caribbean/American isl.
CYP,679.9,570.9,558.3,641.8,754.7,0,False,558.3,Cyprus,investment_hub,Europe
CZE,6757.3,5506.9,6371.7,7561.2,10218.9,0,False,5506.9,Czechia,high_income,Europe
DEU,138179.9,137600.8,115822.1,144577.6,144185.7,0,False,115822.1,Germany,high_income,Europe
DJI,8.7,12.6,14.0,16.4,18.2,0,False,8.7,Djibouti,lower_middle_income,Africa
DMA,0.8,0.6,0.7,0.8,1.0,0,False,0.6,Dominica,upper_middle_income,Caribbean/American isl.
DNK,-8394.0,-6244.3,-8638.4,-8312.5,-11492.3,5,True,-11492.3,Denmark,high_income,Europe
DOM,853.1,1061.3,1716.9,1895.0,2661.6,0,False,853.1,Dominican Republic,upper_middle_income,Latin America
DZA,-2815.5,1328.7,1667.1,3124.4,2916.9,1,False,-2815.5,Algeria,upper_middle_income,Africa
ECU,-229.4,750.2,1148.2,1658.1,2114.6,1,False,-229.4,Ecuador,upper_middle_income,Latin America
EGY,-958.0,2148.1,4402.8,5412.8,7128.8,1,False,-958.0,Egypt,lower_middle_income,Africa
