iso_partner,partner_jurisdiction,world_loss_caused_bn,revenue_collected_bn,ratio_loss_per_dollar_collected
HKG,Hong Kong (China),149.37241189953318,57.468032679752945,2.5992261251038067
SGP,Singapore,125.84387992708001,44.49866509605966,2.8280371929229724
NLD,Netherlands,115.8885464048042,48.45318050978903,2.391763454648579
CHE,Switzerland,109.94896917092066,44.5193836408033,2.4696875872771353
IRL,Ireland,94.00582948313566,59.46574727185689,1.5808399590670814
CYM,Cayman Islands,91.03428841220794,5.737570178523691,15.866348572599348
VGB,British Virgin Islands,48.99838736250382,2.7341784404086167,17.92069845857651
BMU,Bermuda,48.956789465136005,3.5466979741790143,13.803484204619501
LUX,Luxembourg,46.895072516790485,36.78167596163083,1.2749574697387238
PRI,Puerto Rico,41.138697027679555,4.124589752395635,9.974009416035976
GIB,Gibraltar,24.232430530021645,0.09179334866345676,263.9889587083847
JEY,Jersey,18.044745566732526,7.536158311591835,2.394422306518797
ARE,United Arab Emirates,15.676777463067328,32.18576081788948,0.4870718312911176
PAN,Panama,12.121768641319772,1.4652684765815485,8.27272874224367
BRB,Barbados,8.543205483943975,0.49235908511129106,17.35157478004676
IMN,Isle of Man,7.697313445754227,0.15463976727816306,49.77576972104754
MLT,Malta,7.473772165211521,11.728927431290066,0.6372084923360704
MUS,Mauritius,5.609823576471744,2.005907983443283,2.7966505057934334
CYP,Cyprus,5.416500243223673,1.3123540128024556,4.127316402726619
CUW,Curaçao,1.0292538809214695,0.031083020075366074,33.11305910512776
GGY,Bailiwick of Guernsey,0.8410638805075953,1.0360751276461138,0.8117788547037418
MCO,Monaco,0.6943939068596446,0.3251840334022911,2.135387459200979
LIE,Liechtenstein,0.14092681771890506,0.10988315428768315,1.2825152193023786
ABW,Aruba,0.07201224697915701,0.039099583314711236,1.8417650745669805
SYC,Seychelles,0.05092961724441028,0.005090220356841079,10.00538555781041
AIA,Anguilla,0.00922608636761714,0.0,
COK,Cook Islands,0.006229309461971014,0.000976991898644839,6.3760093308977615
IOT,British Indian Ocean Territory,0.002204242457701662,0.0,
BHS,Bahamas,0.0,0.0,
