Country,Reported profit base,Current tax revenue from MNEs,Baseline — Δ taxable profit,Baseline — Δ tax revenue,Excl. resource — Δ taxable profit,Excl. resource — Δ tax revenue,+ Min. royalty — Δ tax revenue (total),Of which: royalty,Loss consolidation — Δ tax revenue
LOW-INCOME,16.25,0.91,9.2,14.44,9.14,21.09,21.33,0.24,21.73
Afghanistan,-0.14,0.02,0.93,0.31,0.85,0.24,0.24,0.0,0.42
Burkina Faso,9.22,0.02,-8.43,-3.0,-8.32,-2.28,-2.18,0.1,-4.6
Burundi,-1.83,0.0,1.85,0.09,1.85,0.08,0.08,0.0,0.1
Central African Republic,-0.53,0.0,0.89,0.2,0.87,0.23,0.23,0.0,0.13
Chad,2.94,0.04,-2.53,-1.45,-2.24,-1.11,-1.11,0.0,-2.34
DR Congo,9.8,0.38,-8.26,0.37,-7.34,1.59,1.61,0.02,2.76
Ethiopia,2.41,0.13,1.19,0.83,0.88,2.06,2.06,0.0,4.07
Gambia,3.68,0.0,-3.41,0.02,-3.44,0.03,0.03,0.0,0.05
Guinea-Bissau,-0.24,0.0,0.29,0.06,0.29,0.06,0.06,0.0,0.07
Liberia,4.81,0.01,-4.43,0.05,-4.45,-0.14,-0.14,0.0,-0.43
Madagascar,2.46,0.02,-1.59,-0.3,-1.64,-0.34,-0.33,0.01,-0.68
Malawi,2.15,0.03,-0.86,-0.11,-1.08,-0.24,-0.24,0.0,-0.48
Mali,-7.84,0.02,8.87,7.44,8.8,5.12,5.15,0.03,5.5
Mozambique,-5.52,0.07,6.95,1.37,6.94,1.41,1.42,0.02,-0.97
Niger,4.99,0.02,-4.38,-3.42,-4.39,-0.77,-0.75,0.01,-1.55
North Korea,0.68,0.0,3.59,0.01,3.36,-0.04,-0.04,0.0,-0.08
Rwanda,0.1,0.0,0.48,0.2,0.42,0.19,0.19,0.0,0.38
Sierra Leone,-4.01,0.0,4.53,2.21,4.5,2.04,2.04,0.0,1.76
Somalia,-7.01,0.0,7.34,1.72,7.29,1.72,1.72,0.0,1.83
South Sudan,2.2,0.0,-2.22,-0.23,-1.95,-0.19,-0.19,0.0,-0.39
Sudan,-7.39,0.09,8.79,5.77,8.64,9.64,9.68,0.04,14.06
Syria,-2.37,0.0,3.28,1.8,3.21,1.18,1.18,0.0,1.03
Uganda,0.8,0.05,0.76,0.31,0.63,0.35,0.35,0.0,0.59
Yemen,6.9,0.0,-4.44,0.16,-4.54,0.25,0.25,0.0,0.5
LOWER-MIDDLE-INCOME,152.74,31.24,152.49,65.63,157.06,89.63,92.36,2.73,161.89
Angola,4.98,0.59,-4.73,-1.9,-2.05,-0.75,-0.75,0.0,-1.85
Bangladesh,1.61,0.37,9.62,3.04,8.68,4.78,4.78,0.0,9.47
Benin,1.16,0.0,-0.53,0.11,-0.58,0.13,0.13,0.0,0.25
Bhutan,2.56,0.0,-1.78,-1.05,-1.83,-0.64,-0.64,0.0,-1.28
Bolivia,0.94,0.08,0.75,0.29,0.7,0.3,0.5,0.2,0.56
Cambodia,1.55,0.17,1.86,0.45,1.7,0.52,0.52,0.0,1.02
Cameroon,0.18,0.12,0.84,0.31,1.04,0.62,0.62,0.0,1.16
Comoros,0.17,0.0,-0.15,0.0,-0.15,0.0,0.0,0.0,-0.0
Congo (Rep.),-2.33,0.17,2.81,1.83,3.0,1.26,1.26,0.01,1.08
Côte d'Ivoire,1.0,0.26,1.53,0.37,1.42,0.61,0.61,0.0,1.14
Djibouti,0.77,0.0,-0.62,0.01,-0.63,0.01,0.01,0.0,0.02
Egypt,5.8,0.58,7.12,2.53,9.1,2.92,2.92,0.0,5.67
Eswatini,4.5,0.04,-4.1,-0.95,-4.14,-0.74,-0.74,0.0,-1.5
Ghana,3.82,0.23,-0.77,0.26,-0.46,0.69,0.71,0.02,1.27
Guinea,8.25,0.05,-7.71,-2.07,-7.51,-2.58,-2.42,0.16,-5.18
Haiti,3.54,0.0,-2.67,0.0,-2.72,0.0,0.0,0.0,-0.0
Honduras,0.55,0.1,2.75,0.74,2.58,0.77,0.77,0.0,1.52
India,78.24,24.68,113.93,48.2,112.41,62.41,63.29,0.88,113.14
Kenya,1.04,0.32,3.14,1.08,2.77,2.18,2.18,0.0,4.28
Kiribati,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Kosovo,5.32,0.0,0.34,0.29,0.05,0.38,0.38,0.0,0.75
Kyrgyzstan,-0.09,0.0,0.77,0.15,0.73,0.12,0.13,0.0,0.23
Laos,3.88,0.05,-2.92,-0.4,-2.81,-0.3,-0.3,0.0,-0.61
Lebanon,0.01,0.06,2.49,0.48,2.21,0.78,0.78,0.0,1.51
Lesotho,0.59,0.02,-0.26,-0.0,-0.24,-0.0,-0.0,0.0,-0.01
Mauritania,-1.96,0.0,2.36,1.18,2.33,0.87,0.87,0.01,0.75
Morocco,3.5,0.94,5.19,1.81,4.85,2.44,2.78,0.34,4.92
Myanmar,0.45,0.06,2.77,0.66,2.9,1.18,1.28,0.1,2.26
Namibia,0.43,0.08,0.44,0.16,0.43,0.28,0.28,0.0,0.49
Nepal,2.77,0.05,-1.37,0.22,-1.49,0.27,0.27,0.0,0.53
Nicaragua,0.45,0.11,2.61,0.56,2.46,0.77,0.77,0.0,1.51
Nigeria,7.63,0.37,3.17,3.06,6.63,3.65,3.67,0.02,6.91
Pakistan,4.35,0.95,8.36,2.96,7.04,3.3,3.32,0.02,6.57
Palestine,-4.37,0.0,5.09,0.16,5.03,0.0,0.0,0.0,-0.23
Papua New Guinea,1.66,0.21,-0.42,-0.1,-0.48,-0.16,-0.15,0.02,-0.46
Sao Tome and Principe,-3.13,0.0,3.17,0.21,3.16,0.24,0.24,0.0,-0.47
Senegal,0.68,0.16,0.36,0.15,0.34,0.23,0.23,0.0,0.37
Solomon Islands,0.72,0.0,-0.42,-0.03,-0.44,-0.1,-0.1,0.0,-0.21
Tajikistan,0.85,0.0,-0.14,0.05,-0.07,0.21,0.21,0.0,0.41
Tanzania,0.89,0.04,1.01,0.49,1.52,0.88,0.89,0.01,1.71
Timor-Leste,5.55,0.0,-5.87,-1.83,-4.85,-0.45,-0.43,0.01,-0.91
Togo,2.25,0.01,-1.81,0.04,-1.83,0.06,0.06,0.0,0.12
Tunisia,0.51,0.08,2.32,1.12,2.33,1.01,1.02,0.01,2.53
Uzbekistan,0.22,0.0,2.13,0.33,2.2,0.39,1.14,0.76,0.76
Vanuatu,-0.32,0.0,0.46,0.0,0.45,0.0,0.0,0.0,0.0
Zambia,0.15,0.09,1.25,0.69,1.37,1.21,1.24,0.03,1.95
Zimbabwe,1.41,0.19,0.08,-0.02,-0.08,-0.09,0.04,0.13,-0.21
UPPER-MIDDLE-INCOME,1670.23,370.51,329.07,185.33,321.86,135.47,135.96,0.48,245.5
Albania,0.04,0.01,0.67,0.1,0.61,0.17,0.17,0.0,0.32
Algeria,2.96,0.09,1.04,0.96,3.44,3.64,3.64,0.0,7.22
Argentina,18.36,4.75,14.16,5.36,12.4,8.66,8.66,0.0,15.77
