Country,Reported profit base,Current tax revenue from MNEs,Baseline — Δ taxable profit,Baseline — Δ tax revenue,Excl. resource — Δ taxable profit,Excl. resource — Δ tax revenue,+ Min. royalty — Δ tax revenue (total),Of which: royalty,Loss consolidation — Δ tax revenue
AFRICA,40.58,16.03,34.87,13.8,47.51,26.66,27.63,0.97,45.56
Algeria,0.9,0.09,1.1,0.4,3.32,2.46,2.46,0.0,4.9
Angola,1.69,0.59,-1.45,-0.44,0.0,0.18,0.18,0.0,0.21
Benin,0.02,0.0,0.11,0.03,0.1,0.03,0.03,0.0,0.06
Botswana,0.23,0.04,0.14,0.04,0.25,0.06,0.06,0.0,0.11
British Indian Ocean Territory,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.12,0.02,-0.06,-0.0,0.01,0.01,0.11,0.1,0.02
Burundi,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,0.05,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Cameroon,0.11,0.12,0.51,0.17,0.66,0.34,0.34,0.0,0.61
Central African Republic,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,0.04,0.04,-0.01,-0.0,0.01,0.04,0.05,0.0,-0.02
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo (Rep.),-0.37,0.17,0.38,0.14,0.6,0.18,0.18,0.01,0.09
Côte d'Ivoire,0.66,0.26,1.17,0.29,1.03,0.37,0.37,0.0,0.66
Djibouti,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
DR Congo,-0.24,0.38,0.59,0.2,1.17,0.91,0.94,0.02,1.43
Egypt,2.83,0.58,6.85,1.75,7.73,1.87,1.87,0.0,3.67
Equatorial Guinea,0.47,0.11,-0.48,0.0,-0.37,-0.07,-0.07,0.0,-0.15
Eswatini,0.49,0.04,-0.31,-0.06,-0.33,-0.02,-0.02,0.0,-0.04
Ethiopia,0.22,0.13,1.76,0.56,1.56,1.21,1.21,0.0,2.39
Gabon,0.28,0.19,-0.28,-0.08,0.09,0.13,0.13,0.0,0.13
Gambia,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01
Ghana,1.27,0.23,0.51,0.22,0.77,0.28,0.31,0.02,0.49
Guinea,0.22,0.05,-0.1,0.01,-0.08,-0.01,0.15,0.16,-0.02
Guinea-Bissau,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,0.52,0.32,2.36,0.84,2.1,1.41,1.41,0.0,2.75
Lesotho,0.07,0.02,0.07,0.02,0.05,0.01,0.01,0.0,0.03
Liberia,0.03,0.01,0.08,0.08,0.07,0.07,0.07,0.0,0.0
Libya,0.04,0.02,-3.24,-1.41,0.55,0.11,0.11,0.0,0.2
Madagascar,0.15,0.02,0.15,0.03,0.14,0.03,0.04,0.01,0.06
Malawi,0.09,0.03,0.33,0.1,0.16,0.05,0.05,0.0,0.09
Mali,-0.12,0.02,0.28,0.1,0.27,0.08,0.11,0.03,0.07
Mauritania,-0.01,0.0,0.06,0.02,0.06,0.01,0.02,0.01,0.02
Mauritius,3.28,0.33,-2.63,0.08,-2.69,-0.16,-0.16,0.0,-0.84
Morocco,2.07,0.75,4.55,1.43,3.94,1.59,1.93,0.34,3.21
Mozambique,-2.25,0.07,3.21,1.05,3.22,1.05,1.07,0.02,0.43
Namibia,0.27,0.08,0.33,0.12,0.29,0.15,0.15,0.0,0.23
Niger,0.05,0.02,0.04,0.01,0.05,0.03,0.04,0.01,0.05
Nigeria,1.47,0.37,5.72,2.09,7.42,2.31,2.33,0.02,4.32
Rwanda,0.0,0.0,0.16,0.05,0.13,0.04,0.04,0.0,0.07
Réunion,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Sao Tome and Principe,-0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Senegal,0.39,0.16,0.3,0.11,0.24,0.12,0.12,0.0,0.15
Seychelles,0.05,0.0,-0.03,0.0,-0.04,0.0,0.0,0.0,-0.0
