Country,Current profit base,Sales & employees,CCCTB,Three-factor,Double-weighted sales,Sales & employees (%),CCCTB (%),Three-factor (%),Double-weighted sales (%)
LOW-INCOME,2.15,7.74,6.42,7.32,7.5,360.0,298.6,340.47,348.84
Afghanistan,0.01,0.09,0.06,0.07,0.09,900.0,600.0,700.0,900.0
Burkina Faso,0.12,0.01,-0.04,-0.01,-0.01,8.33,-33.33,-8.33,-8.33
Burundi,0.0,0.0,0.0,0.0,0.0,,,,
Central African Republic,0.0,0.0,0.0,0.0,0.0,,,,
Chad,0.19,0.01,0.05,0.06,0.05,5.26,26.32,31.58,26.32
DR Congo,0.32,1.17,1.32,1.51,1.36,365.62,412.5,471.88,425.0
Ethiopia,0.24,1.56,0.83,1.01,1.3,650.0,345.83,420.83,541.67
Gambia,0.01,0.01,0.0,0.01,0.01,100.0,0.0,100.0,100.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,,,,
Liberia,0.22,0.07,0.1,0.12,0.1,31.82,45.45,54.55,45.45
Madagascar,0.15,0.14,0.01,0.06,0.07,93.33,6.67,40.0,46.67
Malawi,0.09,0.16,0.04,0.1,0.09,177.78,44.44,111.11,100.0
Mali,0.02,0.27,0.23,0.25,0.27,1350.0,1150.0,1250.0,1350.0
Mozambique,0.27,3.22,3.03,3.24,3.15,1192.59,1122.22,1200.0,1166.67
Niger,0.05,0.05,0.1,0.11,0.1,100.0,200.0,220.0,200.0
North Korea,0.02,-0.0,-0.01,-0.0,-0.01,-0.0,-50.0,-0.0,-50.0
Rwanda,0.01,0.13,0.08,0.09,0.11,1300.0,800.0,900.0,1100.0
Sierra Leone,0.0,0.02,0.02,0.02,0.02,,,,
Somalia,0.0,0.03,0.02,0.02,0.02,,,,
South Sudan,0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-100.0,-100.0,-100.0
Sudan,0.03,0.25,0.19,0.21,0.24,833.33,633.33,700.0,800.0
Syria,0.0,0.06,0.05,0.05,0.06,,,,
Uganda,0.37,0.47,0.32,0.4,0.48,127.03,86.49,108.11,129.73
Yemen,0.01,0.01,0.0,0.0,0.01,100.0,0.0,0.0,100.0
LOWER-MIDDLE-INCOME,91.3,134.69,58.68,89.42,102.19,147.52,64.27,97.94,111.93
Angola,1.83,0.0,0.51,0.62,0.69,0.0,27.87,33.88,37.7
Bangladesh,0.76,5.71,3.45,3.75,5.32,751.32,453.95,493.42,700.0
Benin,0.02,0.1,0.06,0.07,0.09,500.0,300.0,350.0,450.0
Bhutan,0.01,-0.01,-0.01,-0.01,-0.01,-100.0,-100.0,-100.0,-100.0
Bolivia,0.7,0.32,0.23,0.32,0.37,45.71,32.86,45.71,52.86
Cambodia,1.02,1.45,0.41,0.9,0.54,142.16,40.2,88.24,52.94
Cameroon,0.21,0.66,0.4,0.5,0.56,314.29,190.48,238.1,266.67
Comoros,0.0,0.0,0.0,0.0,0.0,,,,
Congo (Rep.),0.07,0.6,0.9,0.91,0.86,857.14,1285.71,1300.0,1228.57
Côte d'Ivoire,0.68,1.03,0.48,0.69,0.84,151.47,70.59,101.47,123.53
Djibouti,0.01,0.01,0.01,0.01,0.01,100.0,100.0,100.0,100.0
Egypt,3.02,7.73,4.69,5.83,7.12,255.96,155.3,193.05,235.76
Eswatini,0.49,-0.33,-0.39,-0.37,-0.38,-67.35,-79.59,-75.51,-77.55
Ghana,1.27,0.77,0.74,0.92,1.06,60.63,58.27,72.44,83.46
Guinea,0.22,-0.08,-0.11,-0.09,-0.09,-36.36,-50.0,-40.91,-40.91
Haiti,0.0,0.0,0.0,0.0,0.0,,,,
Honduras,0.38,1.6,0.6,1.07,0.9,421.05,157.89,281.58,236.84
India,68.68,88.28,30.82,54.32,60.36,128.54,44.87,79.09,87.89
Kenya,0.52,2.1,1.15,1.43,1.79,403.85,221.15,275.0,344.23
Kiribati,0.0,0.0,0.0,0.0,0.0,,,,
Kosovo,0.01,0.02,0.01,0.01,0.02,200.0,100.0,100.0,200.0
Kyrgyzstan,0.02,0.1,0.08,0.09,0.09,500.0,400.0,450.0,450.0
Laos,0.38,-0.09,-0.14,-0.1,-0.12,-23.68,-36.84,-26.32,-31.58
Lebanon,0.14,0.61,0.37,0.4,0.57,435.71,264.29,285.71,407.14
Lesotho,0.07,0.05,0.01,0.03,0.01,71.43,14.29,42.86,14.29
Mauritania,0.0,0.06,0.04,0.04,0.05,,,,
Morocco,2.07,3.94,1.37,2.46,2.45,190.34,66.18,118.84,118.36
Myanmar,0.38,2.06,1.27,1.61,1.68,542.11,334.21,423.68,442.11
Namibia,0.27,0.29,0.22,0.26,0.22,107.41,81.48,96.3,81.48
Nepal,0.16,0.23,0.1,0.12,0.21,143.75,62.5,75.0,131.25
Nicaragua,0.27,0.52,0.17,0.35,0.28,192.59,62.96,129.63,103.7
Nigeria,1.82,7.42,6.07,6.44,8.28,407.69,333.52,353.85,454.95
Pakistan,2.26,4.73,2.27,2.84,4.12,209.29,100.44,125.66,182.3
Palestine,0.0,0.0,0.0,0.0,0.0,,,,
Papua New Guinea,1.47,-0.57,-0.05,0.06,-0.1,-38.78,-3.4,4.08,-6.8
Sao Tome and Principe,0.0,0.01,0.01,0.01,0.01,,,,
Senegal,0.47,0.24,0.13,0.21,0.24,51.06,27.66,44.68,51.06
Solomon Islands,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Tajikistan,0.0,0.12,0.08,0.1,0.1,,,,
Tanzania,0.07,1.37,0.89,1.03,1.22,1957.14,1271.43,1471.43,1742.86
Timor-Leste,0.02,-0.01,-0.0,-0.0,-0.0,-50.0,-0.0,-0.0,-0.0
Togo,0.03,0.04,0.02,0.03,0.03,133.33,66.67,100.0,100.0
Tunisia,0.31,1.85,0.81,1.22,1.23,596.77,261.29,393.55,396.77
Uzbekistan,0.01,0.88,0.61,0.62,0.87,8800.0,6100.0,6200.0,8700.0
Vanuatu,0.05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
Zambia,0.27,0.92,0.67,0.83,0.79,340.74,248.15,307.41,292.59
Zimbabwe,0.86,-0.04,-0.24,-0.11,-0.1,-4.65,-27.91,-12.79,-11.63
UPPER-MIDDLE-INCOME,1522.67,255.77,28.73,152.51,125.36,16.8,1.89,10.02,8.23
Albania,0.04,0.17,0.11,0.12,0.15,425.0,275.0,300.0,375.0
Algeria,0.9,3.32,2.47,2.66,3.5,368.89,274.44,295.56,388.89
Argentina,14.78,8.01,3.95,5.68,6.46,54.19,26.73,38.43,43.71
Armenia,0.01,0.18,0.1,0.12,0.15,1800.0,1000.0,1200.0,1500.0
Azerbaijan,0.18,1.21,1.06,1.11,1.18,672.22,588.89,616.67,655.56
Belarus,0.23,0.81,0.45,0.5,0.72,352.17,195.65,217.39,313.04
Belize,0.0,0.0,-0.0,-0.0,-0.0,,,,
Bosnia and Herzegovina,0.24,0.34,0.14,0.2,0.26,141.67,58.33,83.33,108.33
Botswana,0.24,0.25,0.1,0.15,0.17,104.17,41.67,62.5,70.83
Brazil,99.25,23.52,0.42,14.95,12.19,23.7,0.42,15.06,12.28
Cabo Verde,0.05,-0.0,-0.01,-0.0,-0.01,-0.0,-20.0,-0.0,-20.0
China,1099.93,45.12,-31.67,9.53,-5.42,4.1,-2.88,0.87,-0.49
Colombia,12.26,7.33,5.59,7.92,6.85,59.79,45.6,64.6,55.87
Cuba,0.02,0.1,0.06,0.06,0.1,500.0,300.0,300.0,500.0
Dominica,0.0,0.0,0.0,0.0,0.0,,,,
Dominican Republic,1.58,1.4,0.29,0.73,0.85,88.61,18.35,46.2,53.8
Ecuador,1.64,1.58,0.66,0.93,1.27,96.34,40.24,56.71,77.44
El Salvador,0.62,1.0,0.27,0.63,0.5,161.29,43.55,101.61,80.65
Equatorial Guinea,0.48,-0.37,-0.34,-0.34,-0.33,-77.08,-70.83,-70.83,-68.75
Fiji,0.1,0.04,-0.0,0.02,0.02,40.0,-0.0,20.0,20.0
Gabon,0.39,0.09,0.22,0.25,0.24,23.08,56.41,64.1,61.54
Georgia,0.11,0.51,0.25,0.34,0.37,463.64,227.27,309.09,336.36
Grenada,0.0,0.0,0.0,0.0,0.0,,,,
Guatemala,1.69,0.94,0.01,0.38,0.46,55.62,0.59,22.49,27.22
Indonesia,39.42,33.0,13.27,23.73,22.02,83.71,33.66,60.2,55.86
Iran,0.23,3.25,2.12,2.16,3.22,1413.04,921.74,939.13,1400.0
Iraq,0.04,4.46,3.31,3.37,4.53,11150.0,8275.0,8425.0,11325.0
Jamaica,0.11,0.79,0.52,0.64,0.63,718.18,472.73,581.82,572.73
Jordan,0.49,0.41,0.19,0.28,0.37,83.67,38.78,57.14,75.51
Kazakhstan,5.54,4.42,3.0,3.58,4.82,79.78,54.15,64.62,87.0
Libya,0.08,0.55,0.62,0.65,0.71,687.5,775.0,812.5,887.5
Malaysia,41.29,-3.85,-8.43,-4.99,-7.66,-9.32,-20.42,-12.09,-18.55
Maldives,0.03,0.02,0.02,0.02,0.02,66.67,66.67,66.67,66.67
Marshall Islands,0.42,-0.38,-0.15,-0.15,-0.22,-90.48,-35.71,-35.71,-52.38
Mexico,87.11,23.68,-7.03,12.97,4.78,27.18,-8.07,14.89,5.49
Micronesia,0.35,-0.35,-0.35,-0.35,-0.35,-100.0,-100.0,-100.0,-100.0
Moldova,0.02,0.26,0.12,0.18,0.16,1300.0,600.0,900.0,800.0
Mongolia,0.09,0.21,0.15,0.18,0.19,233.33,166.67,200.0,211.11
Montenegro,0.02,0.09,0.09,0.1,0.09,450.0,450.0,500.0,450.0
North Macedonia,0.14,0.46,0.23,0.31,0.3,328.57,164.29,221.43,214.29
Paraguay,0.49,0.41,0.27,0.35,0.41,83.67,55.1,71.43,83.67
Peru,9.0,3.31,4.41,6.07,4.51,36.78,49.0,67.44,50.11
Philippines,7.68,20.45,7.5,13.17,12.37,266.28,97.66,171.48,161.07
Saint Lucia,0.05,-0.03,-0.03,-0.03,-0.03,-60.0,-60.0,-60.0,-60.0
Saint Vincent and the Grenadines,0.03,-0.03,-0.02,-0.02,-0.02,-100.0,-66.67,-66.67,-66.67
Samoa,0.08,-0.06,-0.06,-0.06,-0.06,-75.0,-75.0,-75.0,-75.0
Serbia,1.69,1.67,0.53,0.94,0.93,98.82,31.36,55.62,55.03
South Africa,23.88,10.06,4.12,9.12,6.54,42.13,17.25,38.19,27.39
