Country,Current tax revenue from MNEs,Sales & employees,CCCTB,Three-factor,Double-weighted sales,Sales & employees (%),CCCTB (%),Three-factor (%),Double-weighted sales (%)
LOW-INCOME,0.9,21.23,16.13,21.27,17.89,2358.89,1792.22,2363.33,1987.78
Afghanistan,0.02,0.24,0.19,0.25,0.22,1200.0,950.0,1250.0,1100.0
Burkina Faso,0.02,-2.28,-2.25,-2.17,-2.01,-11400.0,-11250.0,-10850.0,-10050.0
Burundi,0.0,0.08,0.0,0.0,0.07,,,,
Central African Republic,0.0,0.23,0.18,0.3,0.18,,,,
Chad,0.04,-1.11,-1.5,-1.11,-1.45,-2775.0,-3750.0,-2775.0,-3625.0
DR Congo,0.38,1.59,1.75,2.01,1.94,418.42,460.53,528.95,510.53
Ethiopia,0.13,2.06,-0.06,0.13,0.52,1584.62,-46.15,100.0,400.0
Gambia,0.0,0.03,-0.03,0.04,0.03,,,,
Guinea-Bissau,0.0,0.06,0.0,0.0,0.05,,,,
Madagascar,0.02,-0.34,-0.37,-0.33,-0.3,-1700.0,-1850.0,-1650.0,-1500.0
Malawi,0.03,-0.24,-0.56,-1.09,-0.53,-800.0,-1866.67,-3633.33,-1766.67
Mali,0.02,5.12,4.21,5.05,4.26,25600.0,21050.0,25250.0,21300.0
Mozambique,0.07,1.41,0.98,1.57,1.39,2014.29,1400.0,2242.86,1985.71
Niger,0.02,-0.77,-0.19,-0.17,-0.18,-3850.0,-950.0,-850.0,-900.0
North Korea,0.0,-0.04,-0.15,-0.09,-0.09,,,,
Rwanda,0.0,0.19,0.12,0.17,0.16,,,,
Sierra Leone,0.0,2.04,1.68,1.72,1.6,,,,
Somalia,0.0,1.72,1.62,2.09,1.51,,,,
South Sudan,0.0,-0.19,-0.18,-0.18,-0.16,,,,
Sudan,0.09,9.64,9.35,11.48,9.23,10711.11,10388.89,12755.56,10255.56
Syria,0.0,1.18,1.38,1.93,1.1,,,,
Uganda,0.05,0.35,0.18,0.27,0.3,700.0,360.0,540.0,600.0
Yemen,0.0,0.25,-0.23,-0.61,0.06,,,,
LOWER-MIDDLE-INCOME,31.24,89.63,47.2,66.98,76.76,286.91,151.09,214.4,245.71
Angola,0.59,-0.75,1.22,1.4,1.38,-127.12,206.78,237.29,233.9
Bangladesh,0.37,4.78,2.86,3.26,4.62,1291.89,772.97,881.08,1248.65
Benin,0.0,0.13,0.07,0.1,0.11,,,,
Bhutan,0.0,-0.64,-0.82,-1.0,-0.66,,,,
Bolivia,0.08,0.3,0.15,0.3,0.37,375.0,187.5,375.0,462.5
Cambodia,0.17,0.52,0.13,0.38,0.29,305.88,76.47,223.53,170.59
Cameroon,0.12,0.62,0.42,0.5,0.55,516.67,350.0,416.67,458.33
Comoros,0.0,0.0,0.0,0.0,0.0,,,,
Congo (Rep.),0.17,1.26,1.22,1.17,1.18,741.18,717.65,688.24,694.12
Côte d'Ivoire,0.26,0.61,0.34,0.43,0.52,234.62,130.77,165.38,200.0
Djibouti,0.0,0.01,0.01,0.01,0.01,,,,
Egypt,0.58,2.92,1.97,2.37,2.74,503.45,339.66,408.62,472.41
Eswatini,0.04,-0.74,-0.98,-1.03,-1.02,-1850.0,-2450.0,-2575.0,-2550.0
Ghana,0.23,0.69,0.58,0.68,0.71,300.0,252.17,295.65,308.7
Guinea,0.05,-2.58,-1.79,-1.68,-1.88,-5160.0,-3580.0,-3360.0,-3760.0
Haiti,0.0,0.0,0.0,0.0,0.0,,,,
Honduras,0.1,0.77,0.33,0.57,0.51,770.0,330.0,570.0,510.0
India,24.68,62.41,29.88,44.01,50.32,252.88,121.07,178.32,203.89
Kenya,0.32,2.18,1.25,1.52,1.91,681.25,390.62,475.0,596.88
Kiribati,0.0,0.0,0.0,0.0,0.0,,,,
Kosovo,0.0,0.38,0.11,0.19,0.18,,,,
Kyrgyzstan,0.0,0.12,0.13,0.17,0.13,,,,
Laos,0.05,-0.3,-0.11,-0.21,-0.15,-600.0,-220.0,-420.0,-300.0
Lebanon,0.06,0.78,0.51,0.61,0.73,1300.0,850.0,1016.67,1216.67
Lesotho,0.02,-0.0,-0.11,-0.21,-0.12,-0.0,-550.0,-1050.0,-600.0
Mauritania,0.0,0.87,0.77,0.93,0.71,,,,
Morocco,0.94,2.44,1.24,1.8,1.81,259.57,131.91,191.49,192.55
Myanmar,0.06,1.18,0.77,0.97,1.0,1966.67,1283.33,1616.67,1666.67
Namibia,0.08,0.28,0.2,0.24,0.23,350.0,250.0,300.0,287.5
Nepal,0.05,0.27,-0.06,0.16,0.25,540.0,-120.0,320.0,500.0
Nicaragua,0.11,0.77,0.32,0.6,0.48,700.0,290.91,545.45,436.36
Nigeria,0.37,3.65,2.8,3.16,3.9,986.49,756.76,854.05,1054.05
Pakistan,0.95,3.3,1.91,2.23,2.99,347.37,201.05,234.74,314.74
Palestine,0.0,0.0,0.0,0.0,0.0,,,,
Papua New Guinea,0.21,-0.16,-0.09,-0.03,-0.1,-76.19,-42.86,-14.29,-47.62
Sao Tome and Principe,0.0,0.24,0.31,0.65,0.25,,,,
Senegal,0.16,0.23,0.04,0.22,0.21,143.75,25.0,137.5,131.25
Solomon Islands,0.0,-0.1,-0.1,-0.06,-0.09,,,,
Tajikistan,0.0,0.21,0.1,0.16,0.17,,,,
Tanzania,0.04,0.88,0.56,0.7,0.8,2200.0,1400.0,1750.0,2000.0
Timor-Leste,0.0,-0.45,-0.56,-0.38,-0.51,,,,
Togo,0.01,0.06,0.03,0.05,0.05,600.0,300.0,500.0,500.0
Tunisia,0.08,1.01,0.53,0.76,0.76,1262.5,662.5,950.0,950.0
Uzbekistan,0.0,0.39,0.24,0.27,0.37,,,,
Vanuatu,0.0,0.0,-0.0,0.0,0.0,,,,
Zambia,0.09,1.21,0.96,1.11,1.14,1344.44,1066.67,1233.33,1266.67
Zimbabwe,0.19,-0.09,-0.13,-0.1,-0.1,-47.37,-68.42,-52.63,-52.63
UPPER-MIDDLE-INCOME,370.51,135.47,28.53,91.88,84.92,36.56,7.7,24.8,22.92
Albania,0.01,0.17,0.11,0.13,0.15,1700.0,1100.0,1300.0,1500.0
Algeria,0.09,3.64,2.38,2.73,3.5,4044.44,2644.44,3033.33,3888.89
Argentina,4.75,8.66,3.13,6.86,8.03,182.32,65.89,144.42,169.05
Armenia,0.0,0.22,0.11,0.18,0.16,,,,
Azerbaijan,0.03,0.46,0.35,0.39,0.46,1533.33,1166.67,1300.0,1533.33
Belarus,0.05,0.4,0.23,0.3,0.35,800.0,460.0,600.0,700.0
Belize,0.0,-0.24,-0.41,-0.32,-0.24,,,,
Bosnia and Herzegovina,0.03,0.11,0.06,0.08,0.09,366.67,200.0,266.67,300.0
Botswana,0.04,0.14,0.06,0.09,0.1,350.0,150.0,225.0,250.0
Brazil,28.69,27.96,10.96,22.98,24.62,97.46,38.2,80.1,85.81
Cabo Verde,0.0,-0.19,-0.2,-0.27,-0.19,,,,
China,255.9,0.52,-13.08,-1.64,-5.41,0.2,-5.11,-0.64,-2.11
Colombia,4.26,8.66,5.58,7.96,9.65,203.29,130.99,186.85,226.53
Cuba,0.0,1.23,0.61,0.81,1.02,,,,
Dominica,0.0,0.0,0.0,0.0,0.0,,,,
Dominican Republic,0.33,1.06,0.47,0.72,0.78,321.21,142.42,218.18,236.36
Ecuador,0.57,1.2,0.56,0.77,1.09,210.53,98.25,135.09,191.23
El Salvador,0.12,0.62,0.26,0.48,0.42,516.67,216.67,400.0,350.0
Equatorial Guinea,0.11,-0.67,-0.63,-0.59,-0.57,-609.09,-572.73,-536.36,-518.18
Fiji,0.02,0.02,-0.0,0.01,0.01,100.0,-0.0,50.0,50.0
Gabon,0.19,-0.25,-0.04,-0.54,-1.26,-131.58,-21.05,-284.21,-663.16
Georgia,0.01,0.13,0.09,0.12,0.12,1300.0,900.0,1200.0,1200.0
Grenada,0.0,0.0,0.0,0.0,0.0,,,,
Guatemala,0.26,1.01,0.07,0.63,0.85,388.46,26.92,242.31,326.92
Indonesia,9.19,15.52,8.97,12.19,13.33,168.88,97.61,132.64,145.05
Iran,0.04,3.5,2.29,2.65,3.61,8750.0,5725.0,6625.0,9025.0
Iraq,0.04,1.14,0.82,0.87,1.19,2850.0,2050.0,2175.0,2975.0
Jamaica,0.05,0.8,0.51,0.67,0.64,1600.0,1020.0,1340.0,1280.0
Jordan,0.05,0.28,0.15,0.21,0.23,560.0,300.0,420.0,460.0
Kazakhstan,0.58,2.15,1.53,1.77,2.26,370.69,263.79,305.17,389.66
Libya,0.02,0.34,0.22,0.34,0.33,1700.0,1100.0,1700.0,1650.0
Malaysia,8.61,-2.58,-3.58,-2.16,-4.04,-29.97,-41.58,-25.09,-46.92
Maldives,0.01,-0.06,-0.28,-0.38,-0.03,-600.0,-2800.0,-3800.0,-300.0
Marshall Islands,0.0,-0.0,-0.0,-0.0,-0.0,,,,
Mexico,26.18,22.23,-5.19,10.29,0.18,84.91,-19.82,39.3,0.69
Micronesia,0.06,-6.67,-5.36,-6.74,-5.4,-11116.67,-8933.33,-11233.33,-9000.0
Moldova,0.01,0.16,0.07,0.12,0.12,1600.0,700.0,1200.0,1200.0
Mongolia,0.02,0.19,0.2,0.28,0.23,950.0,1000.0,1400.0,1150.0
Montenegro,0.0,0.06,0.07,0.11,0.07,,,,
North Macedonia,0.03,0.17,0.09,0.13,0.12,566.67,300.0,433.33,400.0
Paraguay,0.05,0.23,0.14,0.14,0.21,460.0,280.0,280.0,420.0
Peru,1.77,1.4,1.71,3.13,1.77,79.1,96.61,176.84,100.0
Philippines,1.68,8.4,3.5,6.06,5.64,500.0,208.33,360.71,335.71
Saint Lucia,0.0,-0.01,-0.01,-0.01,-0.01,,,,
Saint Vincent and the Grenadines,0.01,-0.05,-0.04,-0.11,-0.05,-500.0,-400.0,-1100.0,-500.0
Samoa,0.01,-0.08,-0.07,-0.07,-0.06,-800.0,-700.0,-700.0,-600.0
Serbia,0.14,0.48,0.21,0.31,0.29,342.86,150.0,221.43,207.14
South Africa,10.22,13.74,3.57,8.43,7.45,134.44,34.93,82.49,72.9
Sri Lanka,0.06,1.33,0.76,0.96,1.13,2216.67,1266.67,1600.0,1883.33
Suriname,0.0,-0.15,-0.27,-0.19,-0.15,,,,
Thailand,5.48,2.55,-2.34,-0.14,-0.27,46.53,-42.7,-2.55,-4.93
Tonga,0.0,0.0,0.0,0.0,0.0,,,,
Turkmenistan,0.0,0.07,0.04,0.06,0.07,,,,
Türkiye,7.03,3.91,1.51,2.51,3.32,55.62,21.48,35.7,47.23
Ukraine,0.8,4.15,2.56,3.32,3.58,518.75,320.0,415.0,447.5
Venezuela,0.13,2.49,4.6,2.38,2.55,1915.38,3538.46,1830.77,1961.54
Vietnam,2.79,4.92,1.51,2.88,2.87,176.34,54.12,103.23,102.87
HIGH-INCOME,744.11,176.02,249.56,191.6,209.83,23.66,33.54,25.75,28.2
American Samoa,0.0,-1.5,-1.07,-1.08,-1.11,,,,
Andorra,0.0,0.0,0.0,0.0,0.0,,,,
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,,,,
Australia,17.01,5.48,10.86,10.56,11.05,32.22,63.84,62.08,64.96
Austria,3.85,0.97,0.99,-0.84,0.27,25.19,25.71,-21.82,7.01
Bahrain,0.0,0.0,0.0,0.0,0.0,,,,
Belgium,8.66,3.27,11.9,8.56,6.28,37.76,137.41,98.85,72.52
Brunei,0.01,0.11,0.1,0.09,0.11,1100.0,1000.0,900.0,1100.0
Bulgaria,0.24,0.5,0.27,0.36,0.39,208.33,112.5,150.0,162.5
Canada,36.44,-14.81,-6.26,-6.98,-9.12,-40.64,-17.18,-19.15,-25.03
Chile,4.12,1.16,1.34,1.63,1.06,28.16,32.52,39.56,25.73
Cook Islands,0.0,0.22,0.15,0.09,0.14,,,,
Costa Rica,0.4,1.12,0.29,0.69,0.38,280.0,72.5,172.5,95.0
Croatia,0.22,0.49,0.31,0.36,0.43,222.73,140.91,163.64,195.45
Czechia,2.27,3.24,1.4,2.43,2.77,142.73,61.67,107.05,122.03
Denmark,5.63,-4.41,-3.14,-3.43,-3.87,-78.33,-55.77,-60.92,-68.74
Estonia,0.04,0.37,0.18,0.18,0.33,925.0,450.0,450.0,825.0
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,,,,
Faroe Islands,0.0,-0.38,0.01,0.01,0.0,,,,
Finland,3.25,3.15,3.39,1.53,2.92,96.92,104.31,47.08,89.85
France,33.11,40.32,29.65,30.98,39.36,121.78,89.55,93.57,118.88
French Guiana,0.0,0.0,0.0,0.0,0.0,,,,
French Polynesia,0.03,-4.32,-3.07,-3.72,-3.06,-14400.0,-10233.33,-12400.0,-10200.0
Germany,41.52,29.76,23.27,23.37,28.76,71.68,56.05,56.29,69.27
Greece,1.02,1.15,0.95,1.12,1.02,112.75,93.14,109.8,100.0
Greenland,0.01,-0.26,-0.28,-0.34,-0.34,-2600.0,-2800.0,-3400.0,-3400.0
Guadeloupe,0.0,0.54,0.68,0.41,0.51,,,,
Guam,0.02,0.18,0.14,0.16,0.14,900.0,700.0,800.0,700.0
Guyana,0.01,0.07,0.05,0.07,0.07,700.0,500.0,700.0,700.0
Hungary,1.67,2.09,0.72,1.16,1.16,125.15,43.11,69.46,69.46
Iceland,0.02,0.4,0.4,0.37,0.41,2000.0,2000.0,1850.0,2050.0
Israel,1.75,0.49,0.19,0.16,0.46,28.0,10.86,9.14,26.29
Italy,18.85,21.66,15.07,16.29,22.18,114.91,79.95,86.42,117.67
Japan,125.74,-61.0,-25.45,-37.5,-53.82,-48.51,-20.24,-29.82,-42.8
Kuwait,0.01,0.81,0.52,0.58,0.76,8100.0,5200.0,5800.0,7600.0
Latvia,0.04,0.32,0.21,0.24,0.28,800.0,525.0,600.0,700.0
Lithuania,0.14,0.34,0.17,0.25,0.28,242.86,121.43,178.57,200.0
Macao,2.1,-0.89,0.12,0.2,-0.77,-42.38,5.71,9.52,-36.67
Martinique,0.0,0.19,0.13,0.12,0.14,,,,
Nauru,0.0,0.0,0.0,0.0,0.0,,,,
New Caledonia,0.06,0.16,0.2,0.22,0.08,266.67,333.33,366.67,133.33
New Zealand,3.1,-0.53,-1.8,-2.67,-1.71,-17.1,-58.06,-86.13,-55.16
Northern Mariana Islands,0.0,0.12,0.19,0.16,0.86,,,,
Norway,7.88,-2.69,-1.4,-1.85,-2.37,-34.14,-17.77,-23.48,-30.08
Oman,0.08,1.06,0.88,0.86,1.1,1325.0,1100.0,1075.0,1375.0
Palau,0.0,0.0,0.0,0.0,0.0,,,,
Poland,4.19,7.94,4.84,6.29,6.51,189.5,115.51,150.12,155.37
Portugal,1.81,1.25,0.59,0.97,1.05,69.06,32.6,53.59,58.01
