Country,Current tax revenue from MNEs,Sales & employees,CCCTB,Three-factor,Double-weighted sales,Sales & employees (%),CCCTB (%),Three-factor (%),Double-weighted sales (%)
AFRICA,16.03,26.66,18.25,23.3,24.38,166.31,113.85,145.35,152.09
Algeria,0.09,2.46,1.87,2.0,2.61,2733.33,2077.78,2222.22,2900.0
Angola,0.59,0.18,0.64,0.7,0.69,30.51,108.47,118.64,116.95
Benin,0.0,0.03,0.02,0.02,0.03,,,,
Botswana,0.04,0.06,0.03,0.04,0.04,150.0,75.0,100.0,100.0
British Indian Ocean Territory,0.0,0.0,0.0,0.0,0.0,,,,
Burkina Faso,0.02,0.01,-0.0,0.0,0.0,50.0,-0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,,,,
Cabo Verde,0.0,0.0,-0.0,0.0,-0.0,,,,
Cameroon,0.12,0.34,0.2,0.25,0.28,283.33,166.67,208.33,233.33
Central African Republic,0.0,0.0,0.0,0.0,0.0,,,,
Chad,0.04,0.04,0.08,0.08,0.07,100.0,200.0,200.0,175.0
Comoros,0.0,0.0,0.0,0.0,0.0,,,,
Congo (Rep.),0.17,0.18,0.27,0.27,0.26,105.88,158.82,158.82,152.94
Côte d'Ivoire,0.26,0.37,0.17,0.25,0.3,142.31,65.38,96.15,115.38
Djibouti,0.0,0.0,0.0,0.0,0.0,,,,
DR Congo,0.38,0.91,1.04,1.19,1.07,239.47,273.68,313.16,281.58
Egypt,0.58,1.87,1.17,1.43,1.73,322.41,201.72,246.55,298.28
Equatorial Guinea,0.11,-0.07,-0.06,-0.06,-0.06,-63.64,-54.55,-54.55,-54.55
Eswatini,0.04,-0.02,-0.03,-0.03,-0.03,-50.0,-75.0,-75.0,-75.0
Ethiopia,0.13,1.21,0.69,0.81,1.04,930.77,530.77,623.08,800.0
Gabon,0.19,0.13,0.24,0.26,0.25,68.42,126.32,136.84,131.58
Gambia,0.0,0.0,0.0,0.0,0.0,,,,
Ghana,0.23,0.28,0.26,0.31,0.35,121.74,113.04,134.78,152.17
Guinea,0.05,-0.01,-0.02,-0.01,-0.01,-20.0,-40.0,-20.0,-20.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,,,,
Kenya,0.32,1.41,0.77,0.96,1.2,440.62,240.62,300.0,375.0
Lesotho,0.02,0.01,0.0,0.01,0.0,50.0,0.0,50.0,0.0
Liberia,0.01,0.07,0.08,0.08,0.08,700.0,800.0,800.0,800.0
Libya,0.02,0.11,0.13,0.13,0.14,550.0,650.0,650.0,700.0
Madagascar,0.02,0.03,0.01,0.02,0.02,150.0,50.0,100.0,100.0
Malawi,0.03,0.05,0.01,0.03,0.03,166.67,33.33,100.0,100.0
Mali,0.02,0.08,0.07,0.07,0.08,400.0,350.0,350.0,400.0
Mauritania,0.0,0.01,0.01,0.01,0.01,,,,
Mauritius,0.33,-0.16,-0.16,-0.15,-0.16,-48.48,-48.48,-45.45,-48.48
Morocco,0.75,1.59,0.56,0.99,0.99,212.0,74.67,132.0,132.0
Mozambique,0.07,1.05,1.0,1.06,1.03,1500.0,1428.57,1514.29,1471.43
Namibia,0.08,0.15,0.11,0.13,0.12,187.5,137.5,162.5,150.0
Niger,0.02,0.03,0.05,0.06,0.05,150.0,250.0,300.0,250.0
Nigeria,0.37,2.31,1.89,2.0,2.57,624.32,510.81,540.54,694.59
Rwanda,0.0,0.04,0.02,0.03,0.03,,,,
Réunion,0.0,0.0,0.0,0.0,0.0,,,,
Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,,,,
Senegal,0.16,0.12,0.07,0.1,0.11,75.0,43.75,62.5,68.75
Seychelles,0.0,0.0,0.0,0.0,0.0,,,,
