Country,Current profit base,Destination (headline measure),Destination + nexus,Origin-based,Robustness: without digital services,Robustness: consumer-facing only,Destination (headline measure) (%),Destination + nexus (%),Origin-based (%),Robustness: without digital services (%),Robustness: consumer-facing only (%)
LOW-INCOME,48.36,13.58,10.13,12.81,13.52,15.77,28.08,20.95,26.49,27.96,32.61
Afghanistan,0.0,0.85,0.54,1.05,0.77,0.9,,,,,
Burkina Faso,9.22,-8.32,-8.3,-7.99,-8.33,-8.24,-90.24,-90.02,-86.66,-90.35,-89.37
Burundi,0.0,1.85,1.85,2.29,1.85,1.86,,,,,
Central African Republic,0.0,0.87,0.85,0.99,0.87,0.88,,,,,
Chad,2.94,-2.24,-2.34,-2.25,-2.24,-2.19,-76.19,-79.59,-76.53,-76.19,-74.49
DR Congo,9.8,-7.34,-7.35,-7.93,-7.31,-6.84,-74.9,-75.0,-80.92,-74.59,-69.8
Ethiopia,2.41,0.88,-0.02,-1.1,0.92,1.39,36.51,-0.83,-45.64,38.17,57.68
Gambia,3.68,-3.44,-3.47,-3.35,-3.44,-3.44,-93.48,-94.29,-91.03,-93.48,-93.48
Guinea-Bissau,0.0,0.29,0.29,0.61,0.29,0.29,,,,,
Madagascar,2.46,-1.64,-1.71,-1.84,-1.64,-1.55,-66.67,-69.51,-74.8,-66.67,-63.01
Malawi,2.15,-1.08,-1.13,-1.16,-1.1,-1.05,-50.23,-52.56,-53.95,-51.16,-48.84
Mali,0.0,8.8,8.74,8.75,8.81,8.9,,,,,
Mozambique,0.0,6.94,6.78,6.84,6.89,7.04,,,,,
Niger,4.99,-4.39,-4.48,-4.11,-4.39,-4.33,-87.98,-89.78,-82.36,-87.98,-86.77
North Korea,0.68,3.36,3.33,3.56,3.34,3.34,494.12,489.71,523.53,491.18,491.18
Rwanda,0.1,0.42,0.35,0.35,0.43,0.47,420.0,350.0,350.0,430.0,470.0
Sierra Leone,0.0,4.5,4.49,4.53,4.5,4.51,,,,,
Somalia,0.0,7.29,7.16,7.67,7.29,7.33,,,,,
South Sudan,2.2,-1.95,-2.06,-1.84,-1.96,-1.93,-88.64,-93.64,-83.64,-89.09,-87.73
Sudan,0.0,8.64,8.38,9.76,8.66,8.69,,,,,
Syria,0.0,3.21,2.78,2.79,3.22,3.33,,,,,
Uganda,0.83,0.63,0.32,-0.01,0.61,0.77,75.9,38.55,-1.2,73.49,92.77
Yemen,6.9,-4.54,-4.86,-4.82,-4.52,-4.37,-65.8,-70.43,-69.86,-65.51,-63.33
LOWER-MIDDLE-INCOME,166.11,157.06,136.44,57.56,158.73,165.62,94.55,82.14,34.65,95.56,99.71
Angola,5.14,-2.05,-2.51,-3.58,-2.28,-2.0,-39.88,-48.83,-69.65,-44.36,-38.91
Bangladesh,1.61,8.68,5.22,0.83,8.87,9.82,539.13,324.22,51.55,550.93,609.94
Benin,1.16,-0.58,-0.64,-0.66,-0.58,-0.53,-50.0,-55.17,-56.9,-50.0,-45.69
Bhutan,2.56,-1.83,-1.86,-1.66,-1.83,-1.83,-71.48,-72.66,-64.84,-71.48,-71.48
Bolivia,0.94,0.7,0.45,0.12,0.71,0.77,74.47,47.87,12.77,75.53,81.91
Cambodia,1.55,1.7,1.58,1.77,1.7,1.84,109.68,101.94,114.19,109.68,118.71
Cameroon,0.27,1.04,0.77,0.55,1.03,1.29,385.19,285.19,203.7,381.48,477.78
Comoros,0.17,-0.15,-0.15,0.05,-0.15,-0.15,-88.24,-88.24,29.41,-88.24,-88.24
Congo (Rep.),0.0,3.0,2.94,3.01,2.97,3.01,,,,,
Côte d'Ivoire,1.0,1.42,1.11,0.39,1.45,1.91,142.0,111.0,39.0,145.0,191.0
Djibouti,0.77,-0.63,-0.66,-0.59,-0.64,-0.63,-81.82,-85.71,-76.62,-83.12,-81.82
Egypt,6.1,9.1,7.63,2.06,9.18,7.53,149.18,125.08,33.77,150.49,123.44
Eswatini,4.5,-4.14,-4.17,-4.0,-4.15,-4.15,-92.0,-92.67,-88.89,-92.22,-92.22
Ghana,3.82,-0.46,-0.94,-1.31,-0.53,-0.21,-12.04,-24.61,-34.29,-13.87,-5.5
Guinea,8.25,-7.51,-7.59,-7.42,-7.52,-7.44,-91.03,-92.0,-89.94,-91.15,-90.18
Haiti,3.54,-2.72,-2.77,-0.44,-2.72,-2.69,-76.84,-78.25,-12.43,-76.84,-75.99
Honduras,0.55,2.58,2.26,2.11,2.58,2.7,469.09,410.91,383.64,469.09,490.91
India,78.24,112.41,109.33,53.36,113.86,108.71,143.67,139.74,68.2,145.53,138.94
Kenya,1.04,2.77,2.19,0.89,2.77,3.09,266.35,210.58,85.58,266.35,297.12
Kiribati,0.0,0.01,0.01,0.19,0.01,0.01,,,,,
Kosovo,5.32,0.05,-0.13,1.01,0.04,0.05,0.94,-2.44,18.98,0.75,0.94
Kyrgyzstan,0.0,0.73,0.67,0.74,0.72,0.77,,,,,
Laos,3.88,-2.81,-2.84,-2.23,-2.8,-2.81,-72.42,-73.2,-57.47,-72.16,-72.42
Lebanon,0.08,2.21,1.95,1.12,2.12,2.14,2762.5,2437.5,1400.0,2650.0,2675.0
Lesotho,0.59,-0.24,-0.26,-0.24,-0.24,-0.23,-40.68,-44.07,-40.68,-40.68,-38.98
Mauritania,0.0,2.33,2.29,2.49,2.33,2.35,,,,,
Morocco,3.5,4.85,4.19,2.94,4.84,5.67,138.57,119.71,84.0,138.29,162.0
Myanmar,0.51,2.9,2.38,1.49,2.92,3.3,568.63,466.67,292.16,572.55,647.06
Namibia,0.43,0.43,0.36,0.45,0.42,0.42,100.0,83.72,104.65,97.67,97.67
Nepal,2.77,-1.49,-1.73,-1.75,-1.47,-1.33,-53.79,-62.45,-63.18,-53.07,-48.01
Nicaragua,0.45,2.46,2.33,2.24,2.46,2.51,546.67,517.78,497.78,546.67,557.78
Nigeria,7.85,6.63,2.14,-3.04,6.74,12.86,84.46,27.26,-38.73,85.86,163.82
Pakistan,4.35,7.04,6.42,0.22,7.21,8.94,161.84,147.59,5.06,165.75,205.52
Palestine,0.0,5.03,4.94,5.9,5.03,5.04,,,,,
Papua New Guinea,1.71,-0.48,-0.72,-0.73,-0.51,-0.44,-28.07,-42.11,-42.69,-29.82,-25.73
Sao Tome and Principe,0.0,3.16,3.16,3.19,3.16,3.16,,,,,
Senegal,0.72,0.34,0.2,0.12,0.34,0.54,47.22,27.78,16.67,47.22,75.0
Solomon Islands,0.72,-0.44,-0.46,-0.36,-0.45,-0.44,-61.11,-63.89,-50.0,-62.5,-61.11
Tajikistan,0.85,-0.07,-0.28,-0.17,-0.06,-0.02,-8.24,-32.94,-20.0,-7.06,-2.35
Tanzania,0.89,1.52,1.2,0.47,1.55,1.8,170.79,134.83,52.81,174.16,202.25
Timor-Leste,5.55,-4.85,-4.89,-4.68,-4.84,-4.84,-87.39,-88.11,-84.32,-87.21,-87.21
Togo,2.25,-1.83,-1.87,-1.71,-1.83,-1.81,-81.33,-83.11,-76.0,-81.33,-80.44
Tunisia,0.51,2.33,2.06,1.42,2.34,2.46,456.86,403.92,278.43,458.82,482.35
Uzbekistan,0.25,2.2,1.68,0.79,2.24,2.54,880.0,672.0,316.0,896.0,1016.0
Vanuatu,0.0,0.45,0.45,0.49,0.45,0.45,,,,,
Zambia,0.31,1.37,1.21,2.35,1.35,1.47,441.94,390.32,758.06,435.48,474.19
Zimbabwe,1.41,-0.08,-0.21,-0.61,-0.06,0.02,-5.67,-14.89,-43.26,-4.26,1.42
UPPER-MIDDLE-INCOME,1684.49,321.86,278.53,162.61,343.08,298.91,19.11,16.53,9.65,20.37,17.74
Albania,0.05,0.61,0.59,0.27,0.61,0.62,1220.0,1180.0,540.0,1220.0,1240.0
Algeria,2.96,3.44,2.21,-0.65,3.54,4.06,116.22,74.66,-21.96,119.59,137.16
Argentina,18.36,12.4,10.24,7.8,12.68,16.2,67.54,55.77,42.48,69.06,88.24
Armenia,0.14,2.13,1.96,1.81,2.13,2.14,1521.43,1400.0,1292.86,1521.43,1528.57
Azerbaijan,0.4,1.77,1.69,0.68,1.75,1.86,442.5,422.5,170.0,437.5,465.0
Belarus,0.52,1.42,1.02,0.31,1.41,1.8,273.08,196.15,59.62,271.15,346.15
Belize,4.9,-4.66,-4.69,-4.57,-4.69,-4.69,-95.1,-95.71,-93.27,-95.71,-95.71
Bosnia and Herzegovina,0.41,0.66,0.66,0.32,0.65,0.67,160.98,160.98,78.05,158.54,163.41
Botswana,0.42,0.4,0.36,0.23,0.39,0.39,95.24,85.71,54.76,92.86,92.86
Brazil,108.22,37.52,47.87,28.61,38.48,43.13,34.67,44.23,26.44,35.56,39.85
Cabo Verde,1.95,-1.74,-1.78,-1.63,-1.74,-1.75,-89.23,-91.28,-83.59,-89.23,-89.74
China,1140.04,56.7,41.33,-1.84,73.89,-8.73,4.97,3.63,-0.16,6.48,-0.77
Colombia,13.31,11.85,10.65,14.77,11.94,12.28,89.03,80.02,110.97,89.71,92.26
Cuba,3.42,0.19,0.31,-1.64,0.24,0.23,5.56,9.06,-47.95,7.02,6.73
Dominica,0.25,-0.13,-0.13,0.01,-0.13,-0.13,-52.0,-52.0,4.0,-52.0,-52.0
Dominican Republic,1.93,3.83,3.41,1.95,3.87,3.88,198.45,176.68,101.04,200.52,201.04
Ecuador,2.35,2.62,2.36,1.17,2.65,2.76,111.49,100.43,49.79,112.77,117.45
El Salvador,0.85,2.25,1.99,2.0,2.26,2.31,264.71,234.12,235.29,265.88,271.76
Equatorial Guinea,10.94,-10.57,-10.66,-10.63,-10.58,-10.58,-96.62,-97.44,-97.17,-96.71,-96.71
Fiji,0.24,0.09,0.03,0.02,0.08,0.09,37.5,12.5,8.33,33.33,37.5
Gabon,1.48,-0.83,-0.93,-0.97,-0.86,-0.86,-56.08,-62.84,-65.54,-58.11,-58.11
Georgia,0.25,0.82,0.67,0.46,0.82,0.85,328.0,268.0,184.0,328.0,340.0
Grenada,0.2,-0.15,-0.15,0.1,-0.15,-0.15,-75.0,-75.0,50.0,-75.0,-75.0
Guatemala,2.33,3.72,3.06,2.34,3.76,3.89,159.66,131.33,100.43,161.37,166.95
Indonesia,43.54,43.17,41.18,27.21,43.88,47.55,99.15,94.58,62.49,100.78,109.21
Iran,7.4,4.72,2.02,-3.74,5.05,6.42,63.78,27.3,-50.54,68.24,86.76
Iraq,0.39,6.63,3.66,0.73,6.64,7.36,1700.0,938.46,187.18,1702.56,1887.18
Jamaica,0.08,1.56,1.42,1.33,1.52,1.54,1950.0,1775.0,1662.5,1900.0,1925.0
Jordan,1.17,1.35,0.96,0.5,1.34,1.43,115.38,82.05,42.74,114.53,122.22
Kazakhstan,7.47,7.0,5.3,-1.23,7.12,4.56,93.71,70.95,-16.47,95.31,61.04
Libya,3.14,-1.5,-2.05,-2.57,-1.47,-1.42,-47.77,-65.29,-81.85,-46.82,-45.22
Malaysia,47.38,-1.46,-2.77,0.51,-1.48,0.4,-3.08,-5.85,1.08,-3.12,0.84
Maldives,1.12,-0.64,-0.67,-0.43,-0.65,-0.65,-57.14,-59.82,-38.39,-58.04,-58.04
Marshall Islands,0.76,-0.69,-0.69,-0.6,-0.69,-0.69,-90.79,-90.79,-78.95,-90.79,-90.79
Mexico,94.13,28.85,23.63,31.75,29.25,35.18,30.65,25.1,33.73,31.07,37.37
Micronesia,13.9,-13.67,-13.67,-13.6,-13.67,-13.67,-98.35,-98.35,-97.84,-98.35,-98.35
Moldova,0.4,0.49,0.43,0.28,0.49,0.5,122.5,107.5,70.0,122.5,125.0
Mongolia,0.75,0.3,0.23,0.41,0.29,0.32,40.0,30.67,54.67,38.67,42.67
Montenegro,0.0,0.46,0.46,0.61,0.46,0.45,,,,,
North Macedonia,0.2,0.77,0.75,0.56,0.75,0.77,385.0,375.0,280.0,375.0,385.0
Paraguay,0.73,2.29,1.92,1.96,2.3,2.34,313.7,263.01,268.49,315.07,320.55
Peru,12.65,4.79,3.94,5.97,4.84,4.95,37.87,31.15,47.19,38.26,39.13
Philippines,9.65,26.84,24.22,18.0,26.93,31.1,278.13,250.98,186.53,279.07,322.28
Saint Lucia,0.27,-0.16,-0.18,-0.19,-0.16,-0.16,-59.26,-66.67,-70.37,-59.26,-59.26
Saint Vincent and the Grenadines,1.03,-0.88,-0.88,-0.82,-0.89,-0.89,-85.44,-85.44,-79.61,-86.41,-86.41
Samoa,2.6,-2.52,-2.52,-2.21,-2.52,-2.52,-96.92,-96.92,-85.0,-96.92,-96.92
Serbia,2.21,2.47,2.64,1.62,2.45,2.55,111.76,119.46,73.3,110.86,115.38
South Africa,29.3,12.33,10.15,16.75,12.45,11.35,42.08,34.64,57.17,42.49,38.74
Sri Lanka,0.45,3.31,3.21,1.38,3.35,3.51,735.56,713.33,306.67,744.44,780.0
Suriname,2.15,-1.77,-1.81,-1.5,-1.77,-1.77,-82.33,-84.19,-69.77,-82.33,-82.33
Thailand,33.65,11.72,8.77,3.97,11.77,20.44,34.83,26.06,11.8,34.98,60.74
Tonga,0.09,-0.07,-0.08,0.2,-0.07,-0.07,-77.78,-88.89,222.22,-77.78,-77.78
Turkmenistan,0.71,0.64,0.19,-0.11,0.64,0.62,90.14,26.76,-15.49,90.14,87.32
Türkiye,32.23,13.64,12.0,2.37,14.05,15.57,42.32,37.23,7.35,43.59,48.31
Ukraine,2.52,8.18,7.69,4.53,8.2,8.26,324.6,305.16,179.76,325.4,327.78
Venezuela,0.0,13.54,13.42,12.06,13.53,13.71,,,,,
Vietnam,16.45,25.82,23.56,15.97,26.14,29.63,156.96,143.22,97.08,158.91,180.12
HIGH-INCOME,3366.72,307.94,376.29,422.57,307.46,332.94,9.15,11.18,12.55,9.13,9.89
American Samoa,8.07,-7.83,-7.84,-7.74,-7.83,-7.83,-97.03,-97.15,-95.91,-97.03,-97.03
Andorra,0.0,3.92,3.9,3.96,3.92,3.91,,,,,
Antigua and Barbuda,2.08,-1.97,-1.98,-1.94,-1.98,-1.99,-94.71,-95.19,-93.27,-95.19,-95.67
Australia,86.51,17.58,11.58,19.56,17.87,6.87,20.32,13.39,22.61,20.66,7.94
