Country,Current profit base,Destination (headline measure),Destination + nexus,Origin-based,Robustness: without digital services,Robustness: consumer-facing only,Destination (headline measure) (%),Destination + nexus (%),Origin-based (%),Robustness: without digital services (%),Robustness: consumer-facing only (%)
AFRICA,46.08,47.51,33.37,28.23,47.53,52.96,103.1,72.42,61.26,103.15,114.93
Algeria,0.9,3.32,2.35,0.44,3.38,3.74,368.89,261.11,48.89,375.56,415.56
Angola,1.83,0.0,-0.41,-1.03,-0.13,0.04,0.0,-22.4,-56.28,-7.1,2.19
Benin,0.02,0.1,0.06,0.04,0.1,0.11,500.0,300.0,200.0,500.0,550.0
Botswana,0.24,0.25,0.23,0.19,0.24,0.24,104.17,95.83,79.17,100.0,100.0
British Indian Ocean Territory,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,
Burkina Faso,0.12,0.01,0.01,0.02,0.01,0.02,8.33,8.33,16.67,8.33,16.67
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cabo Verde,0.05,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Cameroon,0.21,0.66,0.45,0.41,0.66,0.81,314.29,214.29,195.24,314.29,385.71
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chad,0.19,0.01,-0.01,0.01,0.01,0.01,5.26,-5.26,5.26,5.26,5.26
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Congo (Rep.),0.07,0.6,0.55,0.5,0.59,0.61,857.14,785.71,714.29,842.86,871.43
Côte d'Ivoire,0.68,1.03,0.81,0.32,1.05,1.36,151.47,119.12,47.06,154.41,200.0
Djibouti,0.01,0.01,0.0,0.0,0.01,0.01,100.0,0.0,0.0,100.0,100.0
DR Congo,0.32,1.17,1.09,0.95,1.18,1.3,365.62,340.63,296.88,368.75,406.25
Egypt,3.02,7.73,6.24,2.4,7.78,6.59,255.96,206.62,79.47,257.62,218.21
Equatorial Guinea,0.48,-0.37,-0.43,-0.4,-0.37,-0.37,-77.08,-89.58,-83.33,-77.08,-77.08
Eswatini,0.49,-0.33,-0.33,-0.28,-0.34,-0.34,-67.35,-67.35,-57.14,-69.39,-69.39
Ethiopia,0.24,1.56,0.96,0.47,1.58,1.83,650.0,400.0,195.83,658.33,762.5
Gabon,0.39,0.09,-0.01,0.01,0.08,0.08,23.08,-2.56,2.56,20.51,20.51
Gambia,0.01,0.01,0.01,0.01,0.01,0.01,100.0,100.0,100.0,100.0,100.0
Ghana,1.27,0.77,0.32,-0.08,0.72,0.94,60.63,25.2,-6.3,56.69,74.02
Guinea,0.22,-0.08,-0.13,-0.09,-0.08,-0.06,-36.36,-59.09,-40.91,-36.36,-27.27
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Kenya,0.52,2.1,1.58,0.74,2.1,2.33,403.85,303.85,142.31,403.85,448.08
Lesotho,0.07,0.05,0.05,0.08,0.05,0.05,71.43,71.43,114.29,71.43,71.43
Liberia,0.22,0.07,0.06,0.15,0.07,0.07,31.82,27.27,68.18,31.82,31.82
Libya,0.08,0.55,0.28,0.33,0.56,0.57,687.5,350.0,412.5,700.0,712.5
Madagascar,0.15,0.14,0.1,0.06,0.14,0.18,93.33,66.67,40.0,93.33,120.0
Malawi,0.09,0.16,0.15,0.12,0.16,0.17,177.78,166.67,133.33,177.78,188.89
Mali,0.02,0.27,0.22,0.2,0.27,0.29,1350.0,1100.0,1000.0,1350.0,1450.0
Mauritania,0.0,0.06,0.03,0.03,0.06,0.06,,,,,
Mauritius,3.31,-2.69,-2.74,-2.46,-2.75,-2.75,-81.27,-82.78,-74.32,-83.08,-83.08
Morocco,2.07,3.94,3.3,2.45,3.93,4.54,190.34,159.42,118.36,189.86,219.32
Mozambique,0.27,3.22,3.08,3.16,3.19,3.29,1192.59,1140.74,1170.37,1181.48,1218.52
Namibia,0.27,0.29,0.24,0.39,0.29,0.29,107.41,88.89,144.44,107.41,107.41
Niger,0.05,0.05,0.01,0.04,0.05,0.06,100.0,20.0,80.0,100.0,120.0
Nigeria,1.82,7.42,3.46,0.6,7.5,11.65,407.69,190.11,32.97,412.09,640.11
Rwanda,0.01,0.13,0.08,0.06,0.13,0.15,1300.0,800.0,600.0,1300.0,1500.0
Réunion,0.0,0.01,-0.0,0.0,0.01,0.01,,,,,
Sao Tome and Principe,0.0,0.01,0.01,0.01,0.01,0.01,,,,,
Senegal,0.47,0.24,0.15,0.06,0.25,0.38,51.06,31.91,12.77,53.19,80.85
Seychelles,0.05,-0.04,-0.03,-0.04,-0.04,-0.04,-80.0,-60.0,-80.0,-80.0,-80.0
Sierra Leone,0.0,0.02,0.02,0.02,0.02,0.02,,,,,
Somalia,0.0,0.03,0.02,0.02,0.03,0.03,,,,,
South Africa,23.88,10.06,7.69,14.46,10.15,9.3,42.13,32.2,60.55,42.5,38.94
South Sudan,0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-100.0,-100.0,-100.0,-0.0
Sudan,0.03,0.25,0.17,0.17,0.26,0.26,833.33,566.67,566.67,866.67,866.67
Tanzania,0.07,1.37,1.06,0.64,1.39,1.56,1957.14,1514.29,914.29,1985.71,2228.57
Togo,0.03,0.04,0.04,0.04,0.04,0.04,133.33,133.33,133.33,133.33,133.33
Tunisia,0.31,1.85,1.63,1.17,1.85,1.94,596.77,525.81,377.42,596.77,625.81
Uganda,0.37,0.47,0.23,0.08,0.46,0.56,127.03,62.16,21.62,124.32,151.35
Zambia,0.27,0.92,0.79,2.01,0.91,0.99,340.74,292.59,744.44,337.04,366.67
Zimbabwe,0.86,-0.04,-0.07,-0.25,-0.03,0.01,-4.65,-8.14,-29.07,-3.49,1.16
ASIA,2130.8,-14.79,-109.75,-21.76,-0.41,-39.79,-0.69,-5.15,-1.02,-0.02,-1.87
Afghanistan,0.01,0.09,0.01,0.02,0.08,0.1,900.0,100.0,200.0,800.0,1000.0
Armenia,0.01,0.18,0.14,0.06,0.18,0.18,1800.0,1400.0,600.0,1800.0,1800.0
Azerbaijan,0.18,1.21,1.34,0.61,1.2,1.26,672.22,744.44,338.89,666.67,700.0
Bahrain,0.86,0.08,0.01,-0.29,0.04,0.01,9.3,1.16,-33.72,4.65,1.16
Bangladesh,0.76,5.71,3.21,0.6,5.83,6.45,751.32,422.37,78.95,767.11,848.68
Bhutan,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-100.0,-100.0,-100.0,-100.0,-100.0
Brunei,0.05,0.26,0.17,0.18,0.25,0.12,520.0,340.0,360.0,500.0,240.0
Cambodia,1.02,1.45,1.34,1.49,1.45,1.53,142.16,131.37,146.08,142.16,150.0
China,1099.93,45.12,29.54,33.94,59.83,-11.46,4.1,2.69,3.09,5.44,-1.04
Georgia,0.11,0.51,0.38,0.29,0.5,0.52,463.64,345.45,263.64,454.55,472.73
Hong Kong,131.69,-103.09,-102.01,-69.76,-104.31,-101.33,-78.28,-77.46,-52.97,-79.21,-76.95
India,68.68,88.28,83.74,42.76,89.43,85.48,128.54,121.93,62.26,130.21,124.46
Indonesia,39.42,33.0,30.67,23.45,33.54,36.46,83.71,77.8,59.49,85.08,92.49
Iran,0.23,3.25,1.5,0.04,3.34,3.78,1413.04,652.17,17.39,1452.17,1643.48
Iraq,0.04,4.46,2.4,0.83,4.47,4.92,11150.0,6000.0,2075.0,11175.0,12300.0
Israel,6.45,1.74,0.46,-2.91,1.55,1.84,26.98,7.13,-45.12,24.03,28.53
Japan,410.44,-113.24,-141.04,-35.44,-111.98,-101.03,-27.59,-34.36,-8.63,-27.28,-24.62
Jordan,0.49,0.41,0.25,-0.05,0.41,0.46,83.67,51.02,-10.2,83.67,93.88
Kazakhstan,5.54,4.42,2.51,-1.4,4.5,2.76,79.78,45.31,-25.27,81.23,49.82
Kuwait,0.21,2.89,1.12,0.57,2.88,2.72,1376.19,533.33,271.43,1371.43,1295.24
Kyrgyzstan,0.02,0.1,0.07,0.06,0.1,0.11,500.0,350.0,300.0,500.0,550.0
Laos,0.38,-0.09,-0.13,-0.08,-0.09,-0.09,-23.68,-34.21,-21.05,-23.68,-23.68
Lebanon,0.14,0.61,0.44,0.1,0.57,0.58,435.71,314.29,71.43,407.14,414.29
Macao,8.18,-5.12,-5.36,-1.38,-5.19,-5.29,-62.59,-65.53,-16.87,-63.45,-64.67
Malaysia,41.29,-3.85,-5.18,-0.0,-3.87,-2.36,-9.32,-12.55,-0.0,-9.37,-5.72
Maldives,0.03,0.02,0.01,0.01,0.02,0.02,66.67,33.33,33.33,66.67,66.67
Mongolia,0.09,0.21,0.14,0.11,0.2,0.21,233.33,155.56,122.22,222.22,233.33
