Country,Current tax revenue from MNEs,Destination (headline measure),Destination + nexus,Origin-based,Robustness: without digital services,Robustness: consumer-facing only,Destination (headline measure) (%),Destination + nexus (%),Origin-based (%),Robustness: without digital services (%),Robustness: consumer-facing only (%)
LOW-INCOME,0.9,21.23,11.83,36.92,18.7,22.51,2358.89,1314.44,4102.22,2077.78,2501.11
Afghanistan,0.02,0.24,0.1,0.31,0.19,0.26,1200.0,500.0,1550.0,950.0,1300.0
Burkina Faso,0.02,-2.28,-1.67,-3.47,-3.03,-2.18,-11400.0,-8350.0,-17350.0,-15150.0,-10900.0
Burundi,0.0,0.08,0.0,0.0,0.08,0.08,,,,,
Central African Republic,0.0,0.23,0.17,0.61,0.21,0.21,,,,,
Chad,0.04,-1.11,-1.17,-5.4,-0.24,-1.36,-2775.0,-2925.0,-13500.0,-600.0,-3400.0
DR Congo,0.38,1.59,1.34,1.05,1.14,1.84,418.42,352.63,276.32,300.0,484.21
Ethiopia,0.13,2.06,-0.32,0.54,1.54,2.35,1584.62,-246.15,415.38,1184.62,1807.69
Gambia,0.0,0.03,0.03,0.03,0.03,0.03,,,,,
Guinea-Bissau,0.0,0.06,0.05,0.0,0.06,0.05,,,,,
Madagascar,0.02,-0.34,-0.25,-0.62,-0.35,-0.29,-1700.0,-1250.0,-3100.0,-1750.0,-1450.0
Malawi,0.03,-0.24,-0.48,-2.68,-0.26,-0.17,-800.0,-1600.0,-8933.33,-866.67,-566.67
Mali,0.02,5.12,3.64,12.41,4.68,5.33,25600.0,18200.0,62050.0,23400.0,26650.0
Mozambique,0.07,1.41,0.9,1.63,1.25,1.41,2014.29,1285.71,2328.57,1785.71,2014.29
Niger,0.02,-0.77,-0.84,-2.3,-1.48,-0.7,-3850.0,-4200.0,-11500.0,-7400.0,-3500.0
North Korea,0.0,-0.04,-0.05,0.02,-0.06,-0.04,,,,,
Rwanda,0.0,0.19,0.15,0.25,0.16,0.21,,,,,
Sierra Leone,0.0,2.04,1.36,1.36,2.44,1.94,,,,,
Somalia,0.0,1.72,0.21,2.22,1.67,1.71,,,,,
South Sudan,0.0,-0.19,-0.16,-0.15,-0.19,-0.19,,,,,
Sudan,0.09,9.64,7.92,32.1,9.3,10.11,10711.11,8800.0,35666.67,10333.33,11233.33
Syria,0.0,1.18,1.02,0.74,1.12,1.24,,,,,
Uganda,0.05,0.35,0.15,0.14,0.26,0.38,700.0,300.0,280.0,520.0,760.0
Yemen,0.0,0.25,-0.26,-1.89,0.19,0.28,,,,,
LOWER-MIDDLE-INCOME,31.24,89.63,78.31,42.48,71.53,90.84,286.91,250.67,135.98,228.97,290.78
Angola,0.59,-0.75,-0.86,-2.53,-0.81,-0.91,-127.12,-145.76,-428.81,-137.29,-154.24
Bangladesh,0.37,4.78,3.23,0.57,3.78,5.27,1291.89,872.97,154.05,1021.62,1424.32
Benin,0.0,0.13,0.1,0.07,0.1,0.13,,,,,
Bhutan,0.0,-0.64,-0.66,-1.17,-0.8,-0.63,,,,,
Bolivia,0.08,0.3,0.05,0.04,0.24,0.33,375.0,62.5,50.0,300.0,412.5
Cambodia,0.17,0.52,0.52,0.52,0.42,0.54,305.88,305.88,305.88,247.06,317.65
Cameroon,0.12,0.62,0.53,0.4,0.49,0.74,516.67,441.67,333.33,408.33,616.67
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Congo (Rep.),0.17,1.26,0.73,3.29,1.08,1.4,741.18,429.41,1935.29,635.29,823.53
Côte d'Ivoire,0.26,0.61,0.51,0.26,0.46,0.76,234.62,196.15,100.0,176.92,292.31
Djibouti,0.0,0.01,0.0,0.0,0.01,0.01,,,,,
Egypt,0.58,2.92,2.55,1.5,2.32,2.48,503.45,439.66,258.62,400.0,427.59
Eswatini,0.04,-0.74,-0.54,-0.45,-0.72,-0.68,-1850.0,-1350.0,-1125.0,-1800.0,-1700.0
Ghana,0.23,0.69,0.22,-0.11,0.51,0.73,300.0,95.65,-47.83,221.74,317.39
Guinea,0.05,-2.58,-1.78,-3.97,-2.61,-2.6,-5160.0,-3560.0,-7940.0,-5220.0,-5200.0
Haiti,0.0,0.0,0.0,0.02,0.0,0.0,,,,,
Honduras,0.1,0.77,0.67,0.68,0.67,0.79,770.0,670.0,680.0,670.0,790.0
India,24.68,62.41,59.52,32.23,51.12,59.85,252.88,241.17,130.59,207.13,242.5
Kenya,0.32,2.18,1.7,1.0,1.66,2.34,681.25,531.25,312.5,518.75,731.25
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Kosovo,0.0,0.38,0.02,0.2,0.27,0.36,,,,,
Kyrgyzstan,0.0,0.12,0.09,0.33,0.11,0.13,,,,,
Laos,0.05,-0.3,-0.17,-0.85,-0.16,-0.35,-600.0,-340.0,-1700.0,-320.0,-700.0
Lebanon,0.06,0.78,0.63,0.33,0.58,0.74,1300.0,1050.0,550.0,966.67,1233.33
Lesotho,0.02,-0.0,0.0,0.03,-0.01,-0.01,-0.0,0.0,150.0,-50.0,-50.0
Mauritania,0.0,0.87,0.58,2.55,0.78,0.91,,,,,
Morocco,0.94,2.44,2.11,1.8,1.98,2.69,259.57,224.47,191.49,210.64,286.17
Myanmar,0.06,1.18,1.01,0.77,0.98,1.3,1966.67,1683.33,1283.33,1633.33,2166.67
Namibia,0.08,0.28,0.23,0.25,0.19,0.27,350.0,287.5,312.5,237.5,337.5
Nepal,0.05,0.27,-0.74,-1.59,0.21,0.3,540.0,-1480.0,-3180.0,420.0,600.0
Nicaragua,0.11,0.77,0.74,0.97,0.68,0.78,700.0,672.73,881.82,618.18,709.09
Nigeria,0.37,3.65,1.48,0.56,2.83,5.38,986.49,400.0,151.35,764.86,1454.05
Pakistan,0.95,3.3,3.23,0.1,2.73,3.93,347.37,340.0,10.53,287.37,413.68
Palestine,0.0,0.0,0.15,0.0,0.0,0.0,,,,,
Papua New Guinea,0.21,-0.16,-0.19,-0.13,-0.17,-0.16,-76.19,-90.48,-61.9,-80.95,-76.19
Sao Tome and Principe,0.0,0.24,0.25,1.78,0.22,0.24,,,,,
Senegal,0.16,0.23,0.11,-0.03,0.19,0.42,143.75,68.75,-18.75,118.75,262.5
Solomon Islands,0.0,-0.1,-0.1,-0.09,-0.09,-0.12,,,,,
Tajikistan,0.0,0.21,0.29,0.28,0.12,0.21,,,,,
Tanzania,0.04,0.88,0.73,0.53,0.7,0.99,2200.0,1825.0,1325.0,1750.0,2475.0
Timor-Leste,0.0,-0.45,-0.79,-0.33,-0.5,-0.42,,,,,
Togo,0.01,0.06,0.04,0.07,0.04,0.07,600.0,400.0,700.0,400.0,700.0
Tunisia,0.08,1.01,0.91,0.76,0.81,1.04,1262.5,1137.5,950.0,1012.5,1300.0
Uzbekistan,0.0,0.39,0.23,0.26,0.29,0.44,,,,,
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Zambia,0.09,1.21,1.09,1.73,0.97,1.23,1344.44,1211.11,1922.22,1077.78,1366.67
Zimbabwe,0.19,-0.09,-0.12,-0.17,-0.11,-0.08,-47.37,-63.16,-89.47,-57.89,-42.11
UPPER-MIDDLE-INCOME,370.51,135.47,144.5,92.31,196.39,135.2,36.56,39.0,24.91,53.01,36.49
Albania,0.01,0.17,0.16,0.09,0.14,0.16,1700.0,1600.0,900.0,1400.0,1600.0
Algeria,0.09,3.64,2.54,0.32,2.69,3.97,4044.44,2822.22,355.56,2988.89,4411.11
Argentina,4.75,8.66,7.58,5.31,6.86,10.09,182.32,159.58,111.79,144.42,212.42
Armenia,0.0,0.22,0.21,0.29,0.2,0.22,,,,,
Azerbaijan,0.03,0.46,0.26,0.1,0.37,0.48,1533.33,866.67,333.33,1233.33,1600.0
Belarus,0.05,0.4,0.3,0.12,0.31,0.48,800.0,600.0,240.0,620.0,960.0
Belize,0.0,-0.24,0.0,0.0,-0.77,-0.24,,,,,
Bosnia and Herzegovina,0.03,0.11,0.1,0.05,0.08,0.1,366.67,333.33,166.67,266.67,333.33
Botswana,0.04,0.14,0.13,0.11,0.11,0.14,350.0,325.0,275.0,275.0,350.0
Brazil,28.69,27.96,32.48,21.62,23.49,29.34,97.46,113.21,75.36,81.88,102.27
Cabo Verde,0.0,-0.19,-0.15,-0.11,-0.15,-0.2,,,,,
China,255.9,0.52,30.56,12.83,89.81,-6.35,0.2,11.94,5.01,35.1,-2.48
Colombia,4.26,8.66,8.59,9.8,6.89,8.66,203.29,201.64,230.05,161.74,203.29
Cuba,0.0,1.23,1.32,-3.22,0.83,1.24,,,,,
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Dominican Republic,0.33,1.06,0.88,0.54,0.87,1.04,321.21,266.67,163.64,263.64,315.15
Ecuador,0.57,1.2,1.12,0.49,1.01,1.24,210.53,196.49,85.96,177.19,217.54
El Salvador,0.12,0.62,0.56,0.6,0.54,0.63,516.67,466.67,500.0,450.0,525.0
Equatorial Guinea,0.11,-0.67,-0.63,-0.61,-0.75,-0.67,-609.09,-572.73,-554.55,-681.82,-609.09
Fiji,0.02,0.02,0.01,0.01,0.01,0.02,100.0,50.0,50.0,50.0,100.0
Gabon,0.19,-0.25,-1.71,-1.02,-0.3,-0.27,-131.58,-900.0,-536.84,-157.89,-142.11
Georgia,0.01,0.13,0.13,0.08,0.1,0.13,1300.0,1300.0,800.0,1000.0,1300.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Guatemala,0.26,1.01,0.85,0.56,0.86,1.03,388.46,326.92,215.38,330.77,396.15
Indonesia,9.19,15.52,14.52,10.23,12.67,16.42,168.88,158.0,111.32,137.87,178.67
Iran,0.04,3.5,1.8,-0.58,2.79,3.87,8750.0,4500.0,-1450.0,6975.0,9675.0
Iraq,0.04,1.14,0.56,0.22,0.88,1.23,2850.0,1400.0,550.0,2200.0,3075.0
Jamaica,0.05,0.8,0.69,0.7,0.61,0.77,1600.0,1380.0,1400.0,1220.0,1540.0
Jordan,0.05,0.28,0.17,0.09,0.23,0.29,560.0,340.0,180.0,460.0,580.0
Kazakhstan,0.58,2.15,1.79,-0.42,1.81,1.64,370.69,308.62,-72.41,312.07,282.76
Libya,0.02,0.34,0.02,0.22,0.24,0.33,1700.0,100.0,1100.0,1200.0,1650.0
Malaysia,8.61,-2.58,-2.55,-0.05,-2.55,-2.4,-29.97,-29.62,-0.58,-29.62,-27.87
Maldives,0.01,-0.06,0.0,-0.28,-0.12,-0.07,-600.0,0.0,-2800.0,-1200.0,-700.0
Marshall Islands,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,
Mexico,26.18,22.23,13.52,18.1,18.7,24.07,84.91,51.64,69.14,71.43,91.94
Micronesia,0.06,-6.67,-4.46,-18.94,-6.69,-7.16,-11116.67,-7433.33,-31566.67,-11150.0,-11933.33
Moldova,0.01,0.16,0.13,0.12,0.13,0.16,1600.0,1300.0,1200.0,1300.0,1600.0
Mongolia,0.02,0.19,0.14,0.33,0.13,0.2,950.0,700.0,1650.0,650.0,1000.0
Montenegro,0.0,0.06,0.05,0.25,0.06,0.06,,,,,
North Macedonia,0.03,0.17,0.16,0.15,0.14,0.16,566.67,533.33,500.0,466.67,533.33
Paraguay,0.05,0.23,0.16,0.21,0.2,0.24,460.0,320.0,420.0,400.0,480.0
Peru,1.77,1.4,1.15,1.48,0.89,1.38,79.1,64.97,83.62,50.28,77.97
Philippines,1.68,8.4,7.64,6.42,7.03,9.44,500.0,454.76,382.14,418.45,561.9
Saint Lucia,0.0,-0.01,-0.02,-0.01,-0.01,-0.02,,,,,
Saint Vincent and the Grenadines,0.01,-0.05,-0.07,-0.34,-0.14,-0.08,-500.0,-700.0,-3400.0,-1400.0,-800.0
Samoa,0.01,-0.08,-0.05,0.09,-0.07,-0.09,-800.0,-500.0,900.0,-700.0,-900.0
Serbia,0.14,0.48,0.52,0.28,0.39,0.47,342.86,371.43,200.0,278.57,335.71
South Africa,10.22,13.74,5.44,14.42,11.52,8.5,134.44,53.23,141.1,112.72,83.17
Sri Lanka,0.06,1.33,1.26,0.56,1.0,1.38,2216.67,2100.0,933.33,1666.67,2300.0
Suriname,0.0,-0.15,-0.07,0.04,-0.53,-0.14,,,,,
Thailand,5.48,2.55,2.01,0.82,1.77,7.01,46.53,36.68,14.96,32.3,127.92
Tonga,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Turkmenistan,0.0,0.07,0.03,0.02,0.06,0.07,,,,,
Türkiye,7.03,3.91,3.8,1.73,3.11,4.18,55.62,54.05,24.61,44.24,59.46
Ukraine,0.8,4.15,3.7,2.05,3.12,4.01,518.75,462.5,256.25,390.0,501.25
Venezuela,0.13,2.49,2.45,3.2,2.16,2.52,1915.38,1884.62,2461.54,1661.54,1938.46
Vietnam,2.79,4.92,4.73,3.28,3.69,5.55,176.34,169.53,117.56,132.26,198.92
HIGH-INCOME,744.11,176.02,175.81,185.17,104.17,174.92,23.66,23.63,24.88,14.0,23.51
American Samoa,0.0,-1.5,-1.0,-1.87,-1.4,-1.53,,,,,
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Australia,17.01,5.48,4.46,8.38,4.1,1.89,32.22,26.22,49.27,24.1,11.11
Austria,3.85,0.97,-0.07,-0.78,0.55,0.94,25.19,-1.82,-20.26,14.29,24.42
Bahrain,0.0,0.0,0.0,-0.0,0.0,0.0,,,,,
Belgium,8.66,3.27,3.78,10.84,1.79,3.22,37.76,43.65,125.17,20.67,37.18
Brunei,0.01,0.11,0.09,0.07,0.09,0.06,1100.0,900.0,700.0,900.0,600.0
Bulgaria,0.24,0.5,0.55,0.29,0.4,0.47,208.33,229.17,120.83,166.67,195.83
Canada,36.44,-14.81,-14.67,-1.83,-14.78,-15.34,-40.64,-40.26,-5.02,-40.56,-42.1
Chile,4.12,1.16,1.12,4.45,0.67,1.16,28.16,27.18,108.01,16.26,28.16
Cook Islands,0.0,0.22,0.1,0.36,0.05,0.26,,,,,
Costa Rica,0.4,1.12,1.1,1.14,0.92,1.15,280.0,275.0,285.0,230.0,287.5
Croatia,0.22,0.49,0.45,0.21,0.36,0.48,222.73,204.55,95.45,163.64,218.18
Czechia,2.27,3.24,3.41,1.7,2.53,3.14,142.73,150.22,74.89,111.45,138.33
Denmark,5.63,-4.41,-4.41,-2.7,-4.43,-4.47,-78.33,-78.33,-47.96,-78.69,-79.4
Estonia,0.04,0.37,0.24,0.16,0.28,0.33,925.0,600.0,400.0,700.0,825.0
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Faroe Islands,0.0,-0.38,-0.3,-0.26,-0.53,-0.38,,,,,
Finland,3.25,3.15,3.18,1.06,2.08,2.74,96.92,97.85,32.62,64.0,84.31
France,33.11,40.32,41.3,20.48,32.85,43.26,121.78,124.74,61.85,99.21,130.66
French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
French Polynesia,0.03,-4.32,-3.04,-8.51,-4.51,-4.35,-14400.0,-10133.33,-28366.67,-15033.33,-14500.0
Germany,41.52,29.76,32.01,16.64,24.17,29.69,71.68,77.1,40.08,58.21,71.51
Greece,1.02,1.15,1.18,0.89,0.96,1.33,112.75,115.69,87.25,94.12,130.39
Greenland,0.01,-0.26,-0.31,-0.5,-0.39,-0.26,-2600.0,-3100.0,-5000.0,-3900.0,-2600.0
Guadeloupe,0.0,0.54,0.2,1.84,0.88,0.56,,,,,
Guam,0.02,0.18,0.16,0.22,0.15,0.16,900.0,800.0,1100.0,750.0,800.0
Guyana,0.01,0.07,0.08,0.06,0.07,0.06,700.0,800.0,600.0,700.0,600.0
Hungary,1.67,2.09,1.97,1.39,1.58,2.08,125.15,117.96,83.23,94.61,124.55
Iceland,0.02,0.4,0.34,0.3,0.32,0.36,2000.0,1700.0,1500.0,1600.0,1800.0
Israel,1.75,0.49,0.36,-2.38,0.21,0.51,28.0,20.57,-136.0,12.0,29.14
Italy,18.85,21.66,22.24,5.9,17.28,20.78,114.91,117.98,31.3,91.67,110.24
Japan,125.74,-61.0,-60.86,-11.59,-60.95,-60.47,-48.51,-48.4,-9.22,-48.47,-48.09
Kuwait,0.01,0.81,0.28,0.24,0.61,0.73,8100.0,2800.0,2400.0,6100.0,7300.0
Latvia,0.04,0.32,0.33,0.17,0.25,0.3,800.0,825.0,425.0,625.0,750.0
Lithuania,0.14,0.34,0.3,0.21,0.26,0.3,242.86,214.29,150.0,185.71,214.29
Macao,2.1,-0.89,-1.08,0.7,-1.2,-0.96,-42.38,-51.43,33.33,-57.14,-45.71
Martinique,0.0,0.19,0.22,0.28,0.07,0.2,,,,,
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
New Caledonia,0.06,0.16,0.01,1.24,0.11,0.09,266.67,16.67,2066.67,183.33,150.0
New Zealand,3.1,-0.53,-1.62,-2.47,-0.64,-0.68,-17.1,-52.26,-79.68,-20.65,-21.94
Northern Mariana Islands,0.0,0.12,0.1,0.69,0.31,0.12,,,,,
Norway,7.88,-2.69,-2.61,-2.09,-2.71,-2.9,-34.14,-33.12,-26.52,-34.39,-36.8
Oman,0.08,1.06,0.93,0.62,0.86,1.0,1325.0,1162.5,775.0,1075.0,1250.0
Palau,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Poland,4.19,7.94,7.65,5.76,6.37,8.11,189.5,182.58,137.47,152.03,193.56
Portugal,1.81,1.25,1.1,0.95,1.07,1.5,69.06,60.77,52.49,59.12,82.87
Qatar,0.04,0.71,0.55,0.09,0.51,0.58,1775.0,1375.0,225.0,1275.0,1450.0
Romania,1.26,4.18,4.24,2.5,3.19,4.46,331.75,336.51,198.41,253.17,353.97
Russia,1.3,18.87,17.43,6.53,15.3,17.58,1451.54,1340.77,502.31,1176.92,1352.31
Réunion,0.0,0.02,0.0,0.01,0.02,0.02,,,,,
Saint Kitts and Nevis,0.01,-0.03,-0.03,-0.02,-0.03,-0.03,-300.0,-300.0,-200.0,-300.0,-300.0
Saint Martin (French part),0.0,0.18,0.1,0.9,0.43,0.17,,,,,
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Saudi Arabia,9.77,-2.29,-2.18,0.84,-2.97,-2.64,-23.44,-22.31,8.6,-30.4,-27.02
Sint Maarten (Dutch part),0.0,0.0,0.0,0.3,0.0,0.0,,,,,
Slovakia,0.6,1.42,1.46,0.98,1.09,1.4,236.67,243.33,163.33,181.67,233.33
Slovenia,0.44,0.78,0.78,0.66,0.59,0.81,177.27,177.27,150.0,134.09,184.09
