Country,Current tax revenue from MNEs,Destination (headline measure),Destination + nexus,Origin-based,Robustness: without digital services,Robustness: consumer-facing only,Destination (headline measure) (%),Destination + nexus (%),Origin-based (%),Robustness: without digital services (%),Robustness: consumer-facing only (%)
LOW-INCOME,0.91,3.96,3.13,2.64,3.97,4.35,435.16,343.96,290.11,436.26,478.02
Afghanistan,0.02,0.02,0.0,0.0,0.02,0.02,100.0,0.0,0.0,100.0,100.0
Burkina Faso,0.02,0.01,0.01,0.01,0.01,0.01,50.0,50.0,50.0,50.0,50.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chad,0.04,0.04,0.03,0.04,0.04,0.04,100.0,75.0,100.0,100.0,100.0
DR Congo,0.38,0.91,0.85,0.74,0.92,1.01,239.47,223.68,194.74,242.11,265.79
Ethiopia,0.13,1.21,0.73,0.36,1.23,1.41,930.77,561.54,276.92,946.15,1084.62
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Liberia,0.01,0.07,0.07,0.09,0.07,0.07,700.0,700.0,900.0,700.0,700.0
Madagascar,0.02,0.03,0.02,0.01,0.03,0.04,150.0,100.0,50.0,150.0,200.0
Malawi,0.03,0.05,0.04,0.04,0.05,0.05,166.67,133.33,133.33,166.67,166.67
Mali,0.02,0.08,0.07,0.06,0.08,0.09,400.0,350.0,300.0,400.0,450.0
Mozambique,0.07,1.05,1.01,1.03,1.04,1.07,1500.0,1442.86,1471.43,1485.71,1528.57
Niger,0.02,0.03,0.01,0.02,0.03,0.03,150.0,50.0,100.0,150.0,150.0
North Korea,0.0,-0.0,-0.0,0.0,-0.0,-0.0,,,,,
Rwanda,0.0,0.04,0.02,0.02,0.04,0.05,,,,,
Sierra Leone,0.0,0.01,0.01,0.0,0.01,0.01,,,,,
Somalia,0.0,0.01,0.01,0.01,0.01,0.01,,,,,
South Sudan,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,
Sudan,0.09,0.21,0.14,0.14,0.21,0.22,233.33,155.56,155.56,233.33,244.44
Syria,0.0,0.02,0.01,0.01,0.02,0.02,,,,,
Uganda,0.05,0.17,0.1,0.05,0.17,0.2,340.0,200.0,100.0,340.0,400.0
Yemen,0.0,0.0,-0.0,-0.0,0.0,0.0,,,,,
