iso_partner,partner_jurisdiction,wb_income_group,main_commodity,pre_profit_payments_usd_m,post_profit_payments_usd_m,equity_income_usd_m,actual_resource_contribution_usd_m,resource_profit_base_usd_m,reported_profit_usd_m,reported_tax_usd_m,contribution_pct_profit,contribution_pct_gdp_per_yr,src_eiti_bilateral,src_grd_distributed,src_manual_distributed,src_rent_proxy,sanity_flag
Source country ISO3 code (where the resource is extracted),Source country name,World Bank income group (investment_hub = recognised tax haven),Dominant commodity in this country's resource-payment panel,"Royalties / production-sharing / fees deducted BEFORE CbCR profit, USD millions, 2016-2022 total (added back in the incl_resource view)","Resource corporate income tax / special taxes paid FROM profit, USD millions, 2016-2022 total","State-owned-enterprise / state-participation income, USD millions, 2016-2022 total","Total state take = pre-profit + post-profit + equity, USD millions, 2016-2022 total","Profit pool removed from the country in the excl_resource view, USD millions, 2016-2022 total","Country's reported profit before income tax (for scale), USD millions, 2016-2022 total","Country's reported corporate income tax paid (for scale), USD millions, 2016-2022 total",Total state take as a percentage of the country's absolute reported profit,Annual state take as a percentage of GDP (total take / 7 years / mean annual GDP),Share of the total state take sourced from eiti_bilateral,Share of the total state take sourced from grd_distributed,Share of the total state take sourced from manual_distributed,Share of the total state take sourced from rent-proxy estimate,Plausibility flags: ok / no_resource_correction / >50%GDP-per-yr check / mostly_rent_proxy (estimated) / negative_component check
SAU,Saudi Arabia,high_income,oil_gas,202949.29288932512,162359.43431146012,446488.4443565153,811797.1715573005,761037.0105797598,1225378.3421435915,546966.1203208013,66.24869590376463,13.102615424748638,0.0,0.0,1.0,0.0,ok
CHN,China (People’s Republic of),upper_middle_income,coal,194833.32259757892,219187.48792227628,73062.49597409209,487083.3064939473,870447.6249652783,7392928.556849955,1698433.2388921794,6.588502820612784,0.46737685706495313,0.0,0.0,1.0,0.0,ok
IRQ,Iraq,upper_middle_income,oil_gas,0.0,1614.85441034,292650.71920193,294265.57361227,41716.54684042212,17301.21448567095,6599.079809365999,1700.8376715749284,19.710637145105203,1.0,0.0,0.0,0.0,ok
AUS,Australia,high_income,minerals,120208.57748585384,157116.97039237505,11742.213430210504,289067.76130843937,408875.6017528027,815865.8201736796,226542.2578419643,35.430796849278885,2.9113597462412533,0.0,0.0,1.0,0.0,ok
MEX,Mexico,upper_middle_income,oil_gas,151001.0,55973.0,52978.0,259952.0,168033.10938515648,475663.1695168325,164347.8689449409,54.650436834126374,2.9649634599824215,0.0,0.0,1.0,0.0,ok
BRA,Brazil,upper_middle_income,oil_gas,122409.81319688942,44563.258368142786,25108.65,192081.72156503223,114650.15094268785,716911.6852447542,215023.70723688396,26.792940541826347,1.5067467615947092,0.0,0.0,1.0,0.0,ok
ARE,United Arab Emirates,investment_hub,oil_gas,36824.332443445666,27618.24933258425,119679.08044119841,184121.66221722832,80670.27565695353,233488.40928896735,71285.10794693486,78.85687464226874,6.410486072767572,0.0,0.0,1.0,0.0,ok
USA,United States,high_income,oil_gas,91213.73928065621,90541.35275704882,0.0,181755.09203770504,385063.78592547844,7607103.789142096,1854596.669354163,2.3892810861491185,0.11984720232091604,0.0,0.0,1.0,0.0,ok
IND,India,lower_middle_income,oil_gas,79341.25733983977,57756.718383479485,26425.036763624565,163523.01248694383,154731.70448853454,525635.2795215072,197010.88444000357,31.10959611306931,0.8312037248851394,0.0,0.0,1.0,0.0,ok
