iso_partner,partner_jurisdiction,tax_loss_bn
LUX,Luxembourg,32.09386009324018
DEU,Germany,15.242895440502142
FRA,France,13.145293435566083
ITA,Italy,4.5647160026457145
ESP,Spain,3.7347895365729347
SWE,Sweden,3.6073997110873264
NLD,Netherlands,3.3797592826952765
POL,Poland,2.34092943442778
DNK,Denmark,1.9171828661341814
MLT,Malta,1.5152676688471323
AUT,Austria,0.7691002264419133
ROU,Romania,0.6947487438165928
CZE,Czechia,0.6601911404512173
PRT,Portugal,0.6526479603949136
BEL,Belgium,0.6213661634567944
FIN,Finland,0.42989993936636106
SVK,Slovak Republic,0.3513600186837069
HUN,Hungary,0.24695810132534735
BGR,Bulgaria,0.17968615075055877
GRC,Greece,0.16713921312408542
SVN,Slovenia,0.06881053079237029
EST,Estonia,0.055379442855214664
LVA,Latvia,0.026997993901244733
CYP,Cyprus,0.015472444195585744
HRV,Croatia,0.007353452833246157
LTU,Lithuania,0.0
IRL,Ireland,0.0
