iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-183.57990804294636,-0.18357990804294635,benefits_from_ut,-4036.959832224381
AUT,Austria,2017,-917.9812166376314,-0.9179812166376314,benefits_from_ut,-4036.959832224381
AUT,Austria,2018,-386.08939143791576,-0.38608939143791576,benefits_from_ut,-4036.959832224381
AUT,Austria,2019,-89.71620722404397,-0.08971620722404397,benefits_from_ut,-4036.959832224381
AUT,Austria,2020,-667.5345829133337,-0.6675345829133337,benefits_from_ut,-4036.959832224381
AUT,Austria,2021,-1087.373928576573,-1.0873739285765731,benefits_from_ut,-4036.959832224381
AUT,Austria,2022,-704.6845973919366,-0.7046845973919366,benefits_from_ut,-4036.959832224381
BGR,Bulgaria,2016,-35.4236329403252,-0.035423632940325196,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2017,-194.1984280867924,-0.1941984280867924,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2018,-256.9258675818098,-0.25692586758180985,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2019,-281.556754134814,-0.281556754134814,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2020,-578.2012898916962,-0.5782012898916962,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2021,-1210.7920410708884,-1.2107920410708883,benefits_from_ut,-3818.333920965699
BGR,Bulgaria,2022,-1261.2359072593729,-1.2612359072593728,benefits_from_ut,-3818.333920965699
CZE,Czechia,2016,-606.2617931390653,-0.6062617931390653,benefits_from_ut,-11741.851996055238
CZE,Czechia,2017,-1387.054546840406,-1.3870545468404059,benefits_from_ut,-11741.851996055238
CZE,Czechia,2018,-820.7719239534757,-0.8207719239534758,benefits_from_ut,-11741.851996055238
CZE,Czechia,2019,-786.5192962361102,-0.7865192962361103,benefits_from_ut,-11741.851996055238
CZE,Czechia,2020,-1900.2386933220405,-1.9002386933220405,benefits_from_ut,-11741.851996055238
