iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
AUT,Austria,2016,-56.12657986229384,-0.056126579862293836,benefits_from_ut
AUT,Austria,2017,-743.3857493736383,-0.7433857493736383,benefits_from_ut
AUT,Austria,2018,-291.98373000418417,-0.29198373000418415,benefits_from_ut
AUT,Austria,2019,-23.38518162156844,-0.023385181621568437,benefits_from_ut
AUT,Austria,2020,-652.0066739977669,-0.6520066739977669,benefits_from_ut
AUT,Austria,2021,-810.6383558203767,-0.8106383558203767,benefits_from_ut
AUT,Austria,2022,-498.8746350878248,-0.4988746350878248,benefits_from_ut
BGR,Bulgaria,2016,25.225422375790657,0.025225422375790656,benefits_from_ut
BGR,Bulgaria,2017,-79.20462067895001,-0.07920462067895001,benefits_from_ut
BGR,Bulgaria,2018,-118.6822218713254,-0.11868222187132539,benefits_from_ut
BGR,Bulgaria,2019,-124.86150459432795,-0.12486150459432796,benefits_from_ut
BGR,Bulgaria,2020,-277.07832768420263,-0.27707832768420265,benefits_from_ut
BGR,Bulgaria,2021,-499.6747572627337,-0.4996747572627337,benefits_from_ut
BGR,Bulgaria,2022,-697.3600754140479,-0.6973600754140479,benefits_from_ut
CZE,Czechia,2016,61.23021802677822,0.061230218026778215,benefits_from_ut
CZE,Czechia,2017,-311.6101760439999,-0.3116101760439999,benefits_from_ut
CZE,Czechia,2018,-153.89542602550316,-0.15389542602550316,benefits_from_ut
CZE,Czechia,2019,-108.9682276920091,-0.10896822769200909,benefits_from_ut
CZE,Czechia,2020,-646.1238412515371,-0.6461238412515371,benefits_from_ut
CZE,Czechia,2021,-1294.2194370556963,-1.2942194370556963,benefits_from_ut
CZE,Czechia,2022,-959.873104832398,-0.959873104832398,benefits_from_ut
DEU,Germany,2016,-161.77441385792352,-0.16177441385792352,benefits_from_ut
DEU,Germany,2017,-10300.47753094356,-10.30047753094356,benefits_from_ut
DEU,Germany,2018,-2509.129797839344,-2.509129797839344,benefits_from_ut
DEU,Germany,2019,-1612.5246553256036,-1.6125246553256036,benefits_from_ut
DEU,Germany,2020,-14978.022599485916,-14.978022599485916,benefits_from_ut
DEU,Germany,2021,-12110.526349498909,-12.110526349498908,benefits_from_ut
DEU,Germany,2022,-9319.24785319292,-9.31924785319292,benefits_from_ut
DNK,Denmark,2016,171.69309502913953,0.17169309502913951,benefits_from_ut
DNK,Denmark,2017,-180.9739540269368,-0.1809739540269368,benefits_from_ut
DNK,Denmark,2018,318.4923709467544,0.3184923709467544,benefits_from_ut
DNK,Denmark,2019,-5728.386136551357,-5.728386136551356,benefits_from_ut
DNK,Denmark,2020,-1215.873345573665,-1.215873345573665,benefits_from_ut
DNK,Denmark,2021,-345.46842736772965,-0.34546842736772965,benefits_from_ut
DNK,Denmark,2022,-1243.7657098174996,-1.2437657098174995,benefits_from_ut
ESP,Spain,2016,-1938.5601379114855,-1.9385601379114856,benefits_from_ut
ESP,Spain,2017,-871.0702343531046,-0.8710702343531046,benefits_from_ut
ESP,Spain,2018,126.14998619317532,0.12614998619317533,benefits_from_ut
ESP,Spain,2019,-112.79374636843012,-0.11279374636843012,benefits_from_ut
ESP,Spain,2020,-1051.3475620555907,-1.0513475620555908,benefits_from_ut
ESP,Spain,2021,-5972.470150064271,-5.972470150064272,benefits_from_ut
ESP,Spain,2022,-4992.916315538857,-4.9929163155388565,benefits_from_ut
EST,Estonia,2016,13.80710514475903,0.01380710514475903,benefits_from_ut
EST,Estonia,2017,-22.9108718599528,-0.0229108718599528,benefits_from_ut
EST,Estonia,2018,-20.84306943560969,-0.02084306943560969,benefits_from_ut
EST,Estonia,2019,-11.120985154501035,-0.011120985154501035,benefits_from_ut
EST,Estonia,2020,-52.27450852963549,-0.05227450852963549,benefits_from_ut
EST,Estonia,2021,-105.38281493026966,-0.10538281493026966,benefits_from_ut
EST,Estonia,2022,-64.36496436610462,-0.06436496436610462,benefits_from_ut
FIN,Finland,2016,313.09544287411563,0.3130954428741156,benefits_from_ut
FIN,Finland,2017,-220.49766545261085,-0.22049766545261085,benefits_from_ut
FIN,Finland,2018,-105.8719805812552,-0.1058719805812552,benefits_from_ut
FIN,Finland,2019,-384.2687509771645,-0.38426875097716445,benefits_from_ut
FIN,Finland,2020,-299.7441876880744,-0.2997441876880744,benefits_from_ut
FIN,Finland,2021,-279.173607208781,-0.279173607208781,benefits_from_ut
FIN,Finland,2022,-859.9435049239191,-0.8599435049239191,benefits_from_ut
FRA,France,2016,-1726.6131828847829,-1.7266131828847828,benefits_from_ut
FRA,France,2017,-6138.500409319892,-6.138500409319892,benefits_from_ut
FRA,France,2018,-4161.626443824519,-4.1616264438245185,benefits_from_ut
FRA,France,2019,-2947.990526247185,-2.947990526247185,benefits_from_ut
FRA,France,2020,-7877.196729894285,-7.877196729894285,benefits_from_ut
FRA,France,2021,-11990.26453899233,-11.99026453899233,benefits_from_ut
FRA,France,2022,-5601.144033085792,-5.6011440330857925,benefits_from_ut
GRC,Greece,2016,74.80625938874185,0.07480625938874184,benefits_from_ut
GRC,Greece,2017,164.3987034577334,0.1643987034577334,benefits_from_ut
GRC,Greece,2018,35.735018310614976,0.03573501831061498,benefits_from_ut
GRC,Greece,2019,66.29488735678432,0.06629488735678432,benefits_from_ut
GRC,Greece,2020,-29.75698995777017,-0.02975698995777017,benefits_from_ut
GRC,Greece,2021,-299.06518735584245,-0.2990651873558425,benefits_from_ut
GRC,Greece,2022,-428.1963377997057,-0.42819633779970573,benefits_from_ut
ITA,Italy,2016,-158.01764917367126,-0.15801764917367125,benefits_from_ut
ITA,Italy,2017,1354.4433918404302,1.3544433918404302,benefits_from_ut
ITA,Italy,2018,-139.98297488136578,-0.13998297488136577,benefits_from_ut
ITA,Italy,2019,-1453.7410309845193,-1.4537410309845193,benefits_from_ut
ITA,Italy,2020,-3369.326187026211,-3.369326187026211,benefits_from_ut
ITA,Italy,2021,-5463.32887763628,-5.46332887763628,benefits_from_ut
ITA,Italy,2022,-5809.957890270372,-5.809957890270373,benefits_from_ut
LUX,Luxembourg,2016,-4165.093977926791,-4.165093977926791,benefits_from_ut
LUX,Luxembourg,2017,8376.715346233006,8.376715346233006,benefits_from_ut
LUX,Luxembourg,2018,1642.5015137594642,1.642501513759464,benefits_from_ut
LUX,Luxembourg,2019,-16765.969666254663,-16.765969666254662,benefits_from_ut
LUX,Luxembourg,2020,-4156.692121593656,-4.1566921215936565,benefits_from_ut
LUX,Luxembourg,2021,-90748.61973421177,-90.74861973421177,benefits_from_ut
LUX,Luxembourg,2022,-12133.127591372076,-12.133127591372077,benefits_from_ut
LVA,Latvia,2016,44.398588928275295,0.04439858892827529,benefits_from_ut
LVA,Latvia,2017,1.5161976011225693,0.0015161976011225692,benefits_from_ut
LVA,Latvia,2018,-13.297565175066936,-0.013297565175066936,benefits_from_ut
LVA,Latvia,2019,-0.896974997404879,-0.000896974997404879,benefits_from_ut
LVA,Latvia,2020,-18.79669305543109,-0.01879669305543109,benefits_from_ut
LVA,Latvia,2021,-54.18652725208963,-0.05418652725208963,benefits_from_ut
LVA,Latvia,2022,-47.81220902623112,-0.04781220902623112,benefits_from_ut
MLT,Malta,2016,72.24172415687035,0.07224172415687034,benefits_from_ut
MLT,Malta,2017,-336.1780939584991,-0.3361780939584991,benefits_from_ut
MLT,Malta,2018,503.97302306958943,0.5039730230695895,benefits_from_ut
MLT,Malta,2019,882.8366461170718,0.8828366461170718,benefits_from_ut
MLT,Malta,2020,-29969.175282984208,-29.969175282984207,benefits_from_ut
MLT,Malta,2021,3573.063525823543,3.573063525823543,benefits_from_ut
MLT,Malta,2022,4856.190507465595,4.8561905074655956,benefits_from_ut
POL,Poland,2016,-81.63513261312318,-0.08163513261312318,benefits_from_ut
POL,Poland,2017,-603.3304373688621,-0.6033304373688622,benefits_from_ut
POL,Poland,2018,-622.4775390669923,-0.6224775390669923,benefits_from_ut
POL,Poland,2019,-579.2099985614507,-0.5792099985614507,benefits_from_ut
POL,Poland,2020,-2570.887143584544,-2.570887143584544,benefits_from_ut
POL,Poland,2021,-4360.523200834993,-4.360523200834993,benefits_from_ut
POL,Poland,2022,-3502.6177818004558,-3.502617781800456,benefits_from_ut
PRT,Portugal,2016,-154.21073990222015,-0.15421073990222015,benefits_from_ut
PRT,Portugal,2017,-77.44671355050099,-0.07744671355050099,benefits_from_ut
PRT,Portugal,2018,-214.3813121772791,-0.21438131217727913,benefits_from_ut
PRT,Portugal,2019,-116.616117932141,-0.116616117932141,benefits_from_ut
PRT,Portugal,2020,-351.1701445621705,-0.3511701445621705,benefits_from_ut
PRT,Portugal,2021,-734.1307496478388,-0.7341307496478388,benefits_from_ut
PRT,Portugal,2022,-438.650918938859,-0.438650918938859,benefits_from_ut
ROU,Romania,2016,-211.3573320575558,-0.2113573320575558,benefits_from_ut
ROU,Romania,2017,-506.6677791194651,-0.506667779119465,benefits_from_ut
ROU,Romania,2018,-258.5063954480264,-0.2585063954480264,benefits_from_ut
ROU,Romania,2019,-207.4774744045565,-0.2074774744045565,benefits_from_ut
ROU,Romania,2020,-929.4662838240092,-0.9294662838240092,benefits_from_ut
ROU,Romania,2021,-1385.2356830264769,-1.385235683026477,benefits_from_ut
ROU,Romania,2022,-843.4687009736151,-0.8434687009736151,benefits_from_ut
SVK,Slovak Republic,2016,-40.47601041080082,-0.04047601041080082,benefits_from_ut
SVK,Slovak Republic,2017,-112.57048146690224,-0.11257048146690224,benefits_from_ut
SVK,Slovak Republic,2018,-153.3185763671267,-0.1533185763671267,benefits_from_ut
SVK,Slovak Republic,2019,-370.5884731514601,-0.3705884731514601,benefits_from_ut
SVK,Slovak Republic,2020,-620.4800567865816,-0.6204800567865816,benefits_from_ut
SVK,Slovak Republic,2021,-26.11464268203068,-0.026114642682030682,benefits_from_ut
SVK,Slovak Republic,2022,-347.6672761808069,-0.3476672761808069,benefits_from_ut
SVN,Slovenia,2016,-16.48915368263691,-0.01648915368263691,benefits_from_ut
SVN,Slovenia,2017,-13.75950255493939,-0.01375950255493939,benefits_from_ut
SVN,Slovenia,2018,-21.03306756721801,-0.021033067567218008,benefits_from_ut
SVN,Slovenia,2019,-13.58227932143794,-0.01358227932143794,benefits_from_ut
SVN,Slovenia,2020,-91.47054300825688,-0.09147054300825688,benefits_from_ut
SVN,Slovenia,2021,-114.95610607825948,-0.11495610607825948,benefits_from_ut
SVN,Slovenia,2022,-92.60573655579364,-0.09260573655579364,benefits_from_ut
SWE,Sweden,2016,991.1232095385318,0.9911232095385318,benefits_from_ut
SWE,Sweden,2017,-785.1832830327165,-0.7851832830327166,benefits_from_ut
SWE,Sweden,2018,-916.9945714126218,-0.9169945714126218,benefits_from_ut
SWE,Sweden,2019,1956.502322391135,1.956502322391135,benefits_from_ut
SWE,Sweden,2020,1761.305463901827,1.7613054639018269,benefits_from_ut
SWE,Sweden,2021,-15693.789238394913,-15.693789238394913,benefits_from_ut
SWE,Sweden,2022,1552.7316786265292,1.5527316786265293,benefits_from_ut
BEL,Belgium,2016,2391.765484417015,2.3917654844170153,loses_under_ut
BEL,Belgium,2017,-75.09724364182759,-0.07509724364182759,loses_under_ut
BEL,Belgium,2018,-84.32261716911555,-0.08432261716911554,loses_under_ut
BEL,Belgium,2019,1037.8019744888086,1.0378019744888085,loses_under_ut
BEL,Belgium,2020,2027.9056100552875,2.0279056100552877,loses_under_ut
BEL,Belgium,2021,-512.0038956416874,-0.5120038956416875,loses_under_ut
BEL,Belgium,2022,-1771.5880250955638,-1.7715880250955638,loses_under_ut
CYP,Cyprus,2016,1257.9857647076064,1.2579857647076065,loses_under_ut
CYP,Cyprus,2017,-123.77955356468594,-0.12377955356468594,loses_under_ut
CYP,Cyprus,2018,157.6278847393942,0.1576278847393942,loses_under_ut
CYP,Cyprus,2019,433.993760944862,0.43399376094486203,loses_under_ut
CYP,Cyprus,2020,1083.527556843672,1.083527556843672,loses_under_ut
CYP,Cyprus,2021,1776.3233968102056,1.7763233968102057,loses_under_ut
CYP,Cyprus,2022,1584.7608356579265,1.5847608356579264,loses_under_ut
HRV,Croatia,2016,28.240555502376598,0.0282405555023766,loses_under_ut
HRV,Croatia,2017,35.493782473230254,0.035493782473230255,loses_under_ut
HRV,Croatia,2018,40.18841224207153,0.04018841224207153,loses_under_ut
HRV,Croatia,2019,13.292945418290891,0.013292945418290892,loses_under_ut
HRV,Croatia,2020,-18.72569925177398,-0.018725699251773982,loses_under_ut
HRV,Croatia,2021,-22.126816488482447,-0.022126816488482446,loses_under_ut
HRV,Croatia,2022,26.7412815756228,0.0267412815756228,loses_under_ut
HUN,Hungary,2016,4365.001174125346,4.365001174125346,loses_under_ut
HUN,Hungary,2017,1496.4529165617432,1.4964529165617433,loses_under_ut
HUN,Hungary,2018,-288.2126114866349,-0.2882126114866349,loses_under_ut
HUN,Hungary,2019,1977.3953876554056,1.9773953876554056,loses_under_ut
HUN,Hungary,2020,1559.5986760079672,1.5595986760079672,loses_under_ut
HUN,Hungary,2021,-1629.3258755425643,-1.6293258755425644,loses_under_ut
HUN,Hungary,2022,-826.4404165857713,-0.8264404165857714,loses_under_ut
IRL,Ireland,2016,19267.809167949013,19.267809167949014,loses_under_ut
IRL,Ireland,2017,11622.300777727214,11.622300777727213,loses_under_ut
IRL,Ireland,2018,6254.487859269799,6.2544878592697986,loses_under_ut
IRL,Ireland,2019,20025.87587527906,20.02587587527906,loses_under_ut
IRL,Ireland,2020,23986.743448226727,23.986743448226726,loses_under_ut
IRL,Ireland,2021,95045.0316599608,95.0450316599608,loses_under_ut
IRL,Ireland,2022,91147.82740100323,91.14782740100323,loses_under_ut
LTU,Lithuania,2016,57.24699666201104,0.057246996662011045,loses_under_ut
LTU,Lithuania,2017,77.53891980392258,0.07753891980392258,loses_under_ut
LTU,Lithuania,2018,66.32523574486986,0.06632523574486986,loses_under_ut
LTU,Lithuania,2019,126.06183139578728,0.12606183139578728,loses_under_ut
LTU,Lithuania,2020,403.241300958865,0.403241300958865,loses_under_ut
LTU,Lithuania,2021,594.5547623068794,0.5945547623068794,loses_under_ut
LTU,Lithuania,2022,473.08136406632167,0.4730813640663217,loses_under_ut
NLD,Netherlands,2016,26032.43029634028,26.03243029634028,loses_under_ut
NLD,Netherlands,2017,24690.8056802339,24.6908056802339,loses_under_ut
NLD,Netherlands,2018,15795.367298025183,15.795367298025184,loses_under_ut
NLD,Netherlands,2019,42841.07199096758,42.841071990967585,loses_under_ut
NLD,Netherlands,2020,7133.648210379465,7.133648210379465,loses_under_ut
NLD,Netherlands,2021,-13519.037130781106,-13.519037130781106,loses_under_ut
NLD,Netherlands,2022,2143.9674474215126,2.1439674474215127,loses_under_ut
