iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
LUX,Luxembourg,-109704.66477636951,benefits_from_ut
DEU,Germany,-49150.28624680737,benefits_from_ut
FRA,France,-38928.23163641633,benefits_from_ut
MLT,Malta,-20179.259217896753,benefits_from_ut
ITA,Italy,-14172.492502364614,benefits_from_ut
ESP,Spain,-14154.026402004314,benefits_from_ut
POL,Poland,-11692.029288080033,benefits_from_ut
SWE,Sweden,-9870.348540751498,benefits_from_ut
DNK,Denmark,-8082.429018019395,benefits_from_ut
ROU,Romania,-4164.878438542859,benefits_from_ut
CZE,Czechia,-3233.2612106953,benefits_from_ut
AUT,Austria,-2966.9041249507345,benefits_from_ut
PRT,Portugal,-1992.60125572796,benefits_from_ut
FIN,Finland,-1741.901946283613,benefits_from_ut
BGR,Bulgaria,-1681.085856247226,benefits_from_ut
SVK,Slovak Republic,-1630.049245921615,benefits_from_ut
GRC,Greece,-363.71711775358784,benefits_from_ut
SVN,Slovenia,-347.1947841939495,benefits_from_ut
EST,Estonia,-248.22663919296406,benefits_from_ut
LVA,Latvia,-78.6267392261859,benefits_from_ut
HRV,Croatia,104.29186531204974,loses_under_ut
LTU,Lithuania,1714.1419356375015,loses_under_ut
BEL,Belgium,3216.7659266057885,loses_under_ut
CYP,Cyprus,5968.142256787384,loses_under_ut
HUN,Hungary,7049.963246195719,loses_under_ut
NLD,Netherlands,106811.51069612819,loses_under_ut
IRL,Ireland,254972.37342237495,loses_under_ut
