iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
LUX,Luxembourg,-117950.28623136648,benefits_from_ut
DEU,Germany,-50991.70320014418,benefits_from_ut
FRA,France,-40443.33586424879,benefits_from_ut
MLT,Malta,-20417.047950310036,benefits_from_ut
ITA,Italy,-15039.91121813199,benefits_from_ut
ESP,Spain,-14813.008160098565,benefits_from_ut
POL,Poland,-12320.68123383042,benefits_from_ut
SWE,Sweden,-11134.30441838223,benefits_from_ut
DNK,Denmark,-8224.282107361294,benefits_from_ut
ROU,Romania,-4342.179648853705,benefits_from_ut
CZE,Czechia,-3413.4599948743653,benefits_from_ut
AUT,Austria,-3076.400905767653,benefits_from_ut
PRT,Portugal,-2086.6066967110096,benefits_from_ut
FIN,Finland,-1836.4042539576894,benefits_from_ut
BGR,Bulgaria,-1771.6360851297968,benefits_from_ut
SVK,Slovak Republic,-1671.215517045709,benefits_from_ut
GRC,Greece,-415.7836465994438,benefits_from_ut
SVN,Slovenia,-363.89638876854224,benefits_from_ut
EST,Estonia,-263.09010913131425,benefits_from_ut
LVA,Latvia,-89.0751829768258,benefits_from_ut
HRV,Croatia,103.10446147133564,loses_under_ut
LTU,Lithuania,1798.0504109386568,loses_under_ut
BEL,Belgium,3014.461287412917,loses_under_ut
CYP,Cyprus,6170.439646138981,loses_under_ut
HUN,Hungary,6654.469250735491,loses_under_ut
NLD,Netherlands,105118.25379258682,loses_under_ut
IRL,Ireland,267350.0761894159,loses_under_ut
