iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.012860724830144471,32.09386009324018,-32.08099936841003
DEU,Germany,0.0,15.242895440502142,-15.242895440502142
FRA,France,0.0,13.145293435566083,-13.145293435566083
ITA,Italy,0.011515124946743314,4.5647160026457145,-4.553200877698972
ESP,Spain,0.0006670776787578997,3.7347895365729347,-3.7341224588941766
SWE,Sweden,0.07300370290613717,3.6073997110873264,-3.534396008181189
NLD,Netherlands,0.5820651084652823,3.3797592826952765,-2.7976941742299943
POL,Poland,0.0,2.34092943442778,-2.34092943442778
DNK,Denmark,0.00206200165661693,1.9171828661341814,-1.9151208644775646
MLT,Malta,0.07005924900895757,1.5152676688471323,-1.4452084198381747
AUT,Austria,0.0,0.7691002264419133,-0.7691002264419133
ROU,Romania,0.0,0.6947487438165928,-0.6947487438165928
CZE,Czechia,0.00027600389882238895,0.6601911404512173,-0.6599151365523949
PRT,Portugal,0.0,0.6526479603949136,-0.6526479603949136
BEL,Belgium,0.07821493623940196,0.6213661634567944,-0.5431512272173924
FIN,Finland,0.0009080651089636055,0.42989993936636106,-0.42899187425739743
SVK,Slovak Republic,0.0,0.3513600186837069,-0.3513600186837069
BGR,Bulgaria,5.02571725183402e-05,0.17968615075055877,-0.17963589357804044
GRC,Greece,0.0033848203715323077,0.16713921312408542,-0.1637543927525531
HUN,Hungary,0.0900613526955516,0.24695810132534735,-0.15689674862979575
SVN,Slovenia,0.0,0.06881053079237029,-0.06881053079237029
EST,Estonia,4.9098559416834596e-05,0.055379442855214664,-0.05533034429579783
LVA,Latvia,6.894332303647868e-05,0.026997993901244733,-0.026929050578208255
HRV,Croatia,0.0013225209736403762,0.007353452833246157,-0.0060309318596057804
CYP,Cyprus,0.02926991159262155,0.015472444195585744,0.013797467397035808
LTU,Lithuania,0.031983033162442345,0.0,0.031983033162442345
IRL,Ireland,6.653086131210912,0.0,6.653086131210912
