iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.20669057394775653,32.09386009324018,-31.887169519292424
DEU,Germany,0.0,15.242895440502142,-15.242895440502142
FRA,France,0.0,13.145293435566083,-13.145293435566083
ITA,Italy,0.4922312191263727,4.5647160026457145,-4.072484783519342
ESP,Spain,0.030313395602530768,3.7347895365729347,-3.704476140970404
POL,Poland,0.0,2.34092943442778,-2.34092943442778
SWE,Sweden,1.5678283171828586,3.6073997110873264,-2.0395713939044677
DNK,Denmark,0.15140682759616653,1.9171828661341814,-1.7657760385380148
MLT,Malta,0.08723566525710347,1.5152676688471323,-1.4280320035900287
AUT,Austria,0.0,0.7691002264419133,-0.7691002264419133
ROU,Romania,0.0,0.6947487438165928,-0.6947487438165928
PRT,Portugal,0.0,0.6526479603949136,-0.6526479603949136
CZE,Czechia,0.013109516981289168,0.6601911404512173,-0.6470816234699281
FIN,Finland,0.05544949803021273,0.42989993936636106,-0.37445044133614835
SVK,Slovak Republic,0.0,0.3513600186837069,-0.3513600186837069
BGR,Bulgaria,0.0024250496778916043,0.17968615075055877,-0.17726110107266715
GRC,Greece,0.08513717671636055,0.16713921312408542,-0.08200203640772487
SVN,Slovenia,0.0,0.06881053079237029,-0.06881053079237029
EST,Estonia,0.0015210437555324273,0.055379442855214664,-0.053858399099682236
LVA,Latvia,0.0024418915182605506,0.026997993901244733,-0.024556102382984182
HRV,Croatia,0.02572623678407664,0.007353452833246157,0.018372783950830484
CYP,Cyprus,0.19123631530221485,0.015472444195585744,0.1757638711066291
LTU,Lithuania,0.2927968351429095,0.0,0.2927968351429095
BEL,Belgium,1.2983991768705667,0.6213661634567944,0.6770330134137723
HUN,Hungary,2.2342378731565993,0.24695810132534735,1.9872797718312518
NLD,Netherlands,10.586773735747169,3.3797592826952765,7.207014453051892
IRL,Ireland,35.79631422743573,0.0,35.79631422743573
