iso_partner,partner_jurisdiction,tax_loss_bn
LUX,Luxembourg,29.942676569869942
DEU,Germany,13.593087598706045
FRA,France,11.646042615069373
ITA,Italy,4.142597762523483
SWE,Sweden,3.40441950089989
ESP,Spain,3.3509920360831695
NLD,Netherlands,3.2330372565240166
POL,Poland,2.118826555882878
DNK,Denmark,1.7128870884402847
MLT,Malta,1.364338769415406
AUT,Austria,0.681881362597364
ROU,Romania,0.6227268654335493
CZE,Czechia,0.597367581368762
PRT,Portugal,0.5861371130395051
BEL,Belgium,0.5513406584754101
FIN,Finland,0.3807762205874836
SVK,Slovak Republic,0.309663058572068
HUN,Hungary,0.22681463382073375
BGR,Bulgaria,0.16132145970644396
GRC,Greece,0.15165877583537102
SVN,Slovenia,0.061983442504763724
EST,Estonia,0.05010467374147094
LVA,Latvia,0.02447931280169139
CYP,Cyprus,0.012904841098900928
HRV,Croatia,0.006847326142339742
LTU,Lithuania,0.0
IRL,Ireland,0.0
