iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-152.43612487715225,-0.15243612487715225,benefits_from_ut,-3397.9718760453584
AUT,Austria,2017,-770.4385014170472,-0.7704385014170472,benefits_from_ut,-3397.9718760453584
AUT,Austria,2018,-325.62990346751127,-0.32562990346751125,benefits_from_ut,-3397.9718760453584
AUT,Austria,2019,-80.24624432928651,-0.08024624432928651,benefits_from_ut,-3397.9718760453584
AUT,Austria,2020,-595.363314779459,-0.5953633147794589,benefits_from_ut,-3397.9718760453584
AUT,Austria,2021,-862.7787739786775,-0.8627787739786774,benefits_from_ut,-3397.9718760453584
AUT,Austria,2022,-611.0790131962247,-0.6110790131962246,benefits_from_ut,-3397.9718760453584
BEL,Belgium,2016,0.0,0.0,benefits_from_ut,-816.561566313237
BEL,Belgium,2017,0.0,0.0,benefits_from_ut,-816.561566313237
BEL,Belgium,2018,0.0,0.0,benefits_from_ut,-816.561566313237
BEL,Belgium,2019,0.0,0.0,benefits_from_ut,-816.561566313237
BEL,Belgium,2020,0.0,0.0,benefits_from_ut,-816.561566313237
BEL,Belgium,2021,139.84158730267143,0.13984158730267143,benefits_from_ut,-816.561566313237
BEL,Belgium,2022,-956.4031536159084,-0.9564031536159084,benefits_from_ut,-816.561566313237
BGR,Bulgaria,2016,-29.414251574154584,-0.029414251574154584,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2017,-162.98570702790295,-0.16298570702790294,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2018,-216.6917900580568,-0.2166917900580568,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2019,-251.83416661690276,-0.2518341666169028,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2020,-515.6870669225716,-0.5156870669225716,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2021,-960.7038965161048,-0.9607038965161048,benefits_from_ut,-3231.016850716722
BGR,Bulgaria,2022,-1093.6999720010283,-1.0936999720010283,benefits_from_ut,-3231.016850716722
