iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
AUT,Austria,2016,-40.27002444392679,-0.04027002444392679,benefits_from_ut
AUT,Austria,2017,-604.0181135191087,-0.6040181135191087,benefits_from_ut
AUT,Austria,2018,-229.71887104727492,-0.22971887104727493,benefits_from_ut
AUT,Austria,2019,-20.41106362170509,-0.02041106362170509,benefits_from_ut
AUT,Austria,2020,-582.9060543110303,-0.5829060543110303,benefits_from_ut
AUT,Austria,2021,-783.2158588489979,-0.7832158588489979,benefits_from_ut
AUT,Austria,2022,-425.65327271771525,-0.42565327271771525,benefits_from_ut
BEL,Belgium,2016,0.0,0.0,benefits_from_ut
BEL,Belgium,2017,-61.01824721988695,-0.061018247219886954,benefits_from_ut
BEL,Belgium,2018,-66.34101297206938,-0.06634101297206937,benefits_from_ut
BEL,Belgium,2019,0.0,0.0,benefits_from_ut
BEL,Belgium,2020,0.0,0.0,benefits_from_ut
BEL,Belgium,2021,-494.6836872198206,-0.49468368721982064,benefits_from_ut
BEL,Belgium,2022,-1511.5666096286648,-1.5115666096286648,benefits_from_ut
BGR,Bulgaria,2016,25.225422375790657,0.025225422375790656,benefits_from_ut
BGR,Bulgaria,2017,-64.35558605314381,-0.06435558605314382,benefits_from_ut
BGR,Bulgaria,2018,-93.37351098731556,-0.09337351098731556,benefits_from_ut
BGR,Bulgaria,2019,-108.9816686232655,-0.10898166862326551,benefits_from_ut
BGR,Bulgaria,2020,-247.7131617920377,-0.2477131617920377,benefits_from_ut
BGR,Bulgaria,2021,-482.77162232058697,-0.48277162232058696,benefits_from_ut
BGR,Bulgaria,2022,-595.0063953650516,-0.5950063953650516,benefits_from_ut
CZE,Czechia,2016,0.0,0.0,benefits_from_ut
CZE,Czechia,2017,-253.1904745901344,-0.2531904745901344,benefits_from_ut
CZE,Czechia,2018,-121.07758033439532,-0.12107758033439532,benefits_from_ut
CZE,Czechia,2019,-95.10969228969664,-0.09510969228969664,benefits_from_ut
CZE,Czechia,2020,-577.6466927722122,-0.5776466927722121,benefits_from_ut
CZE,Czechia,2021,-1250.4382264355277,-1.2504382264355276,benefits_from_ut
CZE,Czechia,2022,-818.9895812075055,-0.8189895812075054,benefits_from_ut
DEU,Germany,2016,-116.0708458709613,-0.11607084587096131,benefits_from_ut
DEU,Germany,2017,-8369.376211245311,-8.369376211245312,benefits_from_ut
DEU,Germany,2018,-1974.0636386228489,-1.974063638622849,benefits_from_ut
DEU,Germany,2019,-1407.444417753103,-1.407444417753103,benefits_from_ut
DEU,Germany,2020,-13390.62988621751,-13.39062988621751,benefits_from_ut
DEU,Germany,2021,-11700.848137560804,-11.700848137560804,benefits_from_ut
DEU,Germany,2022,-7951.433223861493,-7.9514332238614935,benefits_from_ut
DNK,Denmark,2016,0.0,0.0,benefits_from_ut
DNK,Denmark,2017,-147.0455230000682,-0.14704552300006818,benefits_from_ut
DNK,Denmark,2018,0.0,0.0,benefits_from_ut
DNK,Denmark,2019,-4999.852290007622,-4.999852290007622,benefits_from_ut
DNK,Denmark,2020,-1087.013312401652,-1.087013312401652,benefits_from_ut
DNK,Denmark,2021,-333.78182651153014,-0.33378182651153016,benefits_from_ut
DNK,Denmark,2022,-1061.2143966483482,-1.061214396648348,benefits_from_ut
ESP,Spain,2016,-1390.889384873471,-1.3908893848734711,benefits_from_ut
ESP,Spain,2017,-707.7647105018181,-0.7077647105018181,benefits_from_ut
ESP,Spain,2018,0.0,0.0,benefits_from_ut
ESP,Spain,2019,-98.4486830383695,-0.0984486830383695,benefits_from_ut
ESP,Spain,2020,-939.9242117411889,-0.9399242117411889,benefits_from_ut
ESP,Spain,2021,-5770.43178927632,-5.77043178927632,benefits_from_ut
ESP,Spain,2022,-4260.090653317439,-4.260090653317439,benefits_from_ut
EST,Estonia,2016,13.80710514475903,0.01380710514475903,benefits_from_ut
EST,Estonia,2017,-18.61561324196332,-0.01861561324196332,benefits_from_ut
EST,Estonia,2018,-16.398332810665877,-0.016398332810665876,benefits_from_ut
EST,Estonia,2019,-9.706622732200708,-0.009706622732200708,benefits_from_ut
EST,Estonia,2020,-46.73437975906743,-0.046734379759067426,benefits_from_ut
