iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-72194.7610656161,benefits_from_ut
LUX,Luxembourg,-63801.148295716375,benefits_from_ut
FRA,France,-44789.76342675608,benefits_from_ut
POL,Poland,-26777.932037492217,benefits_from_ut
ESP,Spain,-20391.995377073043,benefits_from_ut
MLT,Malta,-15850.220667203654,benefits_from_ut
ITA,Italy,-15650.206393776163,benefits_from_ut
SWE,Sweden,-10507.491275022801,benefits_from_ut
CZE,Czechia,-9909.518663161129,benefits_from_ut
ROU,Romania,-9600.640581252304,benefits_from_ut
DNK,Denmark,-8926.017350911188,benefits_from_ut
SVK,Slovak Republic,-4412.089974881918,benefits_from_ut
PRT,Portugal,-3664.28381704804,benefits_from_ut
AUT,Austria,-3397.9718760453584,benefits_from_ut
BGR,Bulgaria,-3231.016850716722,benefits_from_ut
FIN,Finland,-2421.938113440209,benefits_from_ut
HUN,Hungary,-1709.9873312105096,benefits_from_ut
GRC,Greece,-955.9953902545344,benefits_from_ut
BEL,Belgium,-816.561566313237,benefits_from_ut
EST,Estonia,-672.0304718840449,benefits_from_ut
SVN,Slovenia,-574.8720309828436,benefits_from_ut
LVA,Latvia,-262.5599891791904,benefits_from_ut
HRV,Croatia,-163.66617977187892,benefits_from_ut
LTU,Lithuania,855.404357147615,loses_under_ut
CYP,Cyprus,6145.760511215734,loses_under_ut
NLD,Netherlands,123174.82096122245,loses_under_ut
IRL,Ireland,340756.51091455115,loses_under_ut
