iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
LUX,Luxembourg,-109350.0808444398,benefits_from_ut
DEU,Germany,-44909.86636113203,benefits_from_ut
FRA,France,-35479.79086211869,benefits_from_ut
MLT,Malta,-17177.8453604058,benefits_from_ut
SWE,Sweden,-16522.322589286505,benefits_from_ut
ITA,Italy,-14740.328669508788,benefits_from_ut
ESP,Spain,-13167.549432748607,benefits_from_ut
POL,Poland,-11044.036727127483,benefits_from_ut
DNK,Denmark,-7628.907348569221,benefits_from_ut
ROU,Romania,-3836.802096250201,benefits_from_ut
CZE,Czechia,-3116.452247629472,benefits_from_ut
AUT,Austria,-2686.193258509759,benefits_from_ut
BEL,Belgium,-2133.609557040442,benefits_from_ut
FIN,Finland,-1869.285544626728,benefits_from_ut
PRT,Portugal,-1841.5389493378398,benefits_from_ut
BGR,Bulgaria,-1566.9765227656105,benefits_from_ut
SVK,Slovak Republic,-1441.1789908948183,benefits_from_ut
HUN,Hungary,-946.5030695681747,benefits_from_ut
GRC,Greece,-680.9002749401666,benefits_from_ut
SVN,Slovenia,-323.2707613292928,benefits_from_ut
EST,Estonia,-234.3836603827675,benefits_from_ut
LVA,Latvia,-75.28274838645146,benefits_from_ut
HRV,Croatia,-11.378145179489817,benefits_from_ut
LTU,Lithuania,126.06183139578728,loses_under_ut
CYP,Cyprus,6193.645449804137,loses_under_ut
NLD,Netherlands,105575.57949413177,loses_under_ut
IRL,Ireland,230205.4783844698,loses_under_ut
