iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,340.75651091455114,393.30712737580865,0.07583998932346234,7.583998932346233,winner_haven
NLD,Netherlands,123.17482096122244,179.30649468577977,0.04952301923801687,4.952301923801687,winner_haven
CYP,Cyprus,6.145760511215735,6.58581341634976,0.05467674788439823,5.467674788439823,winner_haven
LTU,Lithuania,0.8554043571476149,2.92845055252,0.12039932174166154,12.039932174166154,winner_haven
HRV,Croatia,-0.16366617977187892,0.79429919511,0.16400934559194452,16.400934559194454,loser_victim
LVA,Latvia,-0.2625599891791904,0.15263445400999998,0.054385791991457315,5.438579199145732,loser_victim
SVN,Slovenia,-0.5748720309828436,0.4033955303499999,0.14969220082288442,14.969220082288443,loser_victim
EST,Estonia,-0.6720304718840449,0.27183719836,0.021525131716385332,2.152513171638533,loser_victim
BEL,Belgium,-0.8165615663132371,44.293105038300006,0.19233344098843433,19.233344098843432,loser_victim
GRC,Greece,-0.9559953902545344,2.18011987459,0.21436591441981734,21.436591441981733,loser_victim
HUN,Hungary,-1.7099873312105096,14.844159359927593,0.09972976605830626,9.972976605830626,loser_victim
FIN,Finland,-2.421938113440209,4.26878832694,0.16226126798768895,16.226126798768895,loser_victim
BGR,Bulgaria,-3.231016850716722,0.8192654924599999,0.09169603312966636,9.169603312966636,loser_victim
AUT,Austria,-3.397971876045358,5.46876064915,0.14662865219818438,14.662865219818439,loser_victim
PRT,Portugal,-3.66428381704804,3.6581950109,0.1736887034108968,17.36887034108968,loser_victim
SVK,Slovak Republic,-4.412089974881918,3.7864558990500004,0.19926407335601834,19.926407335601834,loser_victim
DNK,Denmark,-8.926017350911188,2.0054419938400003,0.1349932595377368,13.499325953773681,loser_victim
ROU,Romania,-9.600640581252305,4.01642722834,0.13665231587472063,13.665231587472062,loser_victim
CZE,Czechia,-9.90951866316113,8.019278524819999,0.16165210946045017,16.165210946045015,loser_victim
SWE,Sweden,-10.507491275022803,4.587552918059999,0.12548240201945504,12.548240201945504,loser_victim
ITA,Italy,-15.650206393776163,29.162054737850003,0.21094098833978212,21.09409883397821,loser_victim
MLT,Malta,-15.850220667203656,-18.45615856495995,0.018512982759752886,1.8512982759752887,loser_victim
ESP,Spain,-20.391995377073044,24.20694672171,0.17075377830146246,17.075377830146245,loser_victim
POL,Poland,-26.777932037492217,16.29134483166,0.18696311399957044,18.696311399957043,loser_victim
FRA,France,-44.789763426756075,38.71153741848,0.21356074439027792,21.356074439027793,loser_victim
LUX,Luxembourg,-63.80114829571638,-79.00112986671607,0.037653624470707005,3.7653624470707006,loser_victim
DEU,Germany,-72.19476106561609,88.86395759544999,0.19265770708791247,19.265770708791248,loser_victim
