iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.012955463319053876,28.003373344611116,-27.990417881292064
DEU,Germany,0.0,13.082592852187418,-13.082592852187418
FRA,France,0.0,11.25040418626585,-11.25040418626585
ITA,Italy,0.0,3.925839870378633,-3.925839870378633
ESP,Spain,0.000636809595288683,3.1932583251391553,-3.1926215155438666
SWE,Sweden,0.07096542717933847,3.139633861269619,-3.068668434090281
NLD,Netherlands,0.5787342788703901,2.9618304549368806,-2.3830961760664904
POL,Poland,0.0,2.008438317358094,-2.008438317358094
DNK,Denmark,0.00202654251844947,1.6837314569387658,-1.6817049144203162
MLT,Malta,0.06488394995454246,1.328054174148602,-1.2631702241940597
AUT,Austria,0.0,0.6564061494109406,-0.6564061494109406
ROU,Romania,0.0,0.5961886428415096,-0.5961886428415096
CZE,Czechia,0.0,0.5662120785720205,-0.5662120785720205
PRT,Portugal,0.0,0.5583509201230107,-0.5583509201230107
BEL,Belgium,0.0,0.5209889016804192,-0.5209889016804192
FIN,Finland,0.0009562770270007372,0.36674286523167293,-0.3657865882046722
SVK,Slovak Republic,0.0,0.30200058432997995,-0.30200058432997995
HUN,Hungary,0.05086800408462816,0.21079877923977094,-0.15993077515514278
BGR,Bulgaria,5.292547753117966e-05,0.1531764794990237,-0.1531235540214925
GRC,Greece,0.0,0.14206356783930785,-0.14206356783930785
SVN,Slovenia,0.0,0.059026163388066315,-0.059026163388066315
EST,Estonia,5.170535016232129e-05,0.047486278146297474,-0.04743457279613515
LVA,Latvia,7.245938865823094e-05,0.022996619408239764,-0.022924160019581533
HRV,Croatia,0.0005095938166035266,0.006445615501103611,-0.005936021684500085
CYP,Cyprus,0.027389574318921396,0.013106435583343559,0.014283138735577837
LTU,Lithuania,0.029873243678825778,0.0,0.029873243678825778
IRL,Ireland,6.188600692303872,0.0,6.188600692303872
