year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,251040.16963387205,92766.15867006766,43043.83255043008,49722.32611963758,262653.8835363273,18.93074088613678
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,354900.0036837193,128302.32971111988,61464.85409795526,66837.47561316461,322277.8007568122,20.739087661703245
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,211107.09920968144,54587.95729499558,33125.61357188857,21462.34372310701,261200.56660557532,8.216805959504718
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,295931.42515186034,76747.06213033607,49761.4282442398,26985.63388609627,328586.7126665174,8.212636983128403
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,428713.0252870467,103764.657925343,61197.19377582445,42567.46414951855,309946.0534237217,13.73383002600305
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,356326.83183983155,83227.72430046723,38345.99009610681,44881.73420436043,441799.1069365538,10.15885580112905
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,354245.94877414993,86752.85878876646,52716.167131351234,34036.69165741523,514942.5483789336,6.609803708115504
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,251040.16963387205,92766.15867006766,11599.697291675056,81166.46137839262,262653.8835363273,30.90244099404934
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,354900.0036837193,128302.32971111988,18167.661737426693,110134.66797369318,322277.8007568122,34.17383006681238
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,211107.09920968144,54587.95729499558,10974.112739619355,43613.84455537622,261200.56660557532,16.69745403777592
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,295931.42515186034,76747.06213033607,18402.39204045676,58344.67008987931,328586.7126665174,17.756247541601997
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,428713.0252870467,103764.657925343,22031.541602968384,81733.11632237461,309946.0534237217,26.37011035292607
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,356326.83183983155,83227.72430046723,18965.44866349735,64262.27563696988,441799.1069365538,14.545587491691895
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,354245.94877414993,86752.85878876646,23025.51751023296,63727.34127853351,514942.5483789336,12.375621606556024
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,251040.16963387205,74053.7030762821,11599.697291675056,62454.00578460704,262653.8835363273,23.778062956365584
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,354900.0036837193,104084.71567478188,18167.661737426693,85917.0539373552,322277.8007568122,26.659314956101305
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,211107.09920968144,53767.91637567128,10974.112739619355,42793.80363605191,261200.56660557532,16.383503371442714
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,295931.42515186034,57117.76879527066,18402.39204045676,38715.3767548139,328586.7126665174,11.782392672130394
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,428713.0252870467,74010.24014596685,22031.541602968384,51978.698542998456,309946.0534237217,16.77024048825016
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,356326.83183983155,45495.24086898082,18965.44866349735,26529.79220548347,441799.1069365538,6.004944733691683
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,354245.94877414993,56796.87032178477,23025.51751023296,33771.35281155181,514942.5483789336,6.558275853853177
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,250049.4725067652,91816.13693715828,43334.5127773892,48481.6241597691,262653.8835363273,18.4583694354794
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,352088.9791800763,126640.8981510594,61702.16589844172,64938.73225261767,322277.8007568122,20.14992410278356
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,208583.14130098652,54572.0716610401,33185.858022391665,21386.21363864842,261200.56660557532,8.187659742309275
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,290047.08180234383,75792.38438414049,49327.37758733016,26465.006796810325,328586.7126665174,8.054192630628267
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,419549.1896561461,101396.8704919112,60702.47450764271,40694.395984268485,309946.0534237217,13.129509324203555
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,344873.8657224436,80555.93155131055,38050.12774442439,42505.80380688616,441799.1069365538,9.621070558884211
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,344092.9097687291,84106.4042474872,52320.39068722057,31786.013560266638,514942.5483789336,6.172730076458178
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,250049.4725067652,91816.13693715828,11366.392081605016,80449.74485555328,262653.8835363273,30.629566093747243
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,352088.9791800763,126640.8981510594,17521.54364693982,109119.35450411956,322277.8007568122,33.85878712336752
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,208583.14130098652,54572.0716610401,10538.35749912672,44033.71416191338,261200.56660557532,16.85820009280695
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,290047.08180234383,75792.38438414049,17841.25875481977,57951.12562932071,328586.7126665174,17.636478711826456
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,419549.1896561461,101396.8704919112,21060.87988505666,80335.99060685452,309946.0534237217,25.919346195716397
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,344873.8657224436,80555.93155131055,17766.27000150291,62789.66154980764,441799.1069365538,14.212265385775163
