iso_partner,partner_jurisdiction,tax_loss_bn
LUX,Luxembourg,21.82943535651303
DEU,Germany,20.810011679860423
FRA,France,13.677559913092495
ESP,Spain,4.879275833779836
POL,Poland,4.874466322977302
ITA,Italy,4.109998179390467
SWE,Sweden,2.976348466329491
DNK,Denmark,1.959680795641964
CZE,Czechia,1.808930961474378
NLD,Netherlands,1.798098112669968
ROU,Romania,1.4752270515081631
MLT,Malta,1.3014200179367297
PRT,Portugal,1.097032078465358
SVK,Slovak Republic,0.9029487333546633
AUT,Austria,0.8209351315596463
FIN,Finland,0.5006937722285425
HUN,Hungary,0.3583302099088711
BGR,Bulgaria,0.30745895988264554
BEL,Belgium,0.22706627578725272
GRC,Greece,0.19782759139863082
EST,Estonia,0.12871904232069878
SVN,Slovenia,0.10420956485960893
LVA,Latvia,0.05498040814978093
HRV,Croatia,0.0314796835987743
CYP,Cyprus,0.013077179190293206
LTU,Lithuania,0.0049890568738756675
IRL,Ireland,0.0
