iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-160.5294189437674,-0.1605294189437674,benefits_from_ut,-3283.740526238585
AUT,Austria,2017,-782.4739965694176,-0.7824739965694176,benefits_from_ut,-3283.740526238585
AUT,Austria,2018,-310.8547229869107,-0.3108547229869107,benefits_from_ut,-3283.740526238585
AUT,Austria,2019,-79.888115755574,-0.079888115755574,benefits_from_ut,-3283.740526238585
AUT,Austria,2020,-579.2686719741176,-0.5792686719741177,benefits_from_ut,-3283.740526238585
AUT,Austria,2021,-790.4036501548329,-0.7904036501548329,benefits_from_ut,-3283.740526238585
AUT,Austria,2022,-580.3219498539647,-0.5803219498539647,benefits_from_ut,-3283.740526238585
BEL,Belgium,2016,0.0,0.0,benefits_from_ut,-780.1542775456344
BEL,Belgium,2017,0.0,0.0,benefits_from_ut,-780.1542775456344
BEL,Belgium,2018,0.0,0.0,benefits_from_ut,-780.1542775456344
BEL,Belgium,2019,0.0,0.0,benefits_from_ut,-780.1542775456344
BEL,Belgium,2020,0.0,0.0,benefits_from_ut,-780.1542775456344
BEL,Belgium,2021,128.11082560337638,0.1281108256033764,benefits_from_ut,-780.1542775456344
BEL,Belgium,2022,-908.2651031490108,-0.9082651031490108,benefits_from_ut,-780.1542775456344
BGR,Bulgaria,2016,-30.975942990351896,-0.030975942990351897,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2017,-165.53180731135458,-0.16553180731135458,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2018,-206.8595840085542,-0.2068595840085542,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2019,-250.71026341549563,-0.2507102634154956,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2020,-501.7463370599543,-0.5017463370599543,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2021,-880.1142186456559,-0.8801142186456559,benefits_from_ut,-3074.5895988264556
BGR,Bulgaria,2022,-1038.6514453950888,-1.0386514453950888,benefits_from_ut,-3074.5895988264556
CZE,Czechia,2016,-530.1401861387076,-0.5301401861387076,benefits_from_ut,-9520.68927091778
CZE,Czechia,2017,-1182.3052303136872,-1.1823052303136872,benefits_from_ut,-9520.68927091778
CZE,Czechia,2018,-660.8322223254969,-0.6608322223254969,benefits_from_ut,-9520.68927091778
CZE,Czechia,2019,-700.3515180999318,-0.7003515180999318,benefits_from_ut,-9520.68927091778
CZE,Czechia,2020,-1648.9734917098947,-1.6489734917098946,benefits_from_ut,-9520.68927091778
CZE,Czechia,2021,-2568.981533215114,-2.568981533215114,benefits_from_ut,-9520.68927091778
CZE,Czechia,2022,-2229.1050891149475,-2.2291050891149475,benefits_from_ut,-9520.68927091778
DEU,Germany,2016,-2616.3410337569594,-2.6163410337569593,benefits_from_ut,-69616.16154646249
DEU,Germany,2017,-11472.350520915104,-11.472350520915104,benefits_from_ut,-69616.16154646249
DEU,Germany,2018,-4150.895317498623,-4.150895317498622,benefits_from_ut,-69616.16154646249
DEU,Germany,2019,-3470.7853822587545,-3.4707853822587547,benefits_from_ut,-69616.16154646249
DEU,Germany,2020,-18878.505339885945,-18.878505339885944,benefits_from_ut,-69616.16154646249
DEU,Germany,2021,-15845.986874244429,-15.845986874244428,benefits_from_ut,-69616.16154646249
DEU,Germany,2022,-13181.29707790268,-13.18129707790268,benefits_from_ut,-69616.16154646249
DNK,Denmark,2016,-78.6543236115639,-0.0786543236115639,benefits_from_ut,-8758.120594055456
DNK,Denmark,2017,-432.7710842743511,-0.43277108427435107,benefits_from_ut,-8758.120594055456
DNK,Denmark,2018,149.51938613529015,0.14951938613529014,benefits_from_ut,-8758.120594055456
DNK,Denmark,2019,-5230.45509433524,-5.230455094335239,benefits_from_ut,-8758.120594055456
DNK,Denmark,2020,-1181.2633510163466,-1.1812633510163466,benefits_from_ut,-8758.120594055456
DNK,Denmark,2021,-626.9326537397563,-0.6269326537397564,benefits_from_ut,-8758.120594055456
DNK,Denmark,2022,-1357.5634732134877,-1.3575634732134876,benefits_from_ut,-8758.120594055456
ESP,Spain,2016,-2112.700698601683,-2.112700698601683,benefits_from_ut,-19517.10333511934
ESP,Spain,2017,-1337.694476762707,-1.337694476762707,benefits_from_ut,-19517.10333511934
ESP,Spain,2018,-286.33956534485765,-0.28633956534485766,benefits_from_ut,-19517.10333511934
ESP,Spain,2019,-836.7940100809633,-0.8367940100809633,benefits_from_ut,-19517.10333511934
ESP,Spain,2020,-2313.0998337208152,-2.3130998337208153,benefits_from_ut,-19517.10333511934
ESP,Spain,2021,-6506.485930142387,-6.506485930142387,benefits_from_ut,-19517.10333511934
ESP,Spain,2022,-6123.988820465929,-6.123988820465929,benefits_from_ut,-19517.10333511934
EST,Estonia,2016,-21.270684988906265,-0.021270684988906264,benefits_from_ut,-643.5952116034939
EST,Estonia,2017,-74.49729483328541,-0.0744972948332854,benefits_from_ut,-643.5952116034939
EST,Estonia,2018,-47.67121957276018,-0.04767121957276018,benefits_from_ut,-643.5952116034939
EST,Estonia,2019,-47.57110714120845,-0.04757110714120845,benefits_from_ut,-643.5952116034939
EST,Estonia,2020,-120.69843942410928,-0.12069843942410928,benefits_from_ut,-643.5952116034939
EST,Estonia,2021,-187.4876263874561,-0.18748762638745609,benefits_from_ut,-643.5952116034939
EST,Estonia,2022,-144.39883925576822,-0.1443988392557682,benefits_from_ut,-643.5952116034939
FIN,Finland,2016,192.0409772030239,0.1920409772030239,benefits_from_ut,-2311.4278839396884
FIN,Finland,2017,-289.0365595193556,-0.2890365595193556,benefits_from_ut,-2311.4278839396884
FIN,Finland,2018,-138.05995471842817,-0.13805995471842816,benefits_from_ut,-2311.4278839396884
FIN,Finland,2019,-403.7353799861533,-0.40373537998615333,benefits_from_ut,-2311.4278839396884
FIN,Finland,2020,-311.4146392635876,-0.3114146392635876,benefits_from_ut,-2311.4278839396884
FIN,Finland,2021,-417.5753563641043,-0.4175753563641043,benefits_from_ut,-2311.4278839396884
FIN,Finland,2022,-943.6469712910834,-0.9436469712910834,benefits_from_ut,-2311.4278839396884
FRA,France,2016,-2062.789665461474,-2.0627896654614744,benefits_from_ut,-42963.1382884575
FRA,France,2017,-5520.486088466652,-5.520486088466653,benefits_from_ut,-42963.1382884575
FRA,France,2018,-3739.457059052712,-3.739457059052712,benefits_from_ut,-42963.1382884575
FRA,France,2019,-3073.491357827506,-3.073491357827506,benefits_from_ut,-42963.1382884575
FRA,France,2020,-7398.075877106143,-7.398075877106143,benefits_from_ut,-42963.1382884575
FRA,France,2021,-12874.082568788855,-12.874082568788856,benefits_from_ut,-42963.1382884575
FRA,France,2022,-8294.755671754157,-8.294755671754157,benefits_from_ut,-42963.1382884575
GRC,Greece,2016,0.0,0.0,benefits_from_ut,-895.6612943474017
GRC,Greece,2017,0.0,0.0,benefits_from_ut,-895.6612943474017
GRC,Greece,2018,0.0,0.0,benefits_from_ut,-895.6612943474017
GRC,Greece,2019,0.0,0.0,benefits_from_ut,-895.6612943474017
GRC,Greece,2020,-39.10533211012011,-0.03910533211012011,benefits_from_ut,-895.6612943474017
GRC,Greece,2021,-359.1154421086239,-0.3591154421086239,benefits_from_ut,-895.6612943474017
GRC,Greece,2022,-497.4405201286578,-0.4974405201286578,benefits_from_ut,-895.6612943474017
HRV,Croatia,2016,-0.9273972957383104,-0.0009273972957383104,benefits_from_ut,-154.2765625326721
HRV,Croatia,2017,-3.690486517817568,-0.0036904865178175677,benefits_from_ut,-154.2765625326721
HRV,Croatia,2018,20.507524427658662,0.02050752442765866,benefits_from_ut,-154.2765625326721
HRV,Croatia,2019,-11.22833209055606,-0.01122833209055606,benefits_from_ut,-154.2765625326721
HRV,Croatia,2020,-44.50987906085235,-0.044509879060852346,benefits_from_ut,-154.2765625326721
HRV,Croatia,2021,-80.79844361343375,-0.08079844361343375,benefits_from_ut,-154.2765625326721
HRV,Croatia,2022,-33.629548381932736,-0.03362954838193274,benefits_from_ut,-154.2765625326721
HUN,Hungary,2016,0.0,0.0,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2017,0.0,0.0,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2018,-497.119523251046,-0.497119523251046,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2019,1614.7893143776073,1.6147893143776073,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2020,910.016179193298,0.9100161791932979,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2021,-2011.3252993355293,-2.011325299335529,benefits_from_ut,-1456.6412831943292
HUN,Hungary,2022,-1473.001954178659,-1.473001954178659,benefits_from_ut,-1456.6412831943292
ITA,Italy,2016,0.0,0.0,benefits_from_ut,-14779.000648074041
ITA,Italy,2017,0.0,0.0,benefits_from_ut,-14779.000648074041
ITA,Italy,2018,0.0,0.0,benefits_from_ut,-14779.000648074041
ITA,Italy,2019,-1163.9121923221269,-1.163912192322127,benefits_from_ut,-14779.000648074041
ITA,Italy,2020,-2408.847598014619,-2.408847598014619,benefits_from_ut,-14779.000648074041
ITA,Italy,2021,-5318.726133901764,-5.318726133901764,benefits_from_ut,-14779.000648074041
ITA,Italy,2022,-5887.51472383553,-5.8875147238355305,benefits_from_ut,-14779.000648074041
LUX,Luxembourg,2016,-2250.7121571365524,-2.2507121571365523,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2017,20708.512090543874,20.708512090543874,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2018,8720.956013994688,8.720956013994687,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2019,-13279.43716872952,-13.27943716872952,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2020,-243.0682739271412,-0.2430682739271412,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2021,-63517.900966500565,-63.51790096650056,benefits_from_ut,-57712.09114240445
LUX,Luxembourg,2022,-7850.440680649233,-7.850440680649234,benefits_from_ut,-57712.09114240445
LVA,Latvia,2016,34.12238143350962,0.03412238143350962,benefits_from_ut,-245.77476031155044
LVA,Latvia,2017,-19.980403984621727,-0.01998040398462173,benefits_from_ut,-245.77476031155044
LVA,Latvia,2018,-28.6667221973186,-0.028666722197318598,benefits_from_ut,-245.77476031155044
LVA,Latvia,2019,-12.24579824631006,-0.01224579824631006,benefits_from_ut,-245.77476031155044
LVA,Latvia,2020,-43.77499373956549,-0.04377499373956549,benefits_from_ut,-245.77476031155044
LVA,Latvia,2021,-89.48956041729858,-0.08948956041729858,benefits_from_ut,-245.77476031155044
LVA,Latvia,2022,-85.73966315994562,-0.08573966315994562,benefits_from_ut,-245.77476031155044
MLT,Malta,2016,109.35840009979448,0.10935840009979449,benefits_from_ut,-15761.5097525618
MLT,Malta,2017,-236.11847237490744,-0.23611847237490743,benefits_from_ut,-15761.5097525618
MLT,Malta,2018,512.3904997722221,0.5123904997722222,benefits_from_ut,-15761.5097525618
MLT,Malta,2019,912.0905665647412,0.9120905665647412,benefits_from_ut,-15761.5097525618
MLT,Malta,2020,-25792.28188635974,-25.79228188635974,benefits_from_ut,-15761.5097525618
MLT,Malta,2021,3591.1102014599533,3.591110201459953,benefits_from_ut,-15761.5097525618
MLT,Malta,2022,5141.940938276136,5.141940938276136,benefits_from_ut,-15761.5097525618
POL,Poland,2016,-1244.7965677719978,-1.2447965677719979,benefits_from_ut,-25655.08591040685
POL,Poland,2017,-2241.5244495024403,-2.2415244495024402,benefits_from_ut,-25655.08591040685
POL,Poland,2018,-1666.0133416662989,-1.6660133416662988,benefits_from_ut,-25655.08591040685
POL,Poland,2019,-1959.170986337317,-1.9591709863373168,benefits_from_ut,-25655.08591040685
POL,Poland,2020,-4864.411000713185,-4.864411000713185,benefits_from_ut,-25655.08591040685
POL,Poland,2021,-7051.602830770616,-7.051602830770616,benefits_from_ut,-25655.08591040685
POL,Poland,2022,-6627.566733644997,-6.627566733644997,benefits_from_ut,-25655.08591040685
PRT,Portugal,2016,-291.8553888357057,-0.2918553888357057,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2017,-274.1805040502145,-0.2741805040502145,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2018,-366.94158243909146,-0.3669415824390915,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2019,-260.5754639663529,-0.2605754639663529,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2020,-600.0530127466359,-0.6000530127466359,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2021,-983.4785218639016,-0.9834785218639016,benefits_from_ut,-3518.5803057875446
PRT,Portugal,2022,-741.4958318856424,-0.7414958318856424,benefits_from_ut,-3518.5803057875446
ROU,Romania,2016,-505.3372875017173,-0.5053372875017172,benefits_from_ut,-9220.16907192602
ROU,Romania,2017,-987.577678418586,-0.9875776784185859,benefits_from_ut,-9220.16907192602
ROU,Romania,2018,-602.9725598865382,-0.6029725598865382,benefits_from_ut,-9220.16907192602
ROU,Romania,2019,-706.0244426752557,-0.7060244426752558,benefits_from_ut,-9220.16907192602
ROU,Romania,2020,-1884.089153234632,-1.884089153234632,benefits_from_ut,-9220.16907192602
ROU,Romania,2021,-2506.1381784947343,-2.5061381784947345,benefits_from_ut,-9220.16907192602
ROU,Romania,2022,-2028.029771714556,-2.028029771714556,benefits_from_ut,-9220.16907192602
SVK,Slovak Republic,2016,-321.2089895976714,-0.3212089895976714,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2017,-464.9113059824056,-0.4649113059824056,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2018,-440.1767333363539,-0.4401767333363539,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2019,-609.9952037369163,-0.6099952037369163,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2020,-1057.985224395365,-1.0579852243953651,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2021,-628.5947411193583,-0.6285947411193583,benefits_from_ut,-4284.460206946127
SVK,Slovak Republic,2022,-761.5880087780561,-0.7615880087780561,benefits_from_ut,-4284.460206946127
SVN,Slovenia,2016,-37.93543062230666,-0.037935430622306664,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2017,-43.56264311137219,-0.04356264311137219,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2018,-35.60403459699619,-0.035604034596996195,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2019,-38.10069397569749,-0.038100693975697486,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2020,-118.53557486781304,-0.11853557486781303,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2021,-131.2258720931111,-0.1312258720931111,benefits_from_ut,-552.4645972213425
SVN,Slovenia,2022,-147.50034795404576,-0.14750034795404576,benefits_from_ut,-552.4645972213425
SWE,Sweden,2016,642.7185705981643,0.6427185705981643,benefits_from_ut,-9434.108665870282
SWE,Sweden,2017,-1084.1791222049517,-1.0841791222049517,benefits_from_ut,-9434.108665870282
SWE,Sweden,2018,-1065.740781798953,-1.065740781798953,benefits_from_ut,-9434.108665870282
SWE,Sweden,2019,1566.3568753435693,1.5663568753435693,benefits_from_ut,-9434.108665870282
SWE,Sweden,2020,1673.513536773674,1.6735135367736742,benefits_from_ut,-9434.108665870282
SWE,Sweden,2021,-12152.262560430254,-12.152262560430254,benefits_from_ut,-9434.108665870282
SWE,Sweden,2022,985.4848158484674,0.9854848158484674,benefits_from_ut,-9434.108665870282
CYP,Cyprus,2016,1320.0627031413674,1.3200627031413674,loses_under_ut,5945.547970366314
CYP,Cyprus,2017,-104.61743352234564,-0.10461743352234563,loses_under_ut,5945.547970366314
CYP,Cyprus,2018,146.23434202639098,0.146234342026391,loses_under_ut,5945.547970366314
CYP,Cyprus,2019,425.0753975126939,0.4250753975126939,loses_under_ut,5945.547970366314
CYP,Cyprus,2020,1039.7421794943032,1.0397421794943031,loses_under_ut,5945.547970366314
CYP,Cyprus,2021,1610.2113979685098,1.6102113979685098,loses_under_ut,5945.547970366314
CYP,Cyprus,2022,1508.8393837453946,1.5088393837453946,loses_under_ut,5945.547970366314
IRL,Ireland,2016,24465.278548272887,24.465278548272888,loses_under_ut,325569.61298163055
IRL,Ireland,2017,19229.64916639533,19.22964916639533,loses_under_ut,325569.61298163055
IRL,Ireland,2018,11964.130330516296,11.964130330516296,loses_under_ut,325569.61298163055
IRL,Ireland,2019,26442.966151174925,26.442966151174925,loses_under_ut,325569.61298163055
IRL,Ireland,2020,36131.68070544463,36.13168070544463,loses_under_ut,325569.61298163055
IRL,Ireland,2021,104653.88726064052,104.65388726064052,loses_under_ut,325569.61298163055
