iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-69616.16154646249,benefits_from_ut
LUX,Luxembourg,-57712.09114240445,benefits_from_ut
FRA,France,-42963.1382884575,benefits_from_ut
POL,Poland,-25655.08591040685,benefits_from_ut
ESP,Spain,-19517.10333511934,benefits_from_ut
MLT,Malta,-15761.5097525618,benefits_from_ut
ITA,Italy,-14779.000648074041,benefits_from_ut
CZE,Czechia,-9520.68927091778,benefits_from_ut
SWE,Sweden,-9434.108665870282,benefits_from_ut
ROU,Romania,-9220.16907192602,benefits_from_ut
DNK,Denmark,-8758.120594055456,benefits_from_ut
SVK,Slovak Republic,-4284.460206946127,benefits_from_ut
PRT,Portugal,-3518.5803057875446,benefits_from_ut
AUT,Austria,-3283.740526238585,benefits_from_ut
BGR,Bulgaria,-3074.5895988264556,benefits_from_ut
FIN,Finland,-2311.4278839396884,benefits_from_ut
HUN,Hungary,-1456.6412831943292,benefits_from_ut
GRC,Greece,-895.6612943474017,benefits_from_ut
BEL,Belgium,-780.1542775456344,benefits_from_ut
EST,Estonia,-643.5952116034939,benefits_from_ut
SVN,Slovenia,-552.4645972213425,benefits_from_ut
LVA,Latvia,-245.77476031155044,benefits_from_ut
HRV,Croatia,-154.2765625326721,benefits_from_ut
LTU,Lithuania,806.9824845490873,loses_under_ut
CYP,Cyprus,5945.547970366314,loses_under_ut
NLD,Netherlands,124201.30075466927,loses_under_ut
IRL,Ireland,325569.61298163055,loses_under_ut
