iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.049643294335301166,21.82943535651303,-21.77979206217773
DEU,Germany,0.0,20.810011679860423,-20.810011679860423
FRA,France,0.0,13.677559913092495,-13.677559913092495
ESP,Spain,0.0,4.879275833779836,-4.879275833779836
POL,Poland,0.0,4.874466322977302,-4.874466322977302
ITA,Italy,0.0,4.109998179390467,-4.109998179390467
SWE,Sweden,0.06541696460852023,2.976348466329491,-2.9109315017209707
DNK,Denmark,0.0010524755914906563,1.959680795641964,-1.9586283200504733
CZE,Czechia,0.0,1.808930961474378,-1.808930961474378
ROU,Romania,0.0,1.4752270515081631,-1.4752270515081631
MLT,Malta,0.06856118054682128,1.3014200179367297,-1.2328588373899083
PRT,Portugal,0.0,1.097032078465358,-1.097032078465358
NLD,Netherlands,0.7936850888536224,1.798098112669968,-1.0044130238163456
SVK,Slovak Republic,0.0,0.9029487333546633,-0.9029487333546633
AUT,Austria,0.0,0.8209351315596463,-0.8209351315596463
FIN,Finland,0.0008627557374702008,0.5006937722285425,-0.4998310164910723
HUN,Hungary,0.03878531313159046,0.3583302099088711,-0.31954489677728065
BGR,Bulgaria,0.0,0.30745895988264554,-0.30745895988264554
BEL,Belgium,0.007457860602540162,0.22706627578725272,-0.21960841518471255
GRC,Greece,0.0,0.19782759139863082,-0.19782759139863082
EST,Estonia,0.0,0.12871904232069878,-0.12871904232069878
SVN,Slovenia,0.0,0.10420956485960893,-0.10420956485960893
LVA,Latvia,7.749011644266643e-05,0.05498040814978093,-0.054902918033338265
HRV,Croatia,0.00018553486966296323,0.0314796835987743,-0.03129414872911134
LTU,Lithuania,0.015698008486605835,0.0049890568738756675,0.010708951612730166
CYP,Cyprus,0.026788188473605277,0.013077179190293206,0.013711009283312071
IRL,Ireland,7.4314190772176305,0.0,7.4314190772176305
