year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,264368.650117204,97691.3940901637,45329.15956766774,52362.23452249594,276598.97115195054,18.930740886136768
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,360444.1155966822,130306.61955960974,62425.034504537296,67881.58505507241,327312.3011115984,20.739087661703227
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,201528.2937672314,52111.075066084,31622.56697253313,20488.50809355088,249348.81259853733,8.216805959504724
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,294610.7216087581,76404.54995263743,49539.34944825432,26865.200504383138,327120.27281339164,8.212636983128405
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,417123.4919101904,100959.55545485322,59542.83088503062,41416.72456982262,301567.1847649635,13.73383002600304
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,326435.9729615588,76246.0772856185,35129.29554466876,41116.78174094977,404738.3144899063,10.158855801129048
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,336415.9057684235,82386.3806161125,50062.83678191001,32323.543834202508,489024.2624681231,6.609803708115507
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,264368.650117204,97691.3940901637,12215.560239784652,85475.83385037906,276598.97115195054,30.90244099404934
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,360444.1155966822,130306.61955960974,18451.46998995889,111855.14956965084,327312.3011115984,34.173830066812364
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,201528.2937672314,52111.075066084,10476.17168870322,41634.90337738079,249348.81259853733,16.697454037775923
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,294610.7216087581,76404.54995263743,18320.264553127843,58084.28539950961,327120.27281339164,17.756247541602
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,417123.4919101904,100959.55545485322,21435.95604411993,79523.5994107333,301567.1847649635,26.37011035292605
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,326435.9729615588,76246.0772856185,17374.511639090095,58871.56564652841,404738.3144899063,14.545587491691895
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,336415.9057684235,82386.3806161125,21866.58832880623,60519.79228730628,489024.2624681231,12.375621606556026
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,264368.650117204,96595.17705362744,12215.560239784652,84379.61681384277,276598.97115195054,30.50612099619436
