sample_name,formula_name,etr_name,etr_col,etr_threshold,threshold_rate_col,rate_mode,loss_rate_col,gain_rate_col,n_country_rows,n_misalignment_rows,n_years,total_shifted_musd_all_years,total_tax_loss_musd_all_years,total_tax_gain_musd_all_years,total_revenue_gain_from_ut_musd_all_years,total_current_tax_paid_cash_musd_all_years,revenue_gain_from_ut_pct_of_current_tax_paid_all_years,total_revenue_gain_from_ut_low_income_musd_all_years,total_revenue_gain_from_ut_middle_income_musd_all_years,country_file,misalignment_file,aggregate_file
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2463895.3087028414,700201.0458728288,139663.86262796086,560537.183244868,2375710.1193984705,23.594510907197545,-1050.5303846559132,100766.78203248637,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2463895.3087028414,595949.4540847025,139663.86262796086,456285.5914567416,2375710.1193984705,19.20628227034168,-1392.0758914209932,79697.90329174265,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2463895.3087028414,700201.0458728288,364922.75106075325,335278.29481207556,2375710.1193984705,14.112761151893734,-5441.871695046314,80709.81806960635,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2200927.1517300485,616105.6520250791,120140.52248359086,495965.12954148825,2375710.1193984705,20.87650027214038,-494.15238436030114,36171.53404846329,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2200927.1517300485,522911.8772382023,120140.52248359086,402771.3547546113,2375710.1193984705,16.95372476068726,-758.0671788354512,26966.61442245869,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2200927.1517300485,616105.6520250791,333651.07370460185,282454.5783204773,2375710.1193984705,11.889269486800634,-3558.7799082325478,20204.820186245695,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2159711.0595973316,605187.525966321,115138.63922966493,490048.8867366562,2375710.1193984705,20.62746977146928,-218.31348831695988,70162.98628874836,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2159711.0595973316,513871.3160825098,115138.63922966493,398732.67685284483,2375710.1193984705,16.78372599405368,-509.4885602456827,54459.22110868816,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2159711.0595973316,605187.525966321,332695.3583210991,272492.16764522187,2375710.1193984705,11.469924946660448,-3152.729393179556,55308.52466530295,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,sales_employees,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2250189.1896691537,637039.1106992961,119987.35276314052,517051.7579361555,2375710.1193984705,21.76409292170178,-218.94227361295287,136551.4302359386,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\country_estimates__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\misalignment__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
