iso_partner,partner_jurisdiction,tax_loss_bn
LUX,Luxembourg,26.78576085357119
DEU,Germany,24.50119177109286
FRA,France,16.223795945133645
ESP,Spain,5.81727812512889
POL,Poland,5.760770136731808
ITA,Italy,4.865263532976931
SWE,Sweden,3.7172354205854896
NLD,Netherlands,2.266177412370723
DNK,Denmark,2.230420244758077
CZE,Czechia,2.1414706208716967
ROU,Romania,1.7438857980787423
MLT,Malta,1.4600164944871938
PRT,Portugal,1.3006002025458945
SVK,Slovak Republic,1.0541620035977375
AUT,Austria,0.9746028231440305
FIN,Finland,0.5846226183135192
HUN,Hungary,0.4340678281067294
BGR,Bulgaria,0.3629657731931855
BEL,Belgium,0.26184905165578415
GRC,Greece,0.23629586625513083
EST,Estonia,0.1524463628008049
SVN,Slovenia,0.12273641368100821
LVA,Latvia,0.06525526722198245
HRV,Croatia,0.03756785242579107
CYP,Cyprus,0.015581582516417412
LTU,Lithuania,0.005968414561781985
IRL,Ireland,0.0
