year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,DEU,265.1129688522481
2016,PRI,DEU,234.75003102752152
2016,ASM,DEU,229.70830179604332
2016,NLD,LUX,228.06391609945902
2016,IRL,DEU,224.69508472947965
2016,NLD,ESP,214.07926079813222
2016,NLD,FRA,209.02179237044678
2016,SGP,DEU,206.17066586037382
2016,BMU,DEU,203.54756402713318
2016,PRI,LUX,201.94414333024835
2016,ASM,LUX,197.6069865422496
2016,CYM,DEU,193.50363022582647
2016,IRL,LUX,193.29435739624068
2016,PRI,ESP,189.56112683690858
2016,ASM,ESP,185.48992024263325
2016,PRI,FRA,185.08288167425292
2016,IRL,ESP,181.44173727943516
2016,ASM,FRA,181.1078544050386
2016,BHS,DEU,177.6431550380318
2016,SGP,LUX,177.35869220021056
2016,IRL,FRA,177.15530685019132
2016,BMU,LUX,175.102164052959
2016,SGP,ESP,166.48323141915304
2016,CYM,LUX,166.46185163939933
2016,BMU,ESP,164.36507136123697
2016,SGP,FRA,162.5501849227184
2016,BMU,FRA,160.4820648713763
2016,JPN,DEU,157.68632609092097
2016,CYM,ESP,156.2545744172438
2016,BHS,LUX,152.81784886508512
2016,CYM,FRA,152.56317257920304
2016,BHS,ESP,143.44720849014536
2016,BHS,FRA,140.0583714525277
2016,JPN,LUX,135.64995028090937
2016,JPN,ESP,127.33202858261959
2016,NLD,POL,126.13482319055313
2016,JPN,FRA,124.32390106952532
2016,PRI,POL,111.68881622737784
2016,ASM,POL,109.29007418190075
2016,IRL,POL,106.90489758701568
2016,TLS,DEU,106.45419779187436
2016,SGP,POL,98.09139325760425
2016,BMU,POL,96.84338005259572
2016,CYM,POL,92.06470091196302
2016,TLS,LUX,91.57741825588315
2016,IMN,DEU,90.08214926113223
2016,TLS,ESP,85.9619809276236
2016,BHS,POL,84.51864142573103
2016,TLS,FRA,83.931191009432
2016,IMN,LUX,77.49333357810794
2016,JPN,POL,75.02362840699469
2016,IMN,ESP,72.74151848707898
2016,IMN,FRA,71.02305247706596
2016,NPL,DEU,62.325537804110944
2016,HKG,DEU,61.841812120111065
2016,LBR,DEU,56.7971285619925
2016,COD,DEU,56.64495730881947
2016,NLD,CZE,53.71892916165305
2016,NPL,LUX,53.61565783125545
2016,HKG,LUX,53.19953192731151
2016,NLD,ROU,51.20565967233437
2016,TLS,POL,50.648527208993904
2016,NPL,ESP,50.32799836128036
2016,HKG,ESP,49.93738888899355
2016,NPL,FRA,49.139035629477995
2016,LBR,LUX,48.85983367441966
2016,HKG,FRA,48.757654024786945
2016,COD,LUX,48.7289280756983
2016,PRI,CZE,47.56659148761348
2016,ASM,CZE,46.54500323181995
2016,LBR,ESP,45.86379666995581
2016,COD,ESP,45.74091807395562
2016,IRL,CZE,45.52919229795042
2016,PRI,ROU,45.34116248218864
2016,LBR,FRA,44.78029748947793
2016,COD,FRA,44.66032181185196
2016,ASM,ROU,44.367369791831756
2016,IRL,ROU,43.399084128232005
2016,IMN,POL,42.85907256393193
2016,SGP,CZE,41.775653007517306
2016,BMU,CZE,41.24414290382945
2016,GIB,DEU,40.75749474234013
2016,SGP,ROU,39.82115622698382
2016,MHL,DEU,39.64756132125007
2016,BMU,ROU,39.31451311427493
2016,CYM,CZE,39.20897513850813
2016,HUN,DEU,37.97140487100644
2016,IRN,DEU,37.87177811397552
2016,CYM,ROU,37.37456178625145
2016,BHS,CZE,35.99522159498332
2016,GBR,DEU,35.93023670351451
2016,GIB,LUX,35.06170935953583
2016,BHS,ROU,34.31116546043708
2016,MHL,LUX,34.10688710501028
2016,GIB,ESP,32.91175978375735
2016,HUN,LUX,32.664970454561626
2016,IRN,LUX,32.57926635470138
2016,NLD,SVK,32.54800033923255
2016,GIB,FRA,32.13424315096742
2016,MHL,ESP,32.015486291929314
2016,JPN,CZE,31.95143797646652
2016,MHL,FRA,31.2591434751858
2016,LIE,DEU,30.92516447289818
2016,GBR,LUX,30.909051807084193
2016,HUN,ESP,30.661986554049047
2016,IRN,ESP,30.58153774540257
2016,JPN,ROU,30.45657247078114
2016,HUN,FRA,29.937619194272685
2016,IRN,FRA,29.859070930818007
2016,NPL,POL,29.653097414328943
2016,NLD,PRT,29.5736097135068
2016,HKG,POL,29.422951549008943
2016,GBR,ESP,29.0137391131444
2016,PRI,SVK,28.820333168147954
2016,GBR,FRA,28.328310412639887
2016,ASM,SVK,28.201358527084935
2016,IRL,SVK,27.58588433323628
2016,BEL,DEU,27.089353253256682
2016,LBR,POL,27.022803900969134
