iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-193.32626317359052,-0.19332626317359053,benefits_from_ut,-3898.411292576122
AUT,Austria,2017,-932.3251572133524,-0.9323251572133524,benefits_from_ut,-3898.411292576122
AUT,Austria,2018,-368.5730605610743,-0.3685730605610743,benefits_from_ut,-3898.411292576122
AUT,Austria,2019,-89.31692598005117,-0.08931692598005117,benefits_from_ut,-3898.411292576122
AUT,Austria,2020,-649.4914429831678,-0.6494914429831677,benefits_from_ut,-3898.411292576122
AUT,Austria,2021,-996.1608246040232,-0.9961608246040232,benefits_from_ut,-3898.411292576122
AUT,Austria,2022,-669.2176180608625,-0.6692176180608624,benefits_from_ut,-3898.411292576122
BGR,Bulgaria,2016,-37.304460117062,-0.037304460117062,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2017,-197.23271182428053,-0.19723271182428054,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2018,-245.2684947226421,-0.2452684947226421,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2019,-280.3003904665076,-0.2803003904665076,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2020,-562.571339061038,-0.562571339061038,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2021,-1109.2247684079364,-1.1092247684079364,benefits_from_ut,-3629.657731931855
BGR,Bulgaria,2022,-1197.7555673323882,-1.197755567332388,benefits_from_ut,-3629.657731931855
CZE,Czechia,2016,-638.4500848423912,-0.6384500848423912,benefits_from_ut,-11270.89800458788
CZE,Czechia,2017,-1408.7278485408258,-1.4087278485408259,benefits_from_ut,-11270.89800458788
CZE,Czechia,2018,-783.533067664346,-0.783533067664346,benefits_from_ut,-11270.89800458788
CZE,Czechia,2019,-783.0106407007548,-0.7830106407007549,benefits_from_ut,-11270.89800458788
CZE,Czechia,2020,-1848.872939946432,-1.848872939946432,benefits_from_ut,-11270.89800458788
CZE,Czechia,2021,-3237.7365185734748,-3.2377365185734748,benefits_from_ut,-11270.89800458788
CZE,Czechia,2022,-2570.5669043196544,-2.5705669043196546,benefits_from_ut,-11270.89800458788
DEU,Germany,2016,-3150.8706539400328,-3.1508706539400326,benefits_from_ut,-81960.86302438955
DEU,Germany,2017,-13669.413999587094,-13.669413999587094,benefits_from_ut,-81960.86302438955
DEU,Germany,2018,-4921.617971696444,-4.9216179716964445,benefits_from_ut,-81960.86302438955
DEU,Germany,2019,-3880.425494429304,-3.880425494429304,benefits_from_ut,-81960.86302438955
DEU,Germany,2020,-21167.0823363909,-21.1670823363909,benefits_from_ut,-81960.86302438955
DEU,Germany,2021,-19971.00006840769,-19.97100006840769,benefits_from_ut,-81960.86302438955
DEU,Germany,2022,-15200.45249993808,-15.200452499938079,benefits_from_ut,-81960.86302438955
DNK,Denmark,2016,-94.72373703412282,-0.09472373703412282,benefits_from_ut,-9988.75445367415
DNK,Denmark,2017,-515.6508343439656,-0.5156508343439656,benefits_from_ut,-9988.75445367415
DNK,Denmark,2018,149.51938613529015,0.14951938613529014,benefits_from_ut,-9988.75445367415
DNK,Denmark,2019,-5847.7805626568,-5.8477805626568,benefits_from_ut,-9988.75445367415
DNK,Denmark,2020,-1324.4638895801006,-1.3244638895801006,benefits_from_ut,-9988.75445367415
DNK,Denmark,2021,-790.1352039533791,-0.7901352039533791,benefits_from_ut,-9988.75445367415
DNK,Denmark,2022,-1565.519612241072,-1.5655196122410722,benefits_from_ut,-9988.75445367415
ESP,Spain,2016,-2544.334452540267,-2.544334452540267,benefits_from_ut,-23269.11250051556
ESP,Spain,2017,-1593.875603303299,-1.593875603303299,benefits_from_ut,-23269.11250051556
