iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-81960.86302438955,benefits_from_ut
LUX,Luxembourg,-77506.17602415763,benefits_from_ut
FRA,France,-51017.70984609456,benefits_from_ut
POL,Poland,-30319.84282490425,benefits_from_ut
ESP,Spain,-23269.11250051556,benefits_from_ut
MLT,Malta,-18933.43928357109,benefits_from_ut
ITA,Italy,-15349.189898840901,benefits_from_ut
SWE,Sweden,-13003.088123281641,benefits_from_ut
CZE,Czechia,-11270.89800458788,benefits_from_ut
ROU,Romania,-10899.286237992139,benefits_from_ut
DNK,Denmark,-9988.75445367415,benefits_from_ut
SVK,Slovak Republic,-5001.398428813443,benefits_from_ut
PRT,Portugal,-4171.948030201859,benefits_from_ut
AUT,Austria,-3898.411292576122,benefits_from_ut
BGR,Bulgaria,-3629.657731931855,benefits_from_ut
FIN,Finland,-2731.072114364572,benefits_from_ut
GRC,Greece,-837.1633359944809,benefits_from_ut
EST,Estonia,-762.2318140040245,benefits_from_ut
SVN,Slovenia,-650.7901562919691,benefits_from_ut
LVA,Latvia,-298.105664690991,benefits_from_ut
HRV,Croatia,-188.0786703251298,benefits_from_ut
LTU,Lithuania,800.4534332963785,loses_under_ut
HUN,Hungary,2790.3992049473773,loses_under_ut
CYP,Cyprus,5925.512743757321,loses_under_ut
BEL,Belgium,6695.031364139175,loses_under_ut
NLD,Netherlands,122328.98355586625,loses_under_ut
IRL,Ireland,325569.61298163055,loses_under_ut
