iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.049643294335301166,26.78576085357119,-26.73611755923589
DEU,Germany,0.0,24.50119177109286,-24.50119177109286
FRA,France,0.0,16.223795945133645,-16.223795945133645
ESP,Spain,0.0,5.81727812512889,-5.81727812512889
POL,Poland,0.0,5.760770136731808,-5.760770136731808
ITA,Italy,0.02314362345287553,4.865263532976931,-4.8421199095240555
SWE,Sweden,0.06541696460852024,3.7172354205854896,-3.6518184559769695
DNK,Denmark,0.0010524755914906563,2.230420244758077,-2.2293677691665863
CZE,Czechia,0.0,2.1414706208716967,-2.1414706208716967
ROU,Romania,0.0,1.7438857980787423,-1.7438857980787423
NLD,Netherlands,0.7936850888536225,2.266177412370723,-1.4724923235171001
MLT,Malta,0.06856118054682127,1.4600164944871938,-1.3914553139403725
PRT,Portugal,0.0,1.3006002025458945,-1.3006002025458945
SVK,Slovak Republic,0.0,1.0541620035977375,-1.0541620035977375
AUT,Austria,0.0,0.9746028231440305,-0.9746028231440305
FIN,Finland,0.0008627557374702011,0.5846226183135192,-0.5837598625760491
BGR,Bulgaria,0.0,0.3629657731931855,-0.3629657731931855
HUN,Hungary,0.08650301523050302,0.4340678281067294,-0.34756481287622637
GRC,Greece,0.0030541607710337327,0.23629586625513083,-0.2332417054840971
EST,Estonia,0.0,0.1524463628008049,-0.1524463628008049
BEL,Belgium,0.1305520528661492,0.26184905165578415,-0.13129699878963494
SVN,Slovenia,0.0,0.12273641368100821,-0.12273641368100821
LVA,Latvia,7.749011644266644e-05,0.06525526722198245,-0.06517777710553979
HRV,Croatia,0.00018553486966296323,0.03756785242579107,-0.03738231755612811
LTU,Lithuania,0.015698008486605835,0.005968414561781985,0.009729593924823851
CYP,Cyprus,0.026788188473605277,0.015581582516417412,0.011206605957187865
IRL,Ireland,7.431419077217629,0.0,7.431419077217629
