year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,329631.7511563358,121807.8818822429,63063.17075981631,58744.71112242659,276598.97115195054,21.23822474023412
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,432159.63849968615,156232.98915499198,81155.29971840064,75077.68943659136,327312.3011115984,22.937631485775825
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,242329.66362235017,62661.47078260287,42487.59362108036,20173.877161522505,249348.81259853733,8.09062491667179
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,329466.32090095093,85444.02537534827,58670.007557542194,26774.01781780605,327120.27281339164,8.184762621875015
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,462884.8715260487,112035.52847632136,70576.46062121795,41459.0678551034,301567.1847649635,13.747871104548697
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,341250.3235451963,79706.28453327151,38695.0153603243,41011.26917294721,404738.3144899063,10.13278647084201
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,385142.2729822232,94319.19641489915,62359.00402169098,31960.1923932082,489024.2624681231,6.5355023965281305
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,329631.7511563358,121807.8818822429,27376.93261605904,94430.94926618386,276598.97115195054,34.14002187821151
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,432159.63849968615,156232.98915499198,36102.88088408991,120130.10827090208,327312.3011115984,36.70198396544322
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,242329.66362235017,62661.47078260287,20174.257991382605,42487.212791220256,249348.81259853733,17.03926814346879
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,329466.32090095093,85444.02537534827,26738.284874170706,58705.74050117754,327120.27281339164,17.946225098273473
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,462884.8715260487,112035.52847632136,33054.1024894904,78981.42598683097,301567.1847649635,26.19032506749293
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,341250.3235451963,79706.28453327151,20779.138017787453,58927.14651548407,404738.3144899063,14.559320036144896
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,385142.2729822232,94319.19641489915,35473.40026235314,58845.79615254602,489024.2624681231,12.03330809304822
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,329631.7511563358,120441.04832901843,27376.93261605904,93064.1157129594,276598.97115195054,33.64586474250996
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,432159.63849968615,161321.96866055924,36102.88088408991,125219.08777646931,327312.3011115984,38.2567619216289
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,242329.66362235017,71750.96440907233,20174.257991382605,51576.70641768973,249348.81259853733,20.684560668323904
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,329466.32090095093,68316.52205316428,26738.284874170706,41578.23717899358,327120.27281339164,12.710382276647286
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,462884.8715260487,83257.2356561902,33054.1024894904,50203.133166699794,301567.1847649635,16.647412484825658
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,341250.3235451963,43846.18148290569,20779.138017787453,23067.04346511824,404738.3144899063,5.699248783547894
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,385142.2729822232,61864.10622838662,35473.40026235314,26390.705966033485,489024.2624681231,5.396604625062699
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,319668.9308514784,117379.8370193332,60486.23303711828,56893.6039822149,276598.97115195054,20.56898611924345
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,419946.5326165087,151048.19863951954,79111.47966274136,71936.71897677818,327312.3011115984,21.978006549851937
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,235074.89994395885,61503.16945769808,41315.21491584426,20187.95454185381,249348.81259853733,8.09627057432887
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,318509.1136573261,83229.81573253284,56953.78694215036,26276.028790382494,327120.27281339164,8.03252839220144
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,446157.7952994427,107827.65240474232,68087.47451236667,39740.17789237565,301567.1847649635,13.177885360221964
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,342269.3113709816,79947.55752558225,41402.47251724948,38545.08500833277,404738.3144899063,9.523458399759194
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,370228.6290825211,90494.74097718646,60584.16943708368,29910.57154010277,489024.2624681231,6.11637782328898
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,319668.9308514784,117379.8370193332,25002.738011272784,92377.0990080604,276598.97115195054,33.397484677306615
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,419946.5326165087,151048.19863951954,33772.021096167024,117276.17754335252,327312.3011115984,35.83005501017414
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,235074.89994395885,61503.16945769808,18765.25026067328,42737.91919702479,249348.81259853733,17.139812598921313
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,318509.1136573261,83229.81573253284,25142.143911867926,58087.67182066491,327120.27281339164,17.757282763640113
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,446157.7952994427,107827.65240474232,30482.121629783014,77345.53077495929,301567.1847649635,25.647860471039355
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,342269.3113709816,79947.55752558225,21842.22681124968,58105.33071433258,404738.3144899063,14.356271357102186
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,370228.6290825211,90494.74097718646,33398.230387104195,57096.51059008228,489024.2624681231,11.675598732446144
2016,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,319668.9308514784,115417.56463671348,25002.738011272784,90414.8266254407,276598.97115195054,32.688056014413384
2017,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,419946.5326165087,153749.4097641226,33772.021096167024,119977.38866795565,327312.3011115984,36.65532528429137
2018,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,235074.89994395885,68924.31018577173,18765.25026067328,50159.05992509846,249348.81259853733,20.11602116824866
2019,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,318509.1136573261,66192.24683165655,25142.143911867926,41050.102919788624,327120.27281339164,12.548932711121202
2020,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,446157.7952994427,80636.5260866268,30482.121629783014,50154.40445684378,301567.1847649635,16.63125399268269
2021,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,342269.3113709816,44939.84113562646,21842.22681124968,23097.614324376784,404738.3144899063,5.706802024287427
2022,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,370228.6290825211,61437.45020924593,33398.230387104195,28039.21982214173,489024.2624681231,5.733707297185375
2016,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,343073.4958489636,126924.19563083764,61812.15242601271,65112.0432048249,276598.97115195054,23.54023333263065
2017,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,487240.3939962412,178098.05365864202,91098.7328078902,86999.3208507518,327312.3011115984,26.579911770895844
2018,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,279434.04355793784,74030.89784749826,48700.02728000382,25330.870567494425,249348.81259853733,10.158809381730746
2019,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,354595.2821418769,94064.11463261092,61675.9361971707,32388.178435440204,327120.27281339164,9.901000068533294
2020,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,518969.6205361728,127343.08270593383,78618.92069838269,48724.16200755113,301567.1847649635,16.156984071567976
2021,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,460061.9747379914,112401.37377254822,62970.70736087769,49430.666411670514,404738.3144899063,12.21299408581276
2022,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,449007.6476625819,110711.09976223815,71458.16209432407,39252.9376679141,489024.2624681231,8.026787356071683
2016,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,343073.4958489636,126924.19563083764,27622.119858794453,99302.07577204316,276598.97115195054,35.90110091822837
2017,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,487240.3939962412,178098.05365864202,42086.34323313109,136011.71042551094,327312.3011115984,41.554109015639234
2018,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,279434.04355793784,74030.89784749826,23644.189565000863,50386.70828249739,249348.81259853733,20.20731831742156
2019,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,354595.2821418769,94064.11463261092,29309.266573258472,64754.84805935241,327120.27281339164,19.7954249372653
2020,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,518969.6205361728,127343.08270593383,39693.28432334373,87649.7983825901,301567.1847649635,29.064766596174216
2021,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,460061.9747379914,112401.37377254822,39657.89125197198,72743.48252057623,404738.3144899063,17.972966708688105
